1.一般股票,"465,691,261,733","3,781,143,198","2,466,665"
2.台灣存託憑證,"53,851,928","10,125,301","2,180"
3.受益憑證,0,0,0
4.ETF,"22,778,812,403","959,852,388","310,612"
5.受益證券,"18,120,806","1,712,046",149
6.變更交易股票,"6,750,272","434,092",720
7.認購(售)權證,"2,026,335,360","1,959,263,000","76,506"
8.轉換公司債,0,0,0
9.附認股權特別股,0,0,0
10.附認股權公司債,0,0,0
11.認股權憑證,0,0,0
12.公司債,0,0,0
13.ETN,"4,040,590","230,000",64
14.創新板股票,"171,530,326","1,865,734","1,625"
15.創新板-變更交易方法股票,0,0,0
證券合計(1+6+14+15),"465,869,542,331","3,783,443,024","2,469,010"
總計(1~15),"490,750,703,418","6,714,625,759","2,858,521"
漲跌證券數合計,,,
類型,整體市場,股票,
上漲(漲停),"7,333(75)",668(19),
下跌(跌停),"3,322(37)",286(1),
持平,485,98,
未成交,"20,262",5,
無比價,"3,414",3,
備註:,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,
