Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,4915  ,致伸            ,0,"269,835","-269,835"
 ,2542  ,興富發          ,0,"266,000","-266,000"
 ,3715  ,定穎投控        ,0,"255,000","-255,000"
 ,"=""006208""",富邦台50        ,0,"234,000","-234,000"
 ,2206  ,三陽工業        ,0,"225,815","-225,815"
 ,3010  ,華立            ,"15,000","240,518","-225,518"
 ,2393  ,億光            ,0,"217,975","-217,975"
 ,5871  ,中租-KY         ,0,"210,477","-210,477"
 ,3702  ,大聯大          ,"7,000","194,000","-187,000"
 ,2441  ,超豐            ,0,"176,000","-176,000"
 ,6257  ,矽格            ,0,"175,000","-175,000"
 ,1210  ,大成            ,"42,000","186,000","-144,000"
 ,2421  ,建準            ,0,"125,000","-125,000"
 ,1736  ,喬山            ,0,"120,000","-120,000"
 ,3665  ,貿聯-KY         ,"100,000","216,000","-116,000"
 ,1216  ,統一            ,0,"114,231","-114,231"
 ,3044  ,健鼎            ,"243,000","355,000","-112,000"
 ,2006  ,東和鋼鐵        ,0,"111,992","-111,992"
 ,2383  ,台光電          ,"71,000","182,299","-111,299"
 ,6278  ,台表科          ,"41,000","152,299","-111,299"
 ,2915  ,潤泰全          ,0,"111,000","-111,000"
 ,4763  ,材料*-KY        ,0,"105,887","-105,887"
 ,2327  ,國巨*           ,"6,000","110,785","-104,785"
 ,"=""00713 """,元大台灣高息低波,0,"102,000","-102,000"
 ,6177  ,達麗            ,0,"100,000","-100,000"
 ,8028  ,昇陽半導體      ,0,"100,000","-100,000"
 ,2609  ,陽明            ,0,"99,000","-99,000"
 ,2850  ,新產            ,0,"99,000","-99,000"
 ,9939  ,宏全            ,"16,000","110,000","-94,000"
 ,2347  ,聯強            ,"5,000","91,898","-86,898"
 ,2345  ,智邦            ,"126,400","211,726","-85,326"
 ,3030  ,德律            ,0,"80,000","-80,000"
 ,3481  ,群創            ,"31,000","110,000","-79,000"
 ,2357  ,華碩            ,"134,000","212,587","-78,587"
 ,2455  ,全新            ,0,"76,000","-76,000"
 ,2607  ,榮運            ,0,"73,000","-73,000"
 ,3017  ,奇鋐            ,"18,000","91,000","-73,000"
 ,1402  ,遠東新          ,0,"71,000","-71,000"
 ,5434  ,崇越            ,"1,000","66,000","-65,000"
 ,6446  ,藥華藥          ,0,"65,000","-65,000"
 ,6415  ,矽力*-KY        ,"1,000","63,000","-62,000"
 ,2474  ,可成            ,"2,000","60,111","-58,111"
 ,9938  ,百和            ,0,"58,000","-58,000"
 ,6196  ,帆宣            ,0,"57,000","-57,000"
 ,3036A ,文曄甲特        ,0,"55,000","-55,000"
 ,3592  ,瑞鼎            ,0,"53,560","-53,560"
 ,6005  ,群益證          ,0,"51,906","-51,906"
 ,2603  ,長榮            ,0,"50,077","-50,077"
 ,2882B ,國泰金乙特      ,0,"45,000","-45,000"
 ,3034  ,聯詠            ,"36,000","78,938","-42,938"
 ,1808  ,潤隆            ,0,"42,000","-42,000"
 ,2353  ,宏��            ,"12,000","51,625","-39,625"
