證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2618,長榮航          ,"49,618,500","22,490,050","27,128,450",0,0,0,"124,000",0,"124,000","4,113,925","2,789,000","1,457,000","1,332,000","4,093,620","1,311,695","2,781,925","31,366,375"
2610,華航            ,"48,017,000","27,649,210","20,367,790",0,0,0,"2,400,000","19,000","2,381,000","34,915","1,978,227","1,941,312","36,915",0,"2,000","-2,000","22,783,705"
3481,群創            ,"47,251,937","28,098,000","19,153,937",0,0,0,"1,913,000","5,000","1,908,000","-1,800,026","773,974","1,913,000","-1,139,026","258,000","919,000","-661,000","19,261,911"
1711,永光            ,"18,637,020","10,975,000","7,662,020",0,0,0,0,0,0,"678,546","547,352","547,000",352,"1,034,392","356,198","678,194","8,340,566"
"=""00637L""",元大滬深300正2  ,"5,659,000","1,300,000","4,359,000",0,0,0,0,0,0,"3,634,131",0,0,0,"13,702,605","10,068,474","3,634,131","7,993,131"
2027,大成鋼          ,"9,860,051","2,470,911","7,389,140",0,0,0,0,"8,000","-8,000","424,918","457,505","198,623","258,882","239,036","73,000","166,036","7,806,058"
"=""088999""",楠梓電元富51購06,0,0,0,0,0,0,0,0,0,"7,270,000",0,0,0,"7,270,000",0,"7,270,000","7,270,000"
3231,緯創            ,"9,684,800","2,990,598","6,694,202",0,0,0,"4,000","37,000","-33,000","205,227","64,000","59,000","5,000","229,227","29,000","200,227","6,866,429"
2891,中信金          ,"18,300,000","12,715,268","5,584,732",0,0,0,"1,027,000","41,000","986,000","199,000","233,000","4,000","229,000","62,000","92,000","-30,000","6,769,732"
6443,元晶            ,"13,821,000","8,876,000","4,945,000",0,0,0,0,0,0,"1,144,760","527,026","502,774","24,252","1,462,508","342,000","1,120,508","6,089,760"
"=""00881""",國泰台灣科技龍頭,"182,150","153,000","29,150",0,0,0,0,0,0,"5,478,022","1,144,740","20,000","1,124,740","5,880,207","1,526,925","4,353,282","5,507,172"
3059,華晶科          ,"6,056,000","1,348,000","4,708,000",0,0,0,"22,000",0,"22,000","456,991","23,000","36,000","-13,000","706,991","237,000","469,991","5,186,991"
2882,國泰金          ,"10,963,200","6,004,349","4,958,851",0,0,0,"19,000","14,000","5,000","24,724","43,724",0,"43,724","2,000","21,000","-19,000","4,988,575"
4927,泰鼎-KY         ,"5,512,000","2,003,500","3,508,500",0,0,0,0,0,0,"382,646","182,183","100,267","81,916","525,730","225,000","300,730","3,891,146"
"=""00632R""",元大台灣50反1   ,"977,000","7,631,000","-6,654,000",0,0,0,0,0,0,"10,514,951","9,100,000","12,400,000","-3,300,000","27,365,000","13,550,049","13,814,951","3,860,951"
8021,尖點            ,"4,680,500","942,000","3,738,500",0,0,0,0,0,0,"74,000","74,000",0,"74,000",0,0,0,"3,812,500"
"=""044690""",貿聯元富55購03  ,0,0,0,0,0,0,0,0,0,"3,812,000",0,0,0,"3,812,000",0,"3,812,000","3,812,000"
2356,英業達          ,"5,716,700","2,046,570","3,670,130",0,0,0,"6,000","24,000","-18,000","37,233","61,233","2,000","59,233","15,000","37,000","-22,000","3,689,363"
3596,智易            ,"3,786,000","1,381,700","2,404,300",0,0,0,"1,111,000","8,000","1,103,000","32,065","106,000","208,000","-102,000","200,065","66,000","134,065","3,539,365"
6191,精成科          ,"4,353,080","865,000","3,488,080",0,0,0,0,"25,000","-25,000","63,225","59,885","57,000","2,885","304,340","244,000","60,340","3,526,305"
3037,欣興            ,"13,971,924","10,068,931","3,902,993",0,0,0,"62,000","624,000","-562,000","148,106","535,675","374,000","161,675","122,431","136,000","-13,569","3,489,099"
"=""047088""",臺股指國票42購16,0,0,0,0,0,0,0,0,0,"3,475,000",0,0,0,"3,496,000","21,000","3,475,000","3,475,000"
6282,康舒            ,"8,799,000","6,208,000","2,591,000",0,0,0,0,"34,000","-34,000","863,167","1,181,884","596,717","585,167","432,000","154,000","278,000","3,420,167"
2329,華泰            ,"4,241,000","850,000","3,391,000",0,0,0,0,"35,000","-35,000","39,108",108,0,108,"51,000","12,000","39,000","3,395,108"
2515,中工            ,"3,928,000","732,000","3,196,000",0,0,0,"121,000",0,"121,000","-15,447","76,000","68,000","8,000","6,553","30,000","-23,447","3,301,553"
"=""033706""",廣宇元富52購01  ,0,0,0,0,0,0,0,0,0,"3,292,000",0,0,0,"4,662,000","1,370,000","3,292,000","3,292,000"
"=""031230""",台積電統一47購02,0,0,0,0,0,0,0,0,0,"3,219,000",0,0,0,"3,274,000","55,000","3,219,000","3,219,000"
"=""00897""",富邦基因免疫生技,"2,128,000","9,000","2,119,000",0,0,0,0,0,0,"1,060,872",0,0,0,"1,112,000","51,128","1,060,872","3,179,872"
4960,誠美材          ,"4,150,000","1,001,000","3,149,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,149,000"
"=""00673R""",期元大S&P原油反1,"939,000",0,"939,000",0,0,0,0,0,0,"2,153,000","340,000",0,"340,000","3,028,000","1,215,000","1,813,000","3,092,000"
2368,金像電          ,"5,848,000","3,971,000","1,877,000",0,0,0,"79,000",0,"79,000","905,215","866,771","290,392","576,379","455,141","126,305","328,836","2,861,215"
6257,矽格            ,"3,599,000","1,002,838","2,596,162",0,0,0,0,"15,000","-15,000","10,359","13,259","195,000","-181,741","314,100","122,000","192,100","2,591,521"
2382,廣達            ,"3,384,730","936,584","2,448,146",0,0,0,"9,000","23,000","-14,000","64,000","79,000",0,"79,000",0,"15,000","-15,000","2,498,146"
2884,玉山金          ,"6,592,200","5,103,555","1,488,645",0,0,0,"821,000","6,000","815,000","110,000","110,000",0,"110,000",0,0,0,"2,413,645"
"=""020022""",元大電動車N     ,0,0,0,0,0,0,0,0,0,"2,403,000",0,0,0,"2,918,000","515,000","2,403,000","2,403,000"
1721,三晃            ,"4,296,000","1,635,000","2,661,000",0,0,0,0,0,0,"-366,000",0,0,0,0,"366,000","-366,000","2,295,000"
2603,長榮            ,"28,894,307","35,538,341","-6,644,034",0,0,0,"4,473,000","2,000","4,471,000","4,299,779","5,199,774","764,790","4,434,984","1,098,685","1,233,890","-135,205","2,126,745"
3714,富采            ,"2,678,073","858,000","1,820,073",0,0,0,"282,000",0,"282,000","-82,402","24,598","3,000","21,598","211,000","315,000","-104,000","2,019,671"
2354,鴻準            ,"3,019,431","1,024,204","1,995,227",0,0,0,"1,000",0,"1,000","-19,127","128,873","145,000","-16,127","41,000","44,000","-3,000","1,977,100"
2308,台達電          ,"6,292,023","4,328,333","1,963,690",0,0,0,"8,000","35,000","-27,000","10,164","81,593","76,000","5,593","23,571","19,000","4,571","1,946,854"
"=""043936""",建準元大55購03  ,0,0,0,0,0,0,0,0,0,"1,930,000",0,0,0,"2,000,000","70,000","1,930,000","1,930,000"
"=""043656""",亞力統一5B購01  ,0,"1,000","-1,000",0,0,0,0,0,0,"1,923,000",0,0,0,"2,111,000","188,000","1,923,000","1,922,000"
"=""00876""",元大全球5G      ,"62,000","37,000","25,000",0,0,0,0,0,0,"1,835,045",0,"25,000","-25,000","3,067,045","1,207,000","1,860,045","1,860,045"
