證券代號,證券名稱,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""00632R""",元大台灣50反1   ,"2,669,000","150,000","2,519,000",0,0,0,"14,295,000","513,000","1,750,000","-1,237,000","24,137,000","8,605,000","15,532,000","16,814,000"
2882,國泰金          ,"21,361,120","10,092,690","11,268,430","732,000",0,"732,000","2,389,000","665,000","699,000","-34,000","3,274,000","851,000","2,423,000","14,389,430"
2891,中信金          ,"27,742,384","15,006,040","12,736,344","472,000",0,"472,000","600,000","570,000","451,000","119,000","562,000","81,000","481,000","13,808,344"
2881,富邦金          ,"15,308,813","6,172,186","9,136,627","92,000",0,"92,000","3,196,000","420,000","735,000","-315,000","3,931,000","420,000","3,511,000","12,424,627"
2887,台新新光金      ,"11,679,118","3,925,000","7,754,118","9,000",0,"9,000","2,000","2,000",0,"2,000",0,0,0,"7,765,118"
2610,華航            ,"15,502,000","8,387,499","7,114,501","2,000",0,"2,000","364,000","300,000","115,000","185,000","179,000",0,"179,000","7,480,501"
2823,中壽            ,"10,293,000","3,604,000","6,689,000","2,000",0,"2,000","200,000","20,000","83,000","-63,000","309,000","46,000","263,000","6,891,000"
2337,旺宏            ,"36,663,621","26,435,000","10,228,621",0,"1,530,000","-1,530,000","-3,238,000","1,000","208,000","-207,000","1,355,000","4,386,000","-3,031,000","5,460,621"
2884,玉山金          ,"14,688,900","9,075,000","5,613,900","9,000",0,"9,000","-629,000","10,000","117,000","-107,000","79,000","601,000","-522,000","4,993,900"
"=""065344""",京元電國泰48購03,0,0,0,0,0,0,"4,928,000",0,0,0,"5,150,000","222,000","4,928,000","4,928,000"
"=""062088""",全新元大4C購01  ,0,0,0,0,0,0,"4,743,000",0,0,0,"5,012,000","269,000","4,743,000","4,743,000"
"=""065152""",大立光群益47購06,0,0,0,0,0,0,"4,339,000",0,0,0,"5,124,000","785,000","4,339,000","4,339,000"
1909,榮成            ,"3,870,000","753,000","3,117,000",0,0,0,"863,000","148,000","52,000","96,000","953,000","186,000","767,000","3,980,000"
"=""04548P""",臺股指元大44售29,0,0,0,0,0,0,"3,948,000",0,0,0,"4,312,000","364,000","3,948,000","3,948,000"
6278,台表科          ,"4,095,000","98,000","3,997,000",0,0,0,"-64,000",0,"64,000","-64,000",0,0,0,"3,933,000"
2890,永豐金          ,"7,312,728","3,557,000","3,755,728","171,000",0,"171,000","3,000",0,0,0,"3,000",0,"3,000","3,929,728"
2883,凱基金          ,"6,114,681","5,286,000","828,681","13,000",0,"13,000","2,951,000","2,000,000",0,"2,000,000","1,087,000","136,000","951,000","3,792,681"
"=""068848""",亞翔統一52購01  ,0,0,0,0,0,0,"3,777,000",0,0,0,"4,667,000","890,000","3,777,000","3,777,000"
"=""068837""",聯發科統一62購03,0,0,0,0,0,0,"3,607,000",0,0,0,"3,808,000","201,000","3,607,000","3,607,000"
1609,大亞            ,"4,149,000","461,000","3,688,000",0,0,0,"-106,000","19,000","125,000","-106,000",0,0,0,"3,582,000"
"=""061521""",台達電中信49購01,0,0,0,0,0,0,"3,465,000",0,0,0,"3,741,000","276,000","3,465,000","3,465,000"
"=""00677U""",期富邦VIX       ,"222,000","1,000,000","-778,000",0,0,0,"4,093,000",0,0,0,"4,505,000","412,000","4,093,000","3,315,000"
1710,東聯            ,"3,838,000","585,000","3,253,000",0,0,0,"-285,000","183,000","7,000","176,000","75,000","536,000","-461,000","2,968,000"
"=""068524""",汎銓元大48購01  ,0,0,0,0,0,0,"2,957,000",0,0,0,"2,967,000","10,000","2,957,000","2,957,000"
"=""064718""",美時統一3B購01  ,0,0,0,0,0,0,"2,854,000",0,0,0,"3,517,000","663,000","2,854,000","2,854,000"
"=""059136""",金融類凱基45購01,0,0,0,0,0,0,"2,763,000",0,0,0,"2,763,000",0,"2,763,000","2,763,000"
"=""061651""",精誠元大46購01  ,0,0,0,0,0,0,"2,749,000",0,0,0,"3,085,000","336,000","2,749,000","2,749,000"
2313,華通            ,"7,360,242","3,169,223","4,191,019",0,"1,586,000","-1,586,000","109,000","984,000","1,144,000","-160,000","489,000","220,000","269,000","2,714,019"
"=""065089""",台達電台新47購01,0,0,0,0,0,0,"2,647,000",0,0,0,"2,803,000","156,000","2,647,000","2,647,000"
1718,中纖            ,"5,142,000","373,000","4,769,000",0,0,0,"-2,134,000",0,"454,000","-454,000","97,000","1,777,000","-1,680,000","2,635,000"
"=""065277""",大立光永豐47購02,0,0,0,0,0,0,"2,460,000",0,0,0,"2,959,000","499,000","2,460,000","2,460,000"
"=""04354P""",台光電元富43售04,0,0,0,0,0,0,"2,444,000",0,0,0,"3,602,000","1,158,000","2,444,000","2,444,000"
3380,明泰            ,"1,844,000","1,732,000","112,000",0,0,0,"2,285,000","514,000","145,000","369,000","2,693,000","777,000","1,916,000","2,397,000"
"=""062598""",中磊元大46購02  ,0,0,0,0,0,0,"2,362,000",0,0,0,"2,362,000",0,"2,362,000","2,362,000"
"=""062527""",金像電國票47購03,0,0,0,0,0,0,"2,325,000",0,0,0,"2,535,000","210,000","2,325,000","2,325,000"
2615,萬海            ,"2,470,000","171,000","2,299,000",0,0,0,"17,000",0,0,0,"99,000","82,000","17,000","2,316,000"
"=""006206""",元大上證50      ,"938,000",0,"938,000",0,0,0,"1,305,000","41,000","1,000","40,000","1,525,000","260,000","1,265,000","2,243,000"
"=""068956""",鴻準富邦49購02  ,0,0,0,0,0,0,"2,225,000",0,0,0,"2,632,000","407,000","2,225,000","2,225,000"
"=""060214""",華城凱基48購02  ,0,0,0,0,0,0,"2,214,000",0,0,0,"2,314,000","100,000","2,214,000","2,214,000"
"=""04038P""",T50正2中信45售03,0,0,0,0,0,0,"2,182,000",0,0,0,"2,841,000","659,000","2,182,000","2,182,000"
"=""00639""",富邦深100       ,"1,769,000","322,000","1,447,000",0,0,0,"733,000","10,000",0,"10,000","1,337,000","614,000","723,000","2,180,000"
2353,宏��            ,"10,482,000","7,455,000","3,027,000","3,000",0,"3,000","-865,000","153,000","195,000","-42,000","223,000","1,046,000","-823,000","2,165,000"
3450,聯鈞            ,"2,293,000","870,000","1,423,000","311,000",0,"311,000","418,000","155,000","229,000","-74,000","780,000","288,000","492,000","2,152,000"
"=""063737""",鴻準國票48購03  ,0,0,0,0,0,0,"2,091,000",0,0,0,"2,126,000","35,000","2,091,000","2,091,000"
2340,台亞            ,"3,358,000","1,150,417","2,207,583",0,0,0,"-126,000","186,000","371,000","-185,000","606,000","547,000","59,000","2,081,583"
2809,京城銀          ,"2,691,000","600,000","2,091,000",0,0,0,"-11,000","2,000","13,000","-11,000",0,0,0,"2,080,000"
"=""068173""",富世達統一62購02,0,0,0,0,0,0,"2,053,000",0,0,0,"3,191,000","1,138,000","2,053,000","2,053,000"
1216,統一            ,"5,397,448","3,722,659","1,674,789","139,000",0,"139,000","168,000","144,000",0,"144,000","42,000","18,000","24,000","1,981,789"
"=""05216P""",台積電永豐47售06,0,0,0,0,0,0,"1,971,000",0,0,0,"1,971,000",0,"1,971,000","1,971,000"
"=""05440P""",長榮航中信45售01,0,0,0,0,0,0,"1,959,000",0,0,0,"2,464,000","505,000","1,959,000","1,959,000"
2303,聯電            ,"18,086,000","13,262,000","4,824,000","11,000",0,"11,000","-2,892,000","10,000","468,000","-458,000","1,061,000","3,495,000","-2,434,000","1,943,000"
"=""065042""",聯發科元大47購02,0,0,0,0,0,0,"1,940,000",0,0,0,"2,225,000","285,000","1,940,000","1,940,000"
2618,長榮航          ,"3,119,569","1,176,494","1,943,075","2,000",0,"2,000","-14,000","132,000","71,000","61,000","253,000","328,000","-75,000","1,931,075"
"=""05820P""",創意國票47售02  ,0,0,0,0,0,0,"1,908,000",0,0,0,"1,970,000","62,000","1,908,000","1,908,000"
2867,三商壽          ,"1,930,000","160,000","1,770,000",0,0,0,"93,000","93,000",0,"93,000",0,0,0,"1,863,000"
"=""068013""",緯穎群益47購09  ,0,0,0,0,0,0,"1,810,000",0,0,0,"1,810,000",0,"1,810,000","1,810,000"
"=""066548""",聯發科凱基47購05,0,0,0,0,0,0,"1,799,000",0,0,0,"1,954,000","155,000","1,799,000","1,799,000"
1802,台玻            ,"2,059,000","174,000","1,885,000","267,000","550,000","-283,000","190,000","100,000",0,"100,000","90,000",0,"90,000","1,792,000"
"=""061621""",S&P正2元大47購01,0,0,0,0,0,0,"1,742,000",0,0,0,"1,762,000","20,000","1,742,000","1,742,000"
"=""03846P""",T50正2凱基45售02,0,0,0,0,0,0,"1,715,000",0,0,0,"1,715,000",0,"1,715,000","1,715,000"
2885,元大金          ,"15,205,118","14,698,000","507,118","10,000","153,000","-143,000","1,341,000","30,000",0,"30,000","1,614,000","303,000","1,311,000","1,705,118"
"=""066130""",直得統一61購01  ,0,0,0,0,0,0,"1,690,000",0,0,0,"1,990,000","300,000","1,690,000","1,690,000"
"=""065728""",圓剛元大47購01  ,0,0,0,0,0,0,"1,680,000",0,0,0,"1,950,000","270,000","1,680,000","1,680,000"
"=""04415P""",臺股指元大43售80,0,"20,000","-20,000",0,0,0,"1,687,000",0,0,0,"1,980,000","293,000","1,687,000","1,667,000"
"=""068629""",日月光元大48購02,0,0,0,0,0,0,"1,662,000",0,0,0,"2,679,000","1,017,000","1,662,000","1,662,000"
"=""063806""",台光電凱基46購11,0,0,0,0,0,0,"1,636,000",0,0,0,"1,906,000","270,000","1,636,000","1,636,000"
"=""060912""",奇鋐國票47購01  ,0,0,0,0,0,0,"1,633,000",0,0,0,"1,663,000","30,000","1,633,000","1,633,000"
"=""066132""",為升統一51購01  ,0,0,0,0,0,0,"1,620,000",0,0,0,"1,797,000","177,000","1,620,000","1,620,000"
"=""068716""",臺股指凱基4C購07,"10,000","10,000",0,0,0,0,"1,564,000",0,0,0,"1,668,000","104,000","1,564,000","1,564,000"
6153,嘉聯益          ,"2,146,000","821,768","1,324,232","425,000",0,"425,000","-216,000","596,000","749,000","-153,000","397,000","460,000","-63,000","1,533,232"
"=""064412""",國巨凱基48購02  ,0,0,0,0,0,0,"1,520,000",0,0,0,"1,520,000",0,"1,520,000","1,520,000"
"=""065017""",威盛元富45購01  ,0,0,0,0,0,0,"1,485,000",0,0,0,"1,615,000","130,000","1,485,000","1,485,000"
"=""062799""",堤維西元大46購03,0,0,0,0,0,0,"1,479,000",0,0,0,"1,489,000","10,000","1,479,000","1,479,000"
2855,統一證          ,"1,261,000","83,000","1,178,000","300,000",0,"300,000",0,0,0,0,0,0,0,"1,478,000"
"=""065489""",威盛群益3C購04  ,0,0,0,0,0,0,"1,477,000",0,0,0,"1,477,000",0,"1,477,000","1,477,000"
"=""069225""",台積電元富48購13,0,0,0,0,0,0,"1,461,000",0,0,0,"2,632,000","1,171,000","1,461,000","1,461,000"
"=""063611""",聯發科凱基44購01,0,0,0,0,0,0,"1,460,000",0,0,0,"2,635,000","1,175,000","1,460,000","1,460,000"
"=""00634R""",富邦上証反1     ,"339,000",0,"339,000",0,0,0,"1,121,000",0,0,0,"1,278,000","157,000","1,121,000","1,460,000"
"=""069256""",精銳第一48購02  ,0,0,0,0,0,0,"1,455,000",0,0,0,"1,683,000","228,000","1,455,000","1,455,000"
"=""065301""",鴻準統一51購03  ,0,0,0,0,0,0,"1,442,000",0,0,0,"2,213,000","771,000","1,442,000","1,442,000"
1313,聯成            ,"2,141,000","701,000","1,440,000",0,0,0,"-12,000",0,"12,000","-12,000",0,0,0,"1,428,000"
"=""00673R""",期元大S&P原油反1,"143,000",0,"143,000",0,0,0,"1,274,000",0,0,0,"1,403,000","129,000","1,274,000","1,417,000"
"=""00676R""",富邦臺灣加權反1 ,"179,000",0,"179,000",0,0,0,"1,230,000",0,"650,000","-650,000","3,411,000","1,531,000","1,880,000","1,409,000"
"=""066942""",聯詠富邦4B購01  ,0,0,0,0,0,0,"1,397,000",0,0,0,"1,579,000","182,000","1,397,000","1,397,000"
"=""065744""",瑞鼎元大47購01  ,0,0,0,0,0,0,"1,395,000",0,0,0,"2,830,000","1,435,000","1,395,000","1,395,000"
"=""068376""",臺股指富邦4C購04,0,0,0,0,0,0,"1,392,000",0,0,0,"1,766,000","374,000","1,392,000","1,392,000"
"=""068797""",同欣電統一43購01,0,0,0,0,0,0,"1,387,000",0,0,0,"1,660,000","273,000","1,387,000","1,387,000"
2486,一詮            ,"1,676,000","319,000","1,357,000",0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"1,355,000"
"=""069152""",精成科群益52購01,0,0,0,0,0,0,"1,339,000",0,0,0,"1,668,000","329,000","1,339,000","1,339,000"
"=""059037""",新日興永豐46購01,0,0,0,0,0,0,"1,327,000",0,0,0,"2,158,000","831,000","1,327,000","1,327,000"
"=""066957""",台積電元大47購29,0,0,0,0,0,0,"1,318,000",0,0,0,"1,318,000",0,"1,318,000","1,318,000"
"=""064149""",群創富邦46購03  ,0,0,0,0,0,0,"1,316,000",0,0,0,"2,250,000","934,000","1,316,000","1,316,000"
"=""05251P""",迅得凱基45售01  ,0,0,0,0,0,0,"1,311,000",0,0,0,"1,536,000","225,000","1,311,000","1,311,000"
"=""063901""",愛普元大46購01  ,0,0,0,0,0,0,"1,281,000",0,0,0,"1,331,000","50,000","1,281,000","1,281,000"
2419,仲琦            ,"1,558,000","353,000","1,205,000",0,0,0,"70,000","83,000","113,000","-30,000","100,000",0,"100,000","1,275,000"
"=""03504C""",金融類元大73牛01,0,0,0,0,0,0,"1,259,000",0,0,0,"1,266,000","7,000","1,259,000","1,259,000"
"=""04259P""",臺股指凱基44售21,0,0,0,0,0,0,"1,247,000",0,0,0,"2,015,000","768,000","1,247,000","1,247,000"
"=""00664R""",國泰臺灣加權反1 ,0,0,0,0,0,0,"1,242,000","150,000",0,"150,000","2,616,000","1,524,000","1,092,000","1,242,000"
1528,恩德            ,"1,335,000","94,000","1,241,000",0,0,0,0,0,0,0,0,0,0,"1,241,000"
"=""04367P""",大立光國票44售02,0,0,0,0,0,0,"1,232,000",0,0,0,"2,404,000","1,172,000","1,232,000","1,232,000"
"=""068978""",川湖兆豐48購01  ,0,0,0,0,0,0,"1,230,000",0,0,0,"1,300,000","70,000","1,230,000","1,230,000"
"=""062990""",保瑞元大46購12  ,0,0,0,0,0,0,"1,211,000",0,0,0,"1,493,000","282,000","1,211,000","1,211,000"
2484,希華            ,"1,332,000","129,000","1,203,000",0,0,0,0,0,0,0,0,0,0,"1,203,000"
6005,群益證          ,"2,372,000","1,969,000","403,000","800,000",0,"800,000",0,0,0,0,0,0,0,"1,203,000"
1714,和桐            ,"2,174,000","234,000","1,940,000",0,0,0,"-740,000",0,"44,000","-44,000","23,000","719,000","-696,000","1,200,000"
"=""067999""",鴻海群益47購21  ,0,0,0,0,0,0,"1,189,000",0,0,0,"2,152,000","963,000","1,189,000","1,189,000"
"=""061413""",材料群益46購10  ,0,0,0,0,0,0,"1,188,000",0,0,0,"1,221,000","33,000","1,188,000","1,188,000"
"=""067578""",至上富邦49購01  ,0,0,0,0,0,0,"1,181,000",0,0,0,"1,382,000","201,000","1,181,000","1,181,000"
"=""060622""",聯發科國票47購02,0,0,0,0,0,0,"1,179,000",0,0,0,"2,268,000","1,089,000","1,179,000","1,179,000"
"=""066824""",所羅門凱基47購01,0,0,0,0,0,0,"1,170,000",0,0,0,"1,266,000","96,000","1,170,000","1,170,000"
3017,奇鋐            ,"3,486,000","2,150,000","1,336,000","3,000",0,"3,000","-175,000","59,000","16,000","43,000","602,000","820,000","-218,000","1,164,000"
"=""05463P""",中砂元大45售05  ,0,0,0,0,0,0,"1,149,000",0,0,0,"1,239,000","90,000","1,149,000","1,149,000"
"=""062432""",神達永豐46購04  ,0,0,0,0,0,0,"1,144,000",0,0,0,"1,424,000","280,000","1,144,000","1,144,000"
1560,中砂            ,"1,186,000","463,000","723,000","28,000",0,"28,000","392,000","127,000","3,000","124,000","403,000","135,000","268,000","1,143,000"
"=""067412""",達興統一51購02  ,0,0,0,0,0,0,"1,140,000",0,0,0,"1,751,000","611,000","1,140,000","1,140,000"
2498,宏達電          ,"2,144,000","1,041,000","1,103,000",0,0,0,"35,000","12,000","92,000","-80,000","281,000","166,000","115,000","1,138,000"
"=""062729""",偉訓元富49購01  ,0,0,0,0,0,0,"1,137,000",0,0,0,"1,208,000","71,000","1,137,000","1,137,000"
