證券代號,證券名稱,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""053644""",京鼎凱基44購02  ,0,0,0,0,0,0,"-310,000",0,0,0,"60,000","370,000","-310,000","-310,000"
"=""055720""",元債2X元富42購01,0,0,0,0,0,0,"-310,000",0,0,0,0,"310,000","-310,000","-310,000"
"=""051028""",金像電凱基44購04,0,0,0,0,0,0,"-311,000",0,0,0,"10,000","321,000","-311,000","-311,000"
"=""055156""",創意中信46購01  ,0,0,0,0,0,0,"-312,000",0,0,0,"3,000","315,000","-312,000","-312,000"
"=""050594""",怡利電元大43購07,0,0,0,0,0,0,"-313,000",0,0,0,"70,000","383,000","-313,000","-313,000"
"=""00657""",國泰日經225     ,0,0,0,0,0,0,"-313,000",0,0,0,"399,000","712,000","-313,000","-313,000"
"=""054121""",京元電群益44購03,0,0,0,0,0,0,"-314,000",0,0,0,0,"314,000","-314,000","-314,000"
2474,可成            ,"1,154,608","1,433,389","-278,781",0,0,0,"-36,000","22,000","14,000","8,000",0,"44,000","-44,000","-314,781"
"=""052110""",敦泰群益43購01  ,0,0,0,0,0,0,"-315,000",0,0,0,"188,000","503,000","-315,000","-315,000"
1402,遠東新          ,"2,026,000","2,308,445","-282,445",0,0,0,"-33,000","220,000","288,000","-68,000","53,000","18,000","35,000","-315,445"
"=""052701""",傳奇元富47購01  ,0,0,0,0,0,0,"-316,000",0,0,0,"44,000","360,000","-316,000","-316,000"
"=""055756""",緯創國泰46購04  ,0,0,0,0,0,0,"-316,000",0,0,0,"259,000","575,000","-316,000","-316,000"
"=""054198""",奇鋐元富4A購02  ,0,0,0,0,0,0,"-317,000",0,0,0,"100,000","417,000","-317,000","-317,000"
"=""052207""",鴻海元富46購02  ,0,0,0,0,0,0,"-318,000",0,0,0,"394,000","712,000","-318,000","-318,000"
"=""054331""",晶豪科群益44購03,0,0,0,0,0,0,"-318,000",0,0,0,"10,000","328,000","-318,000","-318,000"
"=""054365""",上銀統一4A購03  ,0,0,0,0,0,0,"-318,000",0,0,0,0,"318,000","-318,000","-318,000"
"=""06957P""",台積電元大48售29,0,0,0,0,0,0,"-318,000",0,0,0,"69,000","387,000","-318,000","-318,000"
"=""054965""",潤隆元富44購01  ,0,0,0,0,0,0,"-319,000",0,0,0,"3,000","322,000","-319,000","-319,000"
"=""055669""",威強電群益45購01,0,0,0,0,0,0,"-320,000",0,0,0,"409,000","729,000","-320,000","-320,000"
"=""06227P""",亞光國票46售04  ,0,0,0,0,0,0,"-322,000",0,0,0,0,"322,000","-322,000","-322,000"
"=""06415P""",神達元大46售12  ,0,0,0,0,0,0,"-323,000",0,0,0,0,"323,000","-323,000","-323,000"
"=""053267""",國企2X永豐48購02,0,0,0,0,0,0,"-323,000",0,0,0,"268,000","591,000","-323,000","-323,000"
"=""055363""",緯穎元富44購03  ,0,0,0,0,0,0,"-323,000",0,0,0,"43,000","366,000","-323,000","-323,000"
"=""055043""",健策凱基46購01  ,0,0,0,0,0,0,"-324,000",0,0,0,"89,000","413,000","-324,000","-324,000"
"=""053361""",長榮統一48購04  ,0,0,0,0,0,0,"-325,000",0,0,0,"30,000","355,000","-325,000","-325,000"
"=""07585P""",南亞科凱基4A售03,0,0,0,0,0,0,"-328,000",0,0,0,0,"328,000","-328,000","-328,000"
"=""055134""",貿聯國泰46購01  ,0,0,0,0,0,0,"-329,000",0,0,0,"52,000","381,000","-329,000","-329,000"
"=""054814""",矽統國票45購03  ,0,0,0,0,0,0,"-330,000",0,0,0,0,"330,000","-330,000","-330,000"
"=""056037""",創意凱基44購06  ,0,0,0,0,0,0,"-330,000",0,0,0,"1,110,000","1,440,000","-330,000","-330,000"
"=""054917""",訊芯群益44購07  ,0,0,0,0,0,0,"-331,000",0,0,0,0,"331,000","-331,000","-331,000"
"=""055163""",川湖元富4A購03  ,0,0,0,0,0,0,"-332,000",0,0,0,"81,000","413,000","-332,000","-332,000"
"=""052907""",上緯控國票45購01,0,0,0,0,0,0,"-333,000",0,0,0,"680,000","1,013,000","-333,000","-333,000"
"=""07669P""",臺股指元富49售24,0,0,0,0,0,0,"-333,000",0,0,0,0,"333,000","-333,000","-333,000"
"=""07427P""",臺股指元富48售07,0,0,0,0,0,0,"-334,000",0,0,0,0,"334,000","-334,000","-334,000"
