ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
114/12/01,"128,808","2,473,815",19.35,19.35,19.05,19.25,-0.05,80.0
114/12/02,"262,665","5,061,852",19.1,19.45,19.05,19.4,0.15,120.0
114/12/03,"163,550","3,149,337",19.4,19.4,19.15,19.4,0.0,79.0
114/12/04,"147,992","2,853,720",19.25,19.4,19.15,19.35,-0.05,77.0
弧:,,,,,,,,
才腹弧:+/-/Xボ害/禴/ぃゑ基,,,,,,,,
讽ら参璸戈癟箂絃﹚基ぃ筪肂╃芥夹潦,,,,,,,,
ETF靡ㄩ�
