排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"529,164,465","180,276",31.85,34.4,31.5,33.2,+,1.65,33.2,33.25,
2,2337,旺宏,"436,921,362","153,524",38.9,41.65,38.8,40.2,+,2.3,40.15,40.2,
3,2408,南亞科,"286,107,518","159,604",167.5,172.5,164.0,164.5,+,3.0,164.0,164.5,
4,1802,台玻,"214,971,471","75,403",29.15,32.05,29.05,32.05,+,2.9,32.05,0.0,
5,8110,華東,"183,219,402","65,929",33.2,34.85,32.75,34.85,+,3.15,34.85,0.0,
6,1303,南亞,"123,131,763","60,886",43.65,46.45,43.5,45.3,+,2.05,45.25,45.3,
7,8112,至上,"119,705,881","79,265",80.7,83.4,77.8,80.0,+,0.6,80.0,80.1,
8,"=""00981A""",主動統一台股增長,"93,305,717","17,736",15.97,16.0,15.75,15.76,-,0.05,15.75,15.76,
9,1605,華新,"90,158,152","34,844",29.7,31.1,29.5,30.3,+,0.7,30.3,30.35,
10,1314,中石化,"88,555,980","21,404",8.5,8.65,8.24,8.34,-,0.32,8.33,8.34,
11,3231,緯創,"84,453,986","52,259",141.0,148.0,140.5,144.5,+,6.0,144.5,145.0,
12,"=""0050""",元大台灣50,"79,723,934","85,077",63.65,63.7,62.85,62.9,-,0.45,62.9,62.95,
13,2887,台新新光金,"73,730,032","11,549",19.25,19.5,19.25,19.3,+,0.35,19.3,19.35,
14,2374,佳能,"71,227,199","65,313",86.9,92.5,86.3,90.5,+,4.6,90.5,90.6,
15,"=""00919""",群益台灣精選高息,"65,364,337","16,323",21.52,21.65,21.49,21.5,+,0.07,21.5,21.51,
16,3481,群創,"64,029,018","17,276",13.35,13.4,12.9,12.9,-,0.45,12.9,12.95,
17,2884,玉山金,"61,889,439","20,277",29.8,30.2,29.75,30.15,+,0.65,30.1,30.15,
18,3706,神達,"60,470,358","40,605",96.3,97.8,95.2,96.4,+,4.1,96.3,96.4,
19,2867,三商壽,"57,104,282","5,717",7.2,7.3,7.17,7.28,+,0.12,7.27,7.28,
20,"=""00982A""",主動群益台灣強棒,"56,142,135","13,040",14.4,14.4,14.22,14.24,,0.0,14.23,14.24,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
