排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3481,群創,"244,270,677","46,096",15.4,15.7,14.9,15.15,+,0.15,15.15,15.2
2,"=""00929""",復華台灣科技優息,"186,636,226","63,465",18.8,18.85,18.65,18.66,-,0.08,18.66,18.67
3,"=""00637L""",元大滬深300正2,"141,780,770","13,741",11.08,11.11,10.76,10.78,-,0.41,10.78,10.79
4,2353,宏��,"139,577,312","57,662",49.1,50.9,48.3,48.45,+,0.2,48.4,48.45
5,2409,友達,"132,733,803","32,996",19.35,19.7,18.9,19.2,+,0.4,19.15,19.2
6,2609,陽明,"110,770,058","52,954",57.8,58.5,56.2,56.5,-,1.5,56.5,56.6
7,"=""00919""",群益台灣精選高息,"76,382,334","31,127",22.17,22.21,22.05,22.07,-,0.03,22.06,22.07
8,"=""00632R""",元大台灣50反1,"76,128,250","2,686",4.56,4.57,4.53,4.56,-,0.03,4.56,4.57
9,"=""00680L""",元大美債20正2,"74,744,390","7,737",9.4,9.4,9.33,9.36,-,0.18,9.35,9.36
10,"=""00665L""",富邦�琤肭磪囓�2,"74,491,617","6,199",5.33,5.36,5.06,5.06,-,0.32,5.06,5.07
11,6770,力積電,"65,901,191","25,458",31.0,31.15,29.9,29.9,-,0.95,29.9,29.95
12,2303,聯電,"64,092,871","23,963",51.0,51.0,50.1,50.5,-,0.3,50.5,50.6
13,2891,中信金,"52,695,517","15,118",28.2,28.5,28.15,28.4,+,0.3,28.35,28.4
14,2362,藍天,"52,445,550","26,928",44.8,48.85,44.65,47.75,+,3.3,47.75,47.8
15,"=""00753L""",中信中國50正2,"51,256,273","7,040",6.88,6.92,6.57,6.57,-,0.39,6.57,6.58
16,2388,威盛,"50,684,196","32,879",162.0,167.5,149.0,149.0,-,11.0,149.0,149.5
17,2618,長榮航,"48,726,422","15,097",32.7,33.0,32.4,32.55,-,0.1,32.55,32.6
18,2324,仁寶,"48,251,313","19,004",37.4,38.15,37.2,37.75,+,0.8,37.7,37.75
19,2498,宏達電,"43,799,576","14,218",51.5,53.7,51.5,52.9,+,4.0,52.9,53.0
20,2356,英業達,"41,599,278","19,347",51.4,52.3,51.2,51.2,+,0.4,51.2,51.3
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
