排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2888,新光金,"287,927,262","37,051",11.2,11.5,11.1,11.35,+,0.25,11.35,11.4
2,2883,凱基金,"201,500,411","45,077",18.2,18.6,18.0,18.45,+,0.2,18.45,18.5
3,2610,華航,"193,248,174","60,980",26.6,26.65,25.25,25.25,-,1.05,25.2,25.25
4,2603,長榮,"155,994,474","73,710",135.5,136.0,128.0,128.5,-,5.5,128.5,129.0
5,2614,東森,"110,519,345","50,504",40.25,42.15,39.8,41.75,+,2.25,41.75,41.8
6,2409,友達,"93,891,152","21,503",23.2,23.3,22.6,22.65,-,0.2,22.65,22.7
7,"=""00632R""",元大台灣50反1,"86,030,319","3,098",5.08,5.11,5.07,5.08,-,0.03,5.08,5.09
8,2618,長榮航,"83,064,291","29,989",26.35,26.55,25.25,25.3,-,0.85,25.3,25.35
9,2303,聯電,"74,326,930","32,024",62.7,62.8,61.8,61.9,-,0.2,61.9,62.0
10,2891,中信金,"65,537,576","21,562",27.1,27.75,27.05,27.4,,0.0,27.35,27.4
11,2834,臺企銀,"62,841,880","12,687",10.55,10.65,10.4,10.55,+,0.05,10.55,10.6
12,3714,富采,"60,823,446","45,832",95.1,97.5,91.6,92.7,,0.0,92.7,92.8
13,2608,嘉里大榮,"56,646,758","31,798",49.45,53.8,49.3,50.0,-,0.2,49.95,50.0
14,3481,群創,"56,247,484","12,314",19.2,19.25,18.8,18.9,-,0.05,18.85,18.9
15,2609,陽明,"54,098,310","27,703",113.5,114.0,107.5,108.0,-,4.0,108.0,108.5
16,2498,宏達電,"53,630,983","27,318",73.4,74.4,70.5,72.0,-,0.3,72.0,72.2
17,2882,國泰金,"49,410,447","20,624",64.4,65.0,63.8,64.7,+,0.2,64.6,64.7
18,2358,廷鑫,"42,311,927","19,247",25.55,27.4,25.5,26.3,+,0.8,26.3,26.35
19,2881,富邦金,"41,020,127","25,726",79.9,80.4,78.8,80.0,+,0.1,79.9,80.0
20,2330,台積電,"40,832,298","39,164",657.0,660.0,650.0,660.0,+,9.0,659.0,660.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
