排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2603,長榮,"564,485,036","167,792",44.75,46.2,42.25,42.55,-,2.95,42.55,42.6,
2,3481,群創,"460,043,783","80,468",13.95,14.0,12.85,13.3,-,0.7,13.25,13.3,
3,"=""00677U""",期富邦VIX,"304,740,107","19,194",4.02,4.19,4.0,4.19,+,0.16,4.18,4.19,
4,2303,聯電,"302,206,740","103,484",47.55,47.75,45.9,46.95,+,0.6,46.95,47.0,
5,2409,友達,"272,412,902","49,994",14.0,14.1,13.0,13.5,-,0.5,13.45,13.5,
6,"=""00632R""",元大台灣50反1,"231,911,826","15,190",6.83,6.96,6.78,6.89,+,0.02,6.88,6.89,
7,2317,鴻海,"222,119,287","114,160",107.5,109.0,102.0,105.0,+,1.0,104.5,105.0,
8,2344,華邦電,"192,450,388","60,269",28.75,28.9,27.05,27.35,-,1.1,27.35,27.4,
9,2014,中鴻,"181,735,874","54,153",18.15,18.85,16.85,17.65,-,0.15,17.65,17.7,
10,2328,廣宇,"165,909,421","56,525",34.1,34.1,32.4,34.1,+,3.1,34.1,0.0,
11,"=""00715L""",期街口布蘭特正2,"154,905,638","7,247",4.85,4.93,4.85,4.88,+,0.36,4.88,4.89,
12,1314,中石化,"139,351,620","24,292",11.7,11.8,10.95,11.05,-,0.55,11.05,11.1,
13,3037,欣興,"114,758,736","60,994",95.5,98.0,90.5,91.1,-,3.2,91.1,91.2,
14,2002,中鋼,"103,147,812","35,750",26.5,26.8,25.2,25.5,-,0.5,25.5,25.55,
15,"=""00637L""",元大滬深300正2,"99,450,184","9,348",29.43,30.31,29.28,29.73,+,0.76,29.72,29.73,
16,6116,彩晶,"81,781,285","16,212",12.25,12.25,11.45,11.8,-,0.35,11.8,11.85,
17,2337,旺宏,"80,952,893","35,344",40.65,40.95,38.7,39.2,-,1.3,39.15,39.2,
18,2615,萬海,"72,871,392","31,869",54.5,55.5,50.0,50.3,-,4.3,50.3,50.4,
19,2610,華航,"68,429,910","15,775",11.3,11.65,11.1,11.15,-,0.2,11.1,11.15,
20,"=""00881""",國泰台灣科技龍頭,"67,389,871","24,170",15.9,16.14,15.69,15.85,+,0.08,15.85,15.86,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
