排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2888,新光金,"713,984,371","61,800",11.2,11.85,11.05,11.8,+,0.7,11.75,11.8
2,"=""00632R""",元大台灣50反1,"129,910,967","5,833",3.4,3.43,3.39,3.42,-,0.01,3.41,3.42
3,"=""00715L""",期街口布蘭特正2,"95,815,165","14,810",14.42,14.45,14.24,14.32,-,0.72,14.31,14.32
4,"=""00680L""",元大美債20正2,"91,664,017","7,292",9.54,9.54,9.45,9.47,-,0.06,9.46,9.47
5,2317,鴻海,"85,359,040","60,468",189.5,191.0,186.0,186.5,-,0.5,186.5,187.0
6,"=""00929""",復華台灣科技優息,"76,542,277","29,945",19.76,19.78,19.64,19.66,X,0.0,19.65,19.66
7,8028,昇陽半導體,"68,378,650","40,877",129.5,136.0,125.0,127.5,-,1.0,127.5,128.0
8,2354,鴻準,"61,843,375","35,955",65.6,71.4,65.6,69.7,+,4.3,69.7,69.8
9,"=""00940""",元大台灣價值高息,"60,790,427","12,593",9.82,9.87,9.79,9.8,+,0.03,9.79,9.8
10,2891,中信金,"56,764,727","25,976",35.2,35.2,34.65,35.0,,0.0,34.95,35.0
11,2365,昆盈,"55,414,269","34,077",66.6,68.0,64.4,65.3,-,0.1,65.2,65.3
12,3047,訊舟,"53,818,529","27,533",45.15,46.3,44.05,44.1,-,0.55,44.1,44.15
13,2356,英業達,"53,660,706","26,780",44.8,46.5,44.8,45.9,-,1.2,45.9,45.95
14,2303,聯電,"47,715,835","21,133",56.3,56.4,55.6,56.0,,0.0,55.9,56.0
15,"=""00688L""",國泰20年美債正2,"47,418,129","3,914",9.46,9.49,9.41,9.41,-,0.05,9.41,9.42
16,"=""00919""",群益台灣精選高息,"45,451,990","18,659",25.12,25.18,24.97,24.98,+,0.04,24.98,24.99
17,"=""00665L""",富邦�琤肭磪囓�2,"44,862,582","2,964",6.56,6.57,6.37,6.37,-,0.09,6.37,6.38
18,2374,佳能,"44,022,628","26,257",56.0,57.0,53.1,54.9,+,0.3,54.8,54.9
19,3535,晶彩科,"43,849,135","26,060",75.5,80.4,73.4,80.4,+,7.3,80.4,0.0
20,2618,長榮航,"42,712,279","13,248",34.7,35.0,34.65,34.95,+,0.45,34.95,35.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
