排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"574,169,179","139,047",22.2,23.5,21.85,23.2,+,1.15,23.2,23.25
2,2618,長榮航,"408,391,665","107,172",24.9,26.05,24.35,25.75,+,0.8,25.7,25.75
3,1711,永光,"314,469,705","115,995",30.15,32.45,29.0,29.4,-,0.85,29.4,29.45
4,3481,群創,"219,436,472","53,012",17.8,18.1,17.1,17.1,-,0.9,17.05,17.1
5,2603,長榮,"181,655,102","73,111",121.0,124.5,119.5,120.0,-,2.0,119.5,120.0
6,1314,中石化,"156,915,778","31,739",12.95,13.7,12.9,13.1,+,0.45,13.1,13.15
7,2609,陽明,"144,624,187","58,851",115.5,120.5,115.0,115.0,-,1.0,115.0,115.5
8,2303,聯電,"128,033,517","51,497",63.4,64.0,62.4,63.1,,0.0,63.1,63.2
9,2409,友達,"123,654,273","31,077",20.5,20.85,20.0,20.0,-,0.55,20.0,20.05
10,1727,中華化,"110,373,217","50,324",54.9,59.0,54.2,57.3,+,3.6,57.2,57.3
11,1721,三晃,"97,898,222","35,828",23.25,25.55,23.25,25.55,+,2.3,25.55,0.0
12,1440,南紡,"96,852,392","27,075",24.0,26.55,24.0,24.9,+,0.75,24.9,24.95
13,2371,大同,"94,082,658","30,344",33.8,34.0,32.2,32.75,-,1.75,32.75,32.8
14,2388,威盛,"93,120,475","40,718",90.0,92.5,87.0,92.5,+,8.4,92.5,0.0
15,6282,康舒,"79,958,901","38,271",35.1,38.35,34.8,37.1,+,2.2,37.1,37.15
16,"=""00637L""",元大滬深300正2,"67,947,497","12,069",21.4,21.45,20.43,20.7,-,0.71,20.69,20.7
17,3033,威健,"59,319,985","20,329",29.3,31.4,29.0,31.4,+,2.85,31.4,0.0
18,2615,萬海,"51,928,901","29,886",183.5,187.5,176.0,177.0,-,6.5,176.5,177.0
19,"=""00632R""",元大台灣50反1,"50,416,624","4,796",5.37,5.38,5.35,5.36,,0.0,5.36,5.37
20,"=""00893""",國泰智能電動車,"46,626,286","19,203",17.61,17.61,17.39,17.42,-,0.67,17.42,17.43
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
