排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"155,938,552","39,099",26.45,27.05,26.2,26.2,+,0.05,26.2,26.25
2,2312,金寶,"147,761,563","38,491",16.9,17.0,16.2,16.2,-,0.55,16.2,16.25
3,2618,長榮航,"119,390,517","33,633",27.0,27.8,26.8,26.8,+,0.2,26.8,26.85
4,2374,佳能,"118,813,490","47,328",28.7,30.45,28.0,30.45,+,2.75,30.45,0.0
5,2888,新光金,"116,621,226","11,597",10.6,10.85,10.6,10.7,+,0.1,10.7,10.75
6,2498,宏達電,"115,396,196","55,572",88.2,89.5,86.1,86.4,-,0.7,86.4,86.5
7,6282,康舒,"105,500,537","47,660",36.85,39.95,36.55,39.95,+,3.6,39.95,0.0
8,2303,聯電,"75,488,445","28,199",64.3,64.9,64.1,64.3,+,0.4,64.2,64.3
9,3059,華晶科,"75,094,093","40,036",50.9,52.1,49.65,50.8,+,0.8,50.8,50.9
10,3049,精金,"73,679,432","22,439",15.5,16.65,15.5,16.25,+,0.8,16.25,16.3
11,"=""00632R""",元大台灣50反1,"69,515,557","4,016",5.2,5.22,5.19,5.21,,0.0,5.2,5.21
12,2457,飛宏,"69,041,065","34,397",50.7,51.2,49.35,49.4,-,0.5,49.4,49.45
13,"=""00900""",富邦特選高股息30,"67,679,429","26,736",15.3,15.35,15.24,15.24,-,0.04,15.23,15.24
14,2883,凱基金,"66,006,404","14,220",16.75,16.95,16.7,16.85,+,0.15,16.8,16.85
15,2340,台亞,"64,024,203","27,953",69.3,73.2,69.0,73.2,+,6.6,73.2,0.0
16,3481,群創,"58,571,553","11,852",19.2,19.3,19.0,19.05,,0.0,19.05,19.1
17,2603,長榮,"54,760,175","25,468",140.5,142.0,138.0,139.0,,0.0,138.5,139.0
18,"=""00637L""",元大滬深300正2,"52,739,704","8,005",22.35,22.78,22.23,22.38,+,0.29,22.38,22.39
19,2409,友達,"49,699,740","13,962",22.45,22.6,22.25,22.45,+,0.25,22.4,22.45
20,3041,揚智,"49,675,754","25,671",38.05,40.35,37.85,38.85,+,1.05,38.8,38.85
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
