排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,9904,寶成,"213,558,928","11,554",28.6,28.85,28.1,28.25,-,0.35,28.25,28.3
2,2887,台新新光金,"183,607,991","9,319",16.35,16.4,16.1,16.1,-,0.3,16.1,16.15
3,9945,潤泰新,"157,726,694","11,279",30.05,30.3,29.2,29.2,-,1.05,29.2,29.3
4,1303,南亞,"153,225,364","61,879",44.85,45.7,43.2,44.4,+,1.85,44.35,44.4
5,2328,廣宇,"145,398,675","73,818",62.4,63.7,59.8,62.0,+,2.6,62.0,62.1
6,1504,東元,"133,692,887","73,098",75.1,75.6,68.9,69.7,-,4.5,69.7,69.8
7,6919,康霈*,"107,922,778","22,143",200.0,201.5,191.5,199.0,+,3.5,198.5,199.0
8,3481,群創,"92,092,798","13,246",13.45,13.65,13.2,13.35,-,0.05,13.35,13.4
9,2890,永豐金,"89,154,765","20,123",23.5,23.55,23.15,23.3,-,0.3,23.25,23.3
10,2409,友達,"77,358,701","8,376",12.8,13.0,12.6,13.0,+,0.3,12.95,13.0
11,2374,佳能,"77,272,808","52,178",78.5,85.9,77.3,83.2,+,4.7,83.2,83.3
12,"=""00715L""",期街口布蘭特正2,"76,441,540","6,020",11.57,11.62,11.55,11.6,+,0.25,11.6,11.61
13,2365,昆盈,"70,335,090","36,430",46.5,49.1,45.55,49.1,+,4.45,49.1,0.0
14,2884,玉山金,"69,113,484","8,764",33.25,33.7,33.05,33.7,+,0.3,33.65,33.7
15,"=""00919""",群益台灣精選高息,"66,726,223","34,537",21.54,21.55,21.45,21.45,-,0.1,21.45,21.46
16,"=""00637L""",元大滬深300正2,"65,007,386","8,973",19.18,19.45,19.07,19.33,+,0.34,19.32,19.33
17,2303,聯電,"64,250,411","9,212",40.5,41.8,40.35,41.8,+,1.25,41.8,41.85
18,3305,昇貿,"63,099,616","43,506",105.0,112.0,103.0,110.5,+,8.0,110.0,110.5
19,3706,神達,"60,134,814","41,198",99.0,99.6,96.5,97.2,-,1.5,97.1,97.2
20,"=""00981A""",主動統一台股增長,"59,073,504","9,675",12.98,13.07,12.87,13.07,+,0.07,13.07,13.08
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
