排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2344,華邦電,"227,254,069","60,412",20.65,22.55,20.6,22.55,+,2.05,22.55,0.0
2,2408,南亞科,"162,013,609","66,314",49.4,53.0,49.1,53.0,+,4.8,53.0,0.0
3,1802,台玻,"133,740,522","50,272",28.35,29.4,26.3,27.65,,0.0,27.6,27.65
4,2353,宏��,"111,309,517","44,975",35.6,35.6,33.25,33.4,+,0.95,33.4,33.45
5,2208,台船,"101,247,786","41,581",24.7,24.9,22.9,24.85,+,2.2,24.8,24.85
6,"=""00981A""",主動統一台股增長,"94,719,906","12,349",13.2,13.3,13.16,13.29,+,0.29,13.28,13.29
7,1605,華新,"71,665,879","25,137",22.85,23.5,22.35,23.3,-,0.6,23.25,23.3
8,"=""00982A""",主動群益台灣強棒,"71,425,992","8,965",12.58,12.7,12.53,12.68,+,0.28,12.67,12.68
9,2374,佳能,"68,793,276","43,050",83.0,87.2,83.0,85.1,+,5.5,85.0,85.1
10,2634,漢翔,"65,805,907","40,490",65.9,66.0,64.0,64.8,-,0.1,64.7,64.8
11,2887,台新新光金,"63,066,547","17,256",17.2,17.25,16.9,17.1,-,0.15,17.05,17.1
12,2498,宏達電,"62,365,958","40,773",72.7,74.6,72.2,72.7,+,0.7,72.7,72.8
13,"=""00919""",群益台灣精選高息,"61,445,481","22,488",21.6,21.6,21.47,21.5,+,0.03,21.5,21.51
14,1316,上曜,"57,582,777","17,345",15.2,15.65,14.75,14.8,-,0.15,14.8,14.85
15,2449,京元電子,"57,271,319","38,704",152.5,161.5,152.5,160.0,+,9.0,160.0,160.5
16,3059,華晶科,"55,657,372","28,986",54.6,59.1,54.3,59.1,+,5.3,59.1,0.0
17,6191,精成科,"47,989,980","31,226",139.5,143.0,133.0,135.0,-,1.5,135.0,135.5
18,6919,康霈*,"47,159,347","42,162",245.0,264.5,245.0,255.0,+,11.0,255.0,255.5
19,"=""00680L""",元大美債20正2,"44,688,389","2,578",7.16,7.19,7.16,7.17,+,0.11,7.17,7.18
20,1303,南亞,"44,176,048","20,451",39.3,39.3,38.2,38.45,-,0.45,38.45,38.5
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
