排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2353,宏��,"137,909,594","59,222",54.1,55.4,53.3,53.8,-,0.2,53.7,53.8
2,3231,緯創,"121,800,746","66,727",96.8,99.4,96.6,98.6,+,2.7,98.5,98.6
3,2344,華邦電,"104,287,120","41,357",31.3,31.6,30.2,30.45,-,0.3,30.45,30.5
4,2324,仁寶,"89,099,110","40,314",39.45,40.45,38.85,39.85,+,0.9,39.85,39.9
5,"=""00637L""",元大滬深300正2,"84,545,146","7,451",11.6,11.74,11.54,11.6,+,0.05,11.59,11.6
6,2356,英業達,"75,989,504","37,662",52.8,53.4,51.8,52.8,+,0.2,52.7,52.8
7,"=""00632R""",元大台灣50反1,"69,944,376","3,826",4.49,4.51,4.48,4.48,-,0.01,4.48,4.49
8,5521,工信,"66,522,095","13,568",14.5,14.7,13.55,14.7,+,1.3,14.7,0.0
9,2352,佳世達,"66,226,945","34,577",44.55,48.45,44.25,48.0,+,3.55,48.0,48.05
10,"=""00919""",群益台灣精選高息,"60,772,761","22,427",22.23,22.29,22.13,22.26,+,0.05,22.25,22.26
11,"=""00929""",復華台灣科技優息,"59,723,309","19,590",19.15,19.2,19.05,19.15,,0.0,19.15,19.16
12,"=""00715L""",期街口布蘭特正2,"59,322,529","9,436",12.98,13.08,12.89,13.08,-,0.56,13.07,13.08
13,2382,廣達,"55,866,475","37,169",218.0,226.5,217.5,224.5,+,7.5,224.0,224.5
14,"=""00878""",國泰永續高股息,"52,058,457","18,647",21.77,21.89,21.74,21.8,+,0.03,21.8,21.81
15,3481,群創,"50,088,647","10,245",14.2,14.4,14.15,14.3,+,0.2,14.25,14.3
16,3706,神達,"49,798,065","27,671",45.0,45.5,44.05,44.55,-,0.45,44.55,44.6
17,2303,聯電,"49,249,857","21,680",52.7,52.9,51.8,52.6,+,0.1,52.5,52.6
18,2515,中工,"43,801,262","9,443",13.4,13.75,13.25,13.3,,0.0,13.3,13.35
19,3006,晶豪科,"41,889,307","28,161",107.0,107.0,98.0,98.0,-,8.5,98.0,98.1
20,"=""00680L""",元大美債20正2,"40,999,064","4,796",10.15,10.16,10.12,10.13,-,0.11,10.13,10.14
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
