排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2363,矽統,"220,379,523","111,283",59.5,61.0,52.3,52.3,-,5.8,52.3,52.4
2,2618,長榮航,"125,915,346","35,914",29.2,30.2,29.1,30.0,+,1.15,29.95,30.0
3,"=""00632R""",元大台灣50反1,"100,550,235","4,022",4.87,4.88,4.85,4.86,-,0.03,4.86,4.87
4,2388,威盛,"84,447,215","45,966",133.0,145.0,132.0,145.0,+,13.0,145.0,0.0
5,2303,聯電,"81,667,457","35,210",48.8,49.4,48.5,49.4,+,1.15,49.35,49.4
6,2610,華航,"78,809,819","23,027",20.55,21.55,20.5,21.15,+,0.7,21.1,21.15
7,"=""00929""",復華台灣科技優息,"68,370,399","17,737",17.52,17.54,17.41,17.45,+,0.04,17.44,17.45
8,2891,中信金,"62,358,372","16,719",24.85,25.35,24.8,25.35,+,0.65,25.3,25.35
9,3231,緯創,"56,071,799","35,004",93.8,94.5,91.2,91.2,-,1.6,91.2,91.3
10,2883,凱基金,"53,061,592","11,068",11.25,11.55,11.25,11.55,+,0.35,11.5,11.55
11,"=""00712""",復華富時不動產,"52,801,985","9,128",9.2,9.29,9.15,9.17,+,0.23,9.17,9.18
12,"=""00878""",國泰永續高股息,"52,760,021","25,485",20.07,20.09,19.96,20.0,+,0.04,19.99,20.0
13,4967,十銓,"48,277,603","34,579",90.0,92.2,87.4,91.9,+,4.5,91.8,91.9
14,2317,鴻海,"44,283,856","40,355",95.8,96.2,95.2,95.8,-,1.2,95.8,95.9
15,3481,群創,"41,796,883","10,411",12.45,12.7,12.4,12.55,+,0.2,12.55,12.6
16,"=""00637L""",元大滬深300正2,"40,885,063","3,241",13.56,13.66,13.43,13.54,+,0.1,13.54,13.55
17,"=""00680L""",元大美債20正2,"38,879,883","4,350",7.91,7.94,7.9,7.92,+,0.23,7.92,7.93
18,2382,廣達,"38,674,087","27,120",202.5,205.0,199.0,200.0,-,1.0,200.0,200.5
19,"=""00665L""",富邦�琤肭磪囓�2,"38,339,649","2,617",6.47,6.58,6.42,6.55,+,0.2,6.55,6.56
20,6770,力積電,"37,168,632","15,457",27.95,28.75,27.6,28.7,+,1.1,28.65,28.7
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
