排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2603,長榮,"548,832,487","156,175",38.5,40.75,37.2,40.3,+,1.85,40.3,40.35,
2,2303,聯電,"338,482,001","99,945",46.7,48.35,46.3,47.85,+,1.65,47.85,47.9,
3,2344,華邦電,"264,843,070","81,167",28.5,29.35,28.3,29.0,+,1.4,28.95,29.0,
4,3481,群創,"220,867,996","37,312",13.45,13.5,13.05,13.35,-,0.2,13.3,13.35,
5,"=""00632R""",元大台灣50反1,"174,959,156","12,968",6.66,6.72,6.63,6.63,-,0.1,6.63,6.64,
6,2409,友達,"137,268,896","20,410",13.9,13.95,13.4,13.9,+,0.1,13.85,13.9,
7,"=""00677U""",期富邦VIX,"133,470,027","7,926",4.01,4.06,4.0,4.03,-,0.02,4.03,4.04,
8,2317,鴻海,"115,547,259","61,278",109.0,109.5,106.0,108.0,+,1.0,107.5,108.0,
9,2888,新光金,"82,297,025","11,058",8.7,8.86,8.68,8.84,+,0.18,8.83,8.84,
10,3049,精金,"80,177,572","10,837",11.1,12.15,11.1,11.15,+,0.1,11.15,11.2,
11,2609,陽明,"79,753,945","19,004",25.65,27.4,25.65,27.3,+,1.35,27.25,27.3,
12,2353,宏��,"78,639,443","22,240",24.3,24.9,24.05,24.9,+,0.9,24.85,24.9,
13,2883,凱基金,"69,600,402","11,611",9.34,9.43,9.31,9.41,+,0.12,9.4,9.41,
14,3704,合勤控,"67,980,833","27,609",39.45,43.7,39.15,40.55,+,0.75,40.55,40.6,
15,2615,萬海,"64,996,010","27,291",47.35,49.5,46.0,48.5,+,1.15,48.5,48.6,
16,1314,中石化,"64,527,122","13,487",11.3,11.3,10.85,10.9,-,0.4,10.85,10.9,
17,2330,台積電,"62,957,148","56,426",580.0,580.0,571.0,580.0,+,15.0,579.0,580.0,
18,"=""00637L""",元大滬深300正2,"61,532,068","8,941",31.89,32.1,30.64,30.87,+,0.13,30.87,30.88,
19,2891,中信金,"59,881,800","12,750",19.85,20.0,19.75,20.0,+,0.2,19.95,20.0,
20,2337,旺宏,"56,804,763","21,831",40.5,41.1,40.1,40.25,+,0.7,40.25,40.3,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
