排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"588,996,015","215,153",32.15,33.6,31.5,31.95,+,0.45,31.9,31.95,
2,2408,南亞科,"220,692,840","114,527",124.0,131.5,123.0,130.0,+,10.0,129.5,130.0,
3,2337,旺宏,"197,491,153","38,190",33.6,36.45,33.5,36.45,+,3.3,36.45,0.0,
4,2884,玉山金,"180,863,174","78,022",30.3,30.5,30.0,30.0,-,0.3,30.0,30.05,
5,6282,康舒,"159,066,718","84,158",44.1,48.2,43.75,46.65,+,2.65,46.65,46.7,
6,1605,華新,"125,194,319","56,126",31.05,31.9,30.2,30.95,+,0.5,30.9,30.95,
7,2867,三商壽,"102,558,877","24,070",6.84,7.33,6.84,7.17,-,0.22,7.17,7.18,
8,"=""0050""",元大台灣50,"99,770,041","102,903",63.55,63.7,63.2,63.35,-,0.45,63.35,63.4,
9,2344,華邦電,"98,212,499","50,620",50.9,54.5,50.9,54.0,+,3.1,54.0,54.1,
10,2327,國巨*,"81,186,948","73,253",247.0,248.0,242.5,246.0,-,2.5,246.0,246.5,
11,2317,鴻海,"73,662,546","54,245",248.0,250.0,246.5,250.0,+,3.5,249.5,250.0,
12,8112,至上,"72,356,887","46,762",70.0,71.5,66.0,66.1,-,3.7,66.1,66.2,
13,2301,光寶科,"68,530,039","69,335",181.0,194.0,180.0,188.5,+,6.5,188.5,189.0,
14,"=""00715L""",期街口布蘭特正2,"66,272,498","5,626",10.73,10.8,10.69,10.72,-,0.22,10.72,10.73,
15,2887,台新新光金,"61,449,142","12,435",19.4,19.4,18.95,19.0,-,0.25,19.0,19.05,
16,2515,中工,"59,972,224","13,020",12.55,13.45,12.5,13.45,+,1.2,13.45,0.0,
17,2324,仁寶,"54,960,288","25,772",35.2,35.25,34.05,34.5,-,0.7,34.5,34.55,
18,1717,長興,"52,545,387","29,035",40.75,43.5,40.75,42.8,+,3.05,42.8,42.85,
19,3231,緯創,"52,348,830","33,941",146.0,150.0,144.5,148.0,+,1.5,147.5,148.0,
20,"=""00981A""",主動統一台股增長,"50,046,883","12,026",14.79,15.11,14.79,15.11,+,0.38,15.11,15.12,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
