排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,"=""00982A""",主動群益台灣強棒,"182,840,282","45,267",14.91,14.94,14.51,14.51,-,0.33,14.5,14.51,
2,6770,力積電,"177,475,714","66,307",30.3,30.65,29.0,29.05,-,1.05,29.05,29.1,
3,"=""00981A""",主動統一台股增長,"155,485,458","36,494",16.06,16.2,15.71,15.71,-,0.17,15.7,15.71,
4,2408,南亞科,"152,507,836","81,248",141.0,143.0,131.0,131.5,-,5.5,131.5,132.0,
5,3706,神達,"147,096,413","102,835",106.5,106.5,96.3,96.3,-,10.7,0.0,96.3,
6,2337,旺宏,"111,499,339","41,838",31.15,31.25,29.55,29.7,-,1.25,29.7,29.75,
7,2317,鴻海,"95,832,447","112,749",252.0,255.0,244.0,244.0,-,7.5,244.0,244.5,
8,"=""0050""",元大台灣50,"88,131,032","90,876",64.5,64.85,63.85,63.95,-,0.2,63.95,64.0,
9,2515,中工,"86,189,997","22,770",16.8,17.15,15.9,16.05,+,0.4,16.05,16.1,
10,6191,精成科,"79,555,839","52,238",120.0,128.0,119.5,120.5,+,3.0,120.5,121.0,
11,2327,國巨*,"77,951,134","92,640",254.5,255.0,238.0,238.0,-,16.0,238.0,238.5,
12,1802,台玻,"76,313,695","31,963",29.65,30.0,28.05,28.45,-,0.55,28.4,28.45,
13,1605,華新,"76,066,455","30,271",29.5,30.25,28.75,28.75,-,0.35,28.75,28.8,
14,"=""00878""",國泰永續高股息,"70,650,903","36,356",21.76,21.79,21.55,21.57,-,0.12,21.56,21.57,
15,"=""0056""",元大高股息,"70,008,952","50,024",37.5,37.52,36.95,36.96,-,0.37,36.96,36.97,
16,2303,聯電,"65,466,684","36,178",48.75,48.75,47.15,47.4,-,0.2,47.35,47.4,
17,"=""00919""",群益台灣精選高息,"61,413,432","21,953",21.62,21.73,21.51,21.53,-,0.06,21.52,21.53,
18,2409,友達,"60,339,690","14,954",11.95,12.1,11.65,11.65,-,0.25,11.65,11.7,
19,1314,中石化,"56,351,804","10,278",7.67,8.07,7.67,8.07,+,0.73,8.07,0.0,
20,3231,緯創,"54,223,018","39,986",143.0,145.0,139.0,139.0,-,4.5,139.0,139.5,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
