排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2303,聯電,"443,638,194","138,063",48.2,50.1,47.55,50.0,+,2.15,49.95,50.0,
2,2603,長榮,"408,350,732","111,677",41.5,42.8,40.6,42.65,+,2.35,42.65,42.7,
3,3481,群創,"175,634,850","26,788",13.5,13.7,13.25,13.45,+,0.1,13.45,13.5,
4,2883,凱基金,"162,175,582","31,407",9.5,9.95,9.49,9.71,+,0.3,9.7,9.71,
5,2409,友達,"143,972,664","21,314",14.15,14.25,14.0,14.15,+,0.25,14.15,14.2,
6,"=""00677U""",期富邦VIX,"131,014,475","7,658",4.07,4.12,4.05,4.09,+,0.06,4.09,4.1,
7,2344,華邦電,"120,763,873","37,947",28.95,29.0,28.3,28.45,-,0.55,28.45,28.5,
8,"=""00632R""",元大台灣50反1,"105,745,675","6,276",6.65,6.67,6.6,6.61,-,0.02,6.6,6.61,
9,2888,新光金,"88,268,401","10,896",8.78,8.9,8.7,8.74,-,0.1,8.74,8.75,
10,"=""00881""",國泰台灣科技龍頭,"83,917,784","30,125",16.5,17.25,16.46,17.23,+,0.8,17.22,17.23,
11,"=""00715L""",期街口布蘭特正2,"78,621,799","6,558",5.26,5.31,5.17,5.2,+,0.16,5.2,5.21,
12,2328,廣宇,"75,999,741","25,020",32.9,35.5,32.55,35.5,+,3.2,35.5,0.0,
13,"=""00637L""",元大滬深300正2,"75,535,708","6,633",31.0,31.5,30.51,31.21,+,0.34,31.2,31.21,
14,6116,彩晶,"73,218,238","12,840",12.0,12.5,11.9,12.35,+,0.4,12.3,12.35,
15,2401,凌陽,"71,826,730","21,623",18.8,20.45,18.8,20.45,+,1.85,20.45,0.0,
16,2317,鴻海,"70,525,408","39,544",108.0,109.0,106.5,107.5,-,0.5,107.5,108.0,
17,2615,萬海,"53,566,297","21,570",48.6,50.7,48.0,50.4,+,1.9,50.3,50.4,
18,2330,台積電,"52,771,778","49,539",577.0,584.0,574.0,584.0,+,4.0,583.0,584.0,
19,2885,元大金,"52,662,109","13,667",21.3,22.0,21.25,21.9,+,0.55,21.85,21.9,
20,3037,欣興,"48,852,704","26,980",90.5,95.0,89.5,94.9,+,4.7,94.8,94.9,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
