排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2883,凱基金,"112,947,540","23,589",12.2,12.3,11.95,12.3,+,0.1,12.25,12.3
2,3231,緯創,"112,817,264","69,684",99.9,99.9,97.6,97.6,-,4.9,97.6,97.7
3,6282,康舒,"107,621,711","51,889",41.4,44.75,41.2,44.1,+,3.4,44.05,44.1
4,2618,長榮航,"87,499,165","24,962",31.55,32.15,31.3,31.5,+,0.1,31.5,31.55
5,"=""00632R""",元大台灣50反1,"81,474,038","2,760",4.65,4.66,4.63,4.65,+,0.03,4.64,4.65
6,2363,矽統,"77,602,524","37,962",49.5,51.5,49.2,50.3,+,0.95,50.3,50.4
7,3041,揚智,"67,315,991","33,081",32.0,34.7,31.2,32.7,+,0.9,32.7,32.75
8,2388,威盛,"65,510,992","41,295",166.0,179.5,165.0,170.5,+,2.0,170.0,170.5
9,2303,聯電,"62,616,697","25,082",49.85,50.3,49.25,50.0,-,0.3,50.0,50.1
10,"=""00929""",復華台灣科技優息,"54,962,864","20,053",17.99,17.99,17.93,17.99,-,0.02,17.98,17.99
11,"=""00878""",國泰永續高股息,"52,526,237","25,306",20.59,20.59,20.45,20.55,-,0.12,20.54,20.55
12,2405,輔信,"51,494,853","15,563",18.2,18.8,17.6,17.9,-,0.15,17.9,17.95
13,2356,英業達,"48,631,945","26,539",43.2,43.4,42.25,42.35,-,1.65,42.35,42.4
14,2313,華通,"47,021,914","25,431",64.2,65.8,63.6,64.7,+,0.2,64.6,64.7
15,"=""00637L""",元大滬深300正2,"46,791,780","5,121",13.0,13.04,12.89,12.93,-,0.27,12.93,12.94
16,2002,中鋼,"46,253,833","23,176",25.7,25.8,25.25,25.8,+,0.1,25.75,25.8
17,"=""00919""",群益台灣精選高息,"45,750,031","18,259",21.54,21.6,21.47,21.52,-,0.1,21.51,21.52
18,2382,廣達,"44,694,393","41,997",212.0,213.5,208.0,208.5,-,9.0,208.0,208.5
19,2610,華航,"42,186,659","12,801",21.65,22.0,21.35,21.45,-,0.2,21.45,21.5
20,2353,宏��,"40,688,995","19,804",35.4,35.45,34.2,34.8,-,0.85,34.75,34.8
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
