排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,"=""00632R""",元大台灣50反1,"305,662,324","14,300",3.76,3.76,3.7,3.73,-,0.05,3.73,3.74
2,2367,燿華,"246,334,945","89,016",34.0,36.0,33.5,35.0,+,2.0,34.95,35.0
3,2609,陽明,"236,872,287","109,576",70.6,72.1,69.2,71.4,+,0.1,71.3,71.4
4,2317,鴻海,"156,608,812","86,077",168.0,174.0,165.5,170.5,-,1.5,170.5,171.0
5,"=""00940""",元大台灣價值高息,"137,338,548","29,592",9.71,9.73,9.62,9.63,-,0.07,9.62,9.63
6,"=""00878""",國泰永續高股息,"120,893,011","39,742",23.42,23.61,23.33,23.4,+,0.1,23.4,23.41
7,"=""00929""",復華台灣科技優息,"115,711,197","32,598",20.3,20.36,20.18,20.2,,0.0,20.19,20.2
8,3231,緯創,"106,634,866","52,434",112.5,117.0,112.0,115.0,+,3.5,115.0,115.5
9,2615,萬海,"103,993,461","54,421",69.0,71.0,67.6,70.5,+,2.1,70.4,70.5
10,2356,英業達,"102,601,314","66,993",56.0,56.0,54.5,54.5,-,4.5,54.5,54.6
11,2883,凱基金,"90,278,128","17,398",14.2,14.45,14.15,14.25,+,0.15,14.25,14.3
12,2618,長榮航,"88,483,708","31,062",36.7,36.75,35.85,36.0,-,0.4,36.0,36.05
13,2363,矽統,"87,108,508","50,092",61.9,62.8,58.5,59.2,-,0.1,59.1,59.2
14,2603,長榮,"82,880,954","57,719",206.0,208.0,202.0,203.5,-,11.5,203.5,204.0
15,2353,宏��,"80,094,898","40,655",49.25,50.9,48.0,48.05,-,0.85,48.05,48.1
16,"=""00919""",群益台灣精選高息,"78,928,851","39,114",25.06,25.1,24.9,24.92,-,0.13,24.91,24.92
17,2882,國泰金,"78,383,886","30,796",55.0,57.0,54.7,56.6,+,2.3,56.6,56.7
18,2888,新光金,"68,205,540","10,255",8.99,9.07,8.96,9.03,+,0.1,9.02,9.03
19,9945,潤泰新,"68,174,348","31,588",42.85,46.9,42.8,46.55,+,3.9,46.5,46.55
20,2382,廣達,"63,321,591","75,085",288.0,295.0,285.5,287.0,-,1.5,286.5,287.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
