排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"813,534,568","200,629",21.8,22.5,19.8,19.9,-,1.25,19.9,19.95
2,2618,長榮航,"663,873,901","176,325",23.0,23.8,21.15,21.15,-,0.95,21.15,21.2
3,2002,中鋼,"312,181,508","95,446",34.95,37.0,34.8,36.15,+,1.85,36.15,36.2
4,3481,群創,"261,396,185","55,862",21.3,21.45,20.65,20.85,+,0.1,20.8,20.85
5,2014,中鴻,"259,146,559","70,117",48.3,51.7,48.2,51.7,+,4.7,51.7,0.0
6,2409,友達,"252,215,380","60,169",23.9,24.15,22.9,23.5,+,0.4,23.45,23.5
7,2208,台船,"251,643,901","97,707",32.15,33.8,30.9,31.25,+,0.15,31.25,31.3
8,2606,裕民,"239,105,745","100,283",83.1,83.1,76.5,82.7,+,7.1,82.6,82.7
9,2883,凱基金,"236,122,079","30,450",12.35,13.0,12.35,12.65,+,0.5,12.65,12.7
10,2637,慧洋-KY,"204,740,342","90,242",99.4,99.7,91.2,99.7,+,9.0,99.7,0.0
11,2615,萬海,"192,565,780","105,453",267.0,273.0,251.0,251.0,+,2.0,250.5,251.0
12,2603,長榮,"146,871,605","86,744",158.5,160.0,149.0,153.5,+,1.5,153.5,154.0
13,2617,台航,"135,210,153","65,248",63.0,63.0,57.3,62.1,+,4.8,62.1,62.2
14,6116,彩晶,"134,602,092","37,590",23.1,23.3,22.0,22.05,-,0.35,22.05,22.1
15,2027,大成鋼,"116,786,005","50,583",45.0,48.0,44.8,48.0,+,4.2,47.95,48.0
16,1905,華紙,"112,199,623","43,802",29.05,30.5,28.0,28.3,+,0.3,28.3,28.35
17,2609,陽明,"106,624,596","72,879",162.0,163.0,152.0,154.5,-,4.0,154.0,154.5
18,2023,燁輝,"106,210,816","22,426",22.75,24.3,22.65,24.3,+,2.2,24.3,0.0
19,2605,新興,"103,527,800","37,882",39.9,39.9,38.0,39.9,+,3.6,39.9,0.0
20,"=""00632R""",元大台灣50反1,"97,661,131","3,826",5.7,5.75,5.69,5.74,-,0.01,5.74,5.75
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
