排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2885,元大金,"162,942,639","28,212",33.75,34.55,33.45,34.15,+,0.45,34.1,34.15
2,2883,凱基金,"151,378,613","22,184",14.8,15.25,14.75,14.95,X,0.0,14.95,15.0
3,2881,富邦金,"121,457,028","30,191",85.9,88.0,85.1,87.3,+,1.2,87.2,87.3
4,6191,精成科,"113,489,389","65,017",89.6,92.2,85.2,89.2,+,0.6,89.2,89.3
5,2888,新光金,"112,791,591","10,161",11.55,11.6,11.25,11.3,-,0.3,11.3,11.35
6,2344,華邦電,"104,406,100","25,612",21.25,21.3,20.15,20.15,-,1.0,20.15,20.2
7,2324,仁寶,"86,183,001","19,785",28.55,29.6,28.35,29.0,+,0.3,28.95,29.0
8,2408,南亞科,"74,175,534","29,424",53.5,53.7,51.0,51.2,-,1.9,51.2,51.3
9,"=""00919""",群益台灣精選高息,"66,473,271","33,675",21.6,21.63,21.45,21.46,-,0.14,21.46,21.47
10,2317,鴻海,"62,308,280","41,102",166.0,166.5,161.0,161.0,-,4.0,161.0,161.5
11,2882,國泰金,"61,926,973","28,809",63.8,63.8,62.5,62.8,X,0.0,62.8,62.9
12,"=""0050""",元大台灣50,"60,476,067","33,764",48.37,48.42,48.24,48.36,+,0.07,48.35,48.36
13,2371,大同,"55,193,122","10,188",40.45,40.6,39.7,39.7,-,0.7,39.7,39.75
14,2353,宏��,"51,943,079","12,416",30.9,31.0,30.1,30.3,-,0.6,30.3,30.35
15,3481,群創,"45,854,694","10,386",12.0,12.0,11.7,11.7,-,0.3,11.7,11.75
16,2884,玉山金,"45,155,454","12,961",32.9,32.9,32.55,32.85,-,0.15,32.75,32.85
17,2891,中信金,"45,064,865","18,382",44.25,44.25,43.7,43.7,-,0.8,43.7,43.75
18,2801,彰銀,"44,160,590","5,536",18.95,18.95,18.7,18.7,-,0.3,18.7,18.75
19,9904,寶成,"42,392,380","9,483",31.05,31.7,30.95,30.95,+,0.05,30.95,31.0
20,2892,第一金,"41,577,151","8,666",28.7,29.1,28.7,29.05,+,0.15,28.95,29.05
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
