排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2603,長榮,"776,225,788","219,953",43.3,43.8,38.3,38.45,-,4.1,38.45,38.5,
2,3481,群創,"264,372,353","37,290",13.9,13.9,13.45,13.55,+,0.25,13.5,13.55,
3,"=""00632R""",元大台灣50反1,"219,297,691","15,517",6.81,6.84,6.71,6.73,-,0.16,6.73,6.74,
4,"=""00677U""",期富邦VIX,"198,570,267","11,936",4.05,4.1,4.04,4.05,-,0.14,4.04,4.05,
5,2409,友達,"190,804,481","23,240",13.9,13.95,13.6,13.8,+,0.3,13.8,13.85,
6,2303,聯電,"166,045,819","52,112",47.35,47.6,46.0,46.2,-,0.75,46.2,46.25,
7,2344,華邦電,"143,571,698","45,814",27.8,28.15,26.7,27.6,+,0.25,27.6,27.65,
8,2317,鴻海,"114,653,734","59,013",108.0,108.0,105.5,107.0,+,2.0,106.5,107.0,
9,2328,廣宇,"104,195,962","43,997",34.9,35.3,33.15,33.85,-,0.25,33.85,33.9,
10,2615,萬海,"102,293,642","43,517",51.2,51.6,45.3,47.35,-,2.95,47.3,47.35,
11,2014,中鴻,"91,279,664","28,468",18.1,18.2,16.4,16.85,-,0.8,16.85,16.9,
12,2610,華航,"87,498,727","18,143",11.35,11.35,10.65,10.8,-,0.35,10.8,10.85,
13,"=""00637L""",元大滬深300正2,"84,123,801","7,994",30.25,30.97,30.25,30.74,+,1.01,30.73,30.74,
14,"=""00715L""",期街口布蘭特正2,"77,765,988","6,228",4.96,5.08,4.95,5.08,+,0.2,5.07,5.08,
15,1314,中石化,"72,045,718","13,612",11.4,11.55,11.2,11.3,+,0.25,11.3,11.35,
16,3576,聯合再生,"67,458,953","16,966",14.15,14.85,14.1,14.2,+,0.45,14.2,14.25,
17,2888,新光金,"58,908,572","6,333",8.69,8.74,8.59,8.66,+,0.02,8.66,8.67,
18,2371,大同,"56,112,429","16,624",25.85,26.0,24.6,25.35,-,0.35,25.35,25.4,
19,3380,明泰,"54,278,347","26,277",40.5,40.95,38.1,39.5,+,0.6,39.45,39.5,
20,3714,富采,"53,644,385","31,740",91.2,91.2,83.0,83.8,-,7.2,83.8,83.9,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
