排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2014,中鴻,"511,594,138","205,038",56.0,60.9,55.7,59.5,+,3.8,59.5,59.6
2,2027,大成鋼,"449,999,812","154,356",54.4,57.9,53.8,57.9,+,5.2,57.9,0.0
3,2002,中鋼,"415,486,720","135,988",37.65,38.8,37.1,37.75,+,0.3,37.7,37.75
4,2615,萬海,"280,229,178","166,990",314.5,323.0,290.0,292.0,-,8.0,292.0,292.5
5,3481,群創,"243,080,437","63,281",21.45,21.45,20.5,20.5,-,0.85,20.5,20.55
6,2409,友達,"203,162,143","58,615",23.6,23.65,22.45,22.45,-,1.05,22.45,22.5
7,1605,華新,"202,704,000","78,775",29.1,30.85,28.85,29.25,+,0.8,29.25,29.3
8,2607,榮運,"171,953,033","69,119",45.85,45.85,42.8,45.1,+,3.4,45.1,45.15
9,2606,裕民,"151,755,300","83,720",87.3,90.6,82.3,83.0,-,2.0,83.0,83.1
10,2637,慧洋-KY,"150,708,103","77,536",108.0,112.0,100.0,100.5,-,6.5,100.5,101.0
11,2603,長榮,"149,511,580","102,292",180.0,185.0,170.0,179.5,+,3.5,179.0,179.5
12,2610,華航,"142,206,149","44,094",19.45,19.5,18.9,19.0,-,0.5,19.0,19.05
13,2618,長榮航,"127,926,616","41,871",20.65,20.7,19.95,20.05,-,0.8,20.05,20.1
14,2023,燁輝,"123,866,124","33,353",30.25,30.25,29.5,30.25,+,2.75,30.25,0.0
15,6116,彩晶,"119,311,003","34,280",23.15,23.2,22.0,22.0,-,1.0,22.0,22.05
16,2303,聯電,"105,346,515","36,358",53.3,53.7,52.9,53.0,+,0.4,52.9,53.0
17,2609,陽明,"104,157,817","74,716",171.0,173.0,160.0,166.0,,0.0,166.0,166.5
18,2601,益航,"101,902,771","52,437",26.05,26.5,24.7,25.65,+,0.45,25.6,25.65
19,1608,華榮,"92,092,519","28,091",31.85,32.85,30.55,32.85,+,2.95,32.85,0.0
20,"=""00632R""",元大台灣50反1,"91,945,743","4,774",5.54,5.6,5.54,5.58,+,0.01,5.57,5.58
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
