排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1314,中石化,"206,248,769","43,403",13.05,13.5,12.75,13.05,,0.0,13.05,13.1
2,2618,長榮航,"203,253,868","56,578",32.4,33.9,32.35,33.75,+,1.75,33.75,33.8
3,2834,臺企銀,"154,564,822","27,150",13.2,13.9,13.15,13.85,+,0.65,13.85,13.9
4,"=""00632R""",元大台灣50反1,"135,569,268","4,583",5.33,5.35,5.3,5.31,-,0.04,5.31,5.32
5,2603,長榮,"96,179,860","42,144",131.0,136.5,130.5,135.5,+,7.0,135.5,136.0
6,2303,聯電,"92,177,478","49,672",50.1,50.4,50.0,50.0,,0.0,50.0,50.1
7,6443,元晶,"84,796,707","39,605",41.7,44.6,41.65,43.8,+,2.9,43.75,43.8
8,2610,華航,"80,456,269","23,630",26.8,27.45,26.75,27.1,+,0.55,27.1,27.15
9,1708,東鹼,"76,475,774","29,638",58.7,61.7,58.0,61.7,+,5.6,61.7,0.0
10,2888,新光金,"75,736,056","10,770",11.1,11.2,11.0,11.15,+,0.15,11.1,11.15
11,2883,凱基金,"68,703,684","18,979",19.45,19.8,19.25,19.8,+,0.5,19.75,19.8
12,4133,亞諾法,"64,602,166","36,584",60.5,63.9,59.4,63.9,+,5.8,63.9,0.0
13,"=""00881""",國泰台灣科技龍頭,"64,490,088","32,290",16.12,16.13,16.01,16.04,-,0.07,16.04,16.05
14,"=""00891""",中信關鍵半導體,"57,286,476","24,965",14.15,14.15,14.02,14.11,-,0.07,14.11,14.12
15,"=""00637L""",元大滬深300正2,"54,660,639","6,514",16.87,17.21,16.73,17.13,+,0.33,17.13,17.14
16,2891,中信金,"51,058,572","17,125",30.45,30.6,30.1,30.5,+,0.15,30.45,30.5
17,2609,陽明,"49,997,871","25,200",120.5,124.5,120.5,124.0,+,5.0,123.5,124.0
18,2884,玉山金,"41,423,543","15,418",33.95,34.9,33.7,34.85,+,1.1,34.85,34.9
19,"=""00715L""",期街口布蘭特正2,"41,310,897","8,281",17.95,17.95,17.45,17.79,-,0.55,17.79,17.8
20,3481,群創,"40,631,681","10,842",16.15,16.25,16.0,16.1,+,0.1,16.1,16.15
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
