排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3481,群創,"728,303,017","114,627",17.55,18.85,17.25,18.85,+,1.7,18.85,0.0
2,2409,友達,"460,834,794","86,144",19.3,20.2,18.9,20.0,+,0.9,20.0,20.05
3,2603,長榮,"401,099,842","99,576",44.0,45.85,43.7,45.85,+,4.15,45.85,0.0
4,2610,華航,"270,523,413","58,390",15.1,16.05,15.05,15.75,+,0.8,15.75,15.8
5,2609,陽明,"259,149,682","60,107",35.8,35.85,34.55,35.85,+,3.25,35.85,0.0
6,"=""00677U""",期富邦VIX,"221,565,078","10,032",2.63,2.71,2.6,2.64,-,0.14,2.64,2.65
7,3576,聯合再生,"186,845,065","53,548",17.5,18.6,17.5,18.2,+,1.0,18.2,18.25
8,2303,聯電,"175,443,002","63,551",46.1,48.3,45.9,48.2,+,2.15,48.2,48.25
9,2618,長榮航,"131,027,516","26,933",16.0,16.6,15.95,16.2,+,0.2,16.2,16.25
10,6116,彩晶,"121,378,976","22,716",12.7,13.3,12.65,13.25,+,0.55,13.2,13.25
11,2317,鴻海,"110,246,598","58,130",124.0,130.0,124.0,130.0,+,6.5,129.5,130.0
12,2457,飛宏,"109,886,887","44,953",26.5,28.0,25.3,26.0,+,0.45,26.0,26.05
13,"=""00632R""",元大台灣50反1,"102,497,918","5,407",6.27,6.3,6.2,6.21,-,0.04,6.21,6.22
14,1101,台泥,"102,000,789","42,072",46.85,46.9,45.05,45.8,+,3.1,45.8,45.85
15,2489,瑞軒,"89,051,198","26,270",18.15,19.9,18.15,19.85,+,1.75,19.8,19.85
16,2883,凱基金,"68,966,439","11,340",10.05,10.2,10.05,10.15,+,0.15,10.15,10.2
17,2353,宏��,"68,542,222","24,217",30.6,30.65,29.2,30.05,-,0.35,30.05,30.1
18,2601,益航,"67,147,061","15,416",11.55,12.15,11.4,11.8,+,0.5,11.8,11.85
19,"=""00715L""",期街口布蘭特正2,"59,980,870","5,368",6.72,6.89,6.7,6.84,+,0.19,6.84,6.85
20,2615,萬海,"57,423,035","20,026",52.6,54.5,52.1,54.5,+,4.95,54.5,0.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
