排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2888,新光金,"1,529,133,711","132,083",12.95,13.35,12.9,13.0,+,0.55,12.95,13.0
2,"=""00632R""",元大台灣50反1,"190,989,292","6,110",3.43,3.46,3.4,3.45,,0.0,3.44,3.45
3,2891,中信金,"149,615,470","38,809",32.95,33.65,32.7,33.15,+,0.05,33.1,33.15
4,2887,台新新光金,"103,538,015","21,135",19.45,20.1,19.4,20.0,+,0.6,19.95,20.0
5,"=""00680L""",元大美債20正2,"101,332,331","5,644",9.65,9.65,9.59,9.62,+,0.07,9.62,9.63
6,2409,友達,"97,981,506","20,334",17.35,17.5,16.85,16.9,,0.0,16.9,16.95
7,3481,群創,"82,040,354","21,631",16.65,16.65,16.6,16.65,X,0.0,16.65,0.0
8,"=""00929""",復華台灣科技優息,"79,096,903","26,178",19.64,19.71,19.52,19.55,+,0.03,19.54,19.55
9,2402,毅嘉,"70,584,047","37,476",46.2,47.2,43.45,44.1,+,0.2,44.05,44.1
10,8028,昇陽半導體,"62,056,748","44,644",139.5,145.5,133.0,133.5,-,5.0,133.0,133.5
11,"=""00688L""",國泰20年美債正2,"61,206,479","3,233",9.61,9.61,9.56,9.59,+,0.1,9.58,9.59
12,"=""00940""",元大台灣價值高息,"60,089,261","14,389",9.75,9.84,9.73,9.74,+,0.04,9.74,9.75
13,2867,三商壽,"59,732,291","10,881",7.93,8.3,7.89,8.11,+,0.28,8.1,8.11
14,"=""00715L""",期街口布蘭特正2,"56,697,117","7,291",14.92,14.92,14.84,14.84,+,0.6,14.84,14.85
15,2883,凱基金,"55,351,190","7,870",16.1,16.35,16.05,16.2,+,0.2,16.15,16.2
16,"=""00878""",國泰永續高股息,"54,141,990","23,128",22.86,23.09,22.86,22.93,+,0.17,22.93,22.94
17,"=""00637L""",元大滬深300正2,"53,717,448","4,869",12.98,12.98,12.69,12.69,-,0.21,12.69,12.7
18,2349,錸德,"50,081,843","18,694",17.55,18.1,17.1,17.45,+,0.05,17.45,17.5
19,8039,台虹,"48,933,022","22,958",68.0,68.4,64.3,66.1,+,3.9,66.0,66.1
20,"=""00919""",群益台灣精選高息,"48,594,327","23,803",24.86,24.95,24.69,24.73,+,0.03,24.72,24.73
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
