排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,"=""00632R""",元大台灣50反1,"222,190,701","7,908",5.62,5.64,5.59,5.6,-,0.05,5.6,5.61
2,1605,華新,"153,189,016","74,007",34.5,37.5,33.9,36.75,+,2.35,36.75,36.8
3,2603,長榮,"118,906,026","62,039",102.5,103.0,99.5,99.5,-,4.5,99.5,99.6
4,"=""00878""",國泰永續高股息,"102,936,813","33,071",17.43,17.43,17.31,17.33,+,0.01,17.32,17.33
5,2303,聯電,"96,761,514","36,378",42.85,43.5,42.8,43.5,+,1.15,43.45,43.5
6,2609,陽明,"79,245,838","49,899",90.6,90.6,87.3,87.5,-,3.6,87.5,87.6
7,2498,宏達電,"71,938,280","34,088",63.8,64.5,59.4,64.5,+,1.3,64.4,64.5
8,"=""00637L""",元大滬深300正2,"71,441,872","9,294",17.2,17.48,17.05,17.19,+,0.04,17.19,17.2
9,"=""00900""",富邦特選高股息30,"68,084,050","17,551",12.5,12.53,12.36,12.5,+,0.22,12.5,12.51
10,1524,耿鼎,"61,303,182","25,518",25.85,27.05,25.25,26.6,+,0.75,26.6,26.65
11,3035,智原,"59,946,116","36,772",174.5,179.0,173.5,178.0,+,7.5,177.5,178.0
12,3047,訊舟,"59,113,177","18,244",17.3,17.8,16.95,17.25,+,0.45,17.2,17.25
13,3037,欣興,"51,091,803","31,380",160.0,166.0,160.0,163.5,+,5.5,163.0,163.5
14,2834,臺企銀,"46,370,487","11,420",13.0,13.0,12.7,12.8,-,0.15,12.75,12.8
15,6770,力積電,"43,066,594","16,281",35.65,35.9,35.15,35.65,+,0.3,35.6,35.65
16,2618,長榮航,"41,622,876","11,142",31.8,31.85,31.1,31.6,-,0.15,31.55,31.6
17,2027,大成鋼,"40,477,199","20,283",39.65,40.4,39.05,39.9,+,0.75,39.9,39.95
18,2388,威盛,"38,478,932","20,769",82.3,85.2,73.8,83.9,+,2.7,83.8,83.9
19,2419,仲琦,"37,424,938","16,915",28.1,30.45,28.05,30.45,+,2.75,30.45,0.0
20,"=""00673R""",期元大S&P原油反1,"35,518,876","2,073",8.37,8.44,8.37,8.44,+,0.15,8.43,8.44
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
