排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"466,423,745","156,007",36.0,36.5,35.05,36.0,+,2.2,35.95,36.0,
2,6770,力積電,"439,718,290","143,603",30.1,30.1,27.4,27.7,-,0.2,27.7,27.75,
3,"=""00715L""",期街口布蘭特正2,"201,858,115","16,081",10.98,11.05,10.94,11.05,-,0.12,11.05,11.06,
4,1504,東元,"162,905,444","78,220",108.5,114.5,107.0,114.5,+,10.0,114.5,0.0,
5,3231,緯創,"121,888,346","70,649",154.5,156.0,148.5,149.5,+,3.5,149.5,150.0,
6,8021,尖點,"112,407,159","62,594",115.5,118.5,110.0,118.0,+,7.0,117.5,118.0,
7,3481,群創,"100,138,385","20,089",15.1,15.25,14.55,14.6,-,0.2,14.55,14.6,
8,3706,神達,"92,308,942","72,944",92.6,93.5,90.5,90.5,-,0.5,90.5,90.6,
9,2337,旺宏,"83,918,969","26,786",26.45,26.9,25.0,25.15,-,0.35,25.15,25.2,
10,"=""00919""",群益台灣精選高息,"82,790,008","37,367",21.26,21.38,21.19,21.2,-,0.02,21.19,21.2,
11,"=""00981A""",主動統一台股增長,"80,899,902","14,182",13.9,13.9,13.71,13.8,+,0.22,13.8,13.81,
12,1802,台玻,"79,981,971","31,648",28.5,28.8,26.85,27.1,-,0.85,27.05,27.1,
13,2317,鴻海,"73,884,573","60,311",221.5,226.0,221.0,225.5,+,6.5,225.0,225.5,
14,"=""0050""",元大台灣50,"73,803,137","45,593",59.0,59.25,58.85,59.2,+,1.1,59.15,59.2,
15,"=""00632R""",元大台灣50反1,"65,085,047","10,506",18.12,18.19,18.1,18.15,-,0.26,18.15,18.16,
16,3450,聯鈞,"64,346,800","64,244",279.5,304.5,278.0,300.5,+,23.5,300.0,300.5,
17,2409,友達,"62,496,452","10,419",14.1,14.3,13.75,13.8,+,0.05,13.8,13.85,
18,2303,聯電,"62,306,680","32,013",44.45,44.55,43.35,43.8,-,0.45,43.8,43.85,
19,2324,仁寶,"60,735,719","28,067",31.95,33.1,31.95,32.65,+,0.9,32.65,32.7,
20,2887,台新新光金,"59,885,176","12,520",18.25,18.3,18.05,18.2,,0.0,18.2,18.25,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
