排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1605,華新,"303,829,825","26,890",29.0,29.55,27.85,27.85,-,1.0,27.85,27.9
2,2408,南亞科,"203,772,618","41,019",41.6,42.5,38.65,38.65,-,2.75,38.65,38.8
3,2888,新光金,"194,102,427","6,804",12.45,12.5,12.4,12.45,-,0.05,12.45,12.5
4,"=""00665L""",富邦�琤肭磪囓�2,"126,860,403","9,996",12.0,12.32,11.6,11.72,-,0.28,11.71,11.72
5,2002,中鋼,"120,171,446","33,648",23.9,24.35,23.8,24.35,+,0.55,24.3,24.35
6,"=""00680L""",元大美債20正2,"105,574,337","8,392",8.14,8.14,8.11,8.12,+,0.13,8.12,8.13
7,"=""00878""",國泰永續高股息,"102,321,373","62,273",22.64,22.65,22.4,22.4,-,0.25,22.4,22.41
8,"=""00953B""",群益優選非投等債,"89,614,552","6,273",10.31,10.34,10.31,10.34,+,0.03,10.33,10.34
9,2606,裕民,"88,268,718","48,742",72.1,78.0,71.5,73.7,+,2.0,73.6,73.7
10,2344,華邦電,"88,172,776","20,078",18.7,19.05,18.45,18.7,+,0.1,18.7,18.75
11,3059,華晶科,"85,148,339","48,657",48.45,52.7,48.25,48.3,+,0.3,48.3,48.4
12,"=""00753L""",中信中國50正2,"83,238,348","10,463",11.94,12.12,11.49,11.58,-,0.31,11.58,11.59
13,"=""00637L""",元大滬深300正2,"81,988,928","8,734",15.95,16.19,15.92,16.1,+,0.25,16.1,16.11
14,2317,鴻海,"81,509,723","74,546",180.0,181.5,174.0,174.0,-,6.5,174.0,174.5
15,2637,慧洋-KY,"81,374,699","35,888",81.2,88.1,80.7,82.9,+,2.8,82.8,82.9
16,2027,大成鋼,"79,313,642","39,536",47.25,49.4,46.7,48.85,+,1.45,48.85,48.9
17,"=""00919""",群益台灣精選高息,"72,775,727","30,910",24.15,24.24,23.98,23.99,-,0.15,23.99,24.0
18,2891,中信金,"71,797,034","14,514",40.95,41.2,40.65,40.75,-,0.3,40.75,40.8
19,2303,聯電,"69,493,077","20,495",44.0,44.15,43.4,43.7,+,0.1,43.6,43.7
20,3694,海華,"63,567,838","37,417",69.7,72.0,67.1,69.8,+,2.3,69.7,69.9
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
