排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"467,415,817","173,698",41.95,42.15,39.35,41.25,-,1.4,41.25,41.3,
2,6770,力積電,"384,462,583","128,320",29.1,31.35,28.55,31.0,+,1.1,31.0,31.05,
3,1605,華新,"295,646,405","98,962",28.25,30.4,28.15,29.9,+,2.15,29.9,29.95,
4,1802,台玻,"256,083,226","100,946",30.95,31.9,30.1,31.65,+,1.1,31.6,31.65,
5,"=""0050""",元大台灣50,"119,706,336","117,731",61.0,61.15,60.6,61.15,-,0.55,61.1,61.15,
6,8110,華東,"100,557,036","34,367",23.35,23.75,21.65,23.3,-,0.05,23.25,23.3,
7,3231,緯創,"80,192,711","56,197",152.5,152.5,147.5,150.5,-,5.5,150.5,151.0,
8,2313,華通,"75,173,827","54,714",81.2,85.0,80.0,84.0,+,3.1,83.9,84.0,
9,"=""00919""",群益台灣精選高息,"74,196,467","21,776",21.2,21.28,21.18,21.27,+,0.07,21.26,21.27,
10,3481,群創,"72,753,773","15,174",15.05,15.25,14.95,15.25,+,0.15,15.2,15.25,
11,3715,定穎投控,"67,419,757","45,588",96.5,106.0,96.3,101.0,+,3.5,100.5,101.0,
12,2337,旺宏,"64,981,916","25,173",26.55,26.9,25.5,26.85,-,0.25,26.8,26.85,
13,4989,榮科,"64,351,994","30,556",32.5,35.55,32.0,35.55,+,3.2,35.5,35.55,
14,2887,台新新光金,"56,473,209","14,097",18.45,18.6,18.4,18.45,+,0.05,18.45,18.5,
15,3706,神達,"54,468,114","53,470",92.5,93.4,90.5,91.4,-,2.1,91.4,91.5,
16,"=""00715L""",期街口布蘭特正2,"52,461,416","4,633",10.99,11.04,10.98,11.02,+,0.12,11.02,11.03,
17,2317,鴻海,"50,104,069","48,832",225.0,225.5,222.0,225.0,-,3.5,224.5,225.0,
18,2009,第一銅,"47,624,990","26,652",44.75,47.6,43.95,44.2,,0.0,44.15,44.2,
19,1303,南亞,"46,214,840","24,052",41.45,41.8,40.95,41.8,+,0.35,41.8,41.85,
20,2327,國巨*,"44,876,408","50,709",184.5,186.0,180.0,185.5,+,1.0,185.0,185.5,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
