排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"277,459,776","108,216",28.5,29.2,28.0,28.0,-,2.7,28.0,28.05,
2,2324,仁寶,"200,230,558","83,509",34.45,36.7,34.0,35.95,+,1.65,35.9,35.95,
3,2481,強茂,"138,953,557","71,361",97.7,103.0,95.0,97.8,-,0.9,97.7,97.8,
4,"=""0050""",元大台灣50,"124,303,290","129,615",62.6,62.85,62.25,62.7,-,0.5,62.7,62.75,
5,2312,金寶,"120,543,018","41,932",21.55,23.8,21.55,23.8,+,2.15,23.8,0.0,
6,6282,康舒,"109,040,941","53,584",38.6,42.9,38.4,42.9,+,3.9,42.9,0.0,
7,2408,南亞科,"104,796,480","52,556",103.0,111.0,102.0,110.0,+,4.5,109.5,110.0,
8,"=""0056""",元大高股息,"86,606,460","37,898",37.61,37.75,37.48,37.75,+,0.09,37.75,37.76,
9,1605,華新,"85,941,427","33,178",29.6,30.4,29.45,30.2,+,0.6,30.15,30.2,
10,2327,國巨*,"72,681,103","97,180",206.5,208.5,203.0,208.0,+,3.0,208.0,208.5,
11,2317,鴻海,"71,609,786","61,493",238.0,243.0,236.5,242.5,+,3.5,242.0,242.5,
12,"=""00919""",群益台灣精選高息,"68,784,760","17,767",21.42,21.49,21.35,21.45,+,0.03,21.44,21.45,
13,1303,南亞,"68,679,920","48,536",41.9,44.0,41.75,42.35,+,0.45,42.35,42.4,
14,2887,台新新光金,"62,433,320","10,125",19.7,19.8,19.6,19.75,+,0.05,19.7,19.75,
15,9105,泰金寶-DR,"61,203,631","10,796",6.45,6.67,6.4,6.65,+,0.27,6.64,6.65,
16,2883,凱基金,"59,165,339","14,181",15.8,16.1,15.8,16.05,+,0.3,16.05,16.1,
17,1504,東元,"58,579,222","35,178",112.0,116.5,110.5,116.5,+,3.0,116.0,116.5,
18,"=""00940""",元大台灣價值高息,"56,257,105","6,602",9.48,9.57,9.47,9.55,+,0.03,9.55,9.56,
19,2344,華邦電,"55,912,233","26,139",43.7,45.45,43.7,45.45,+,0.85,45.4,45.45,
20,"=""00715L""",期街口布蘭特正2,"51,546,487","6,491",9.65,9.97,9.64,9.95,+,0.4,9.94,9.95,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
