排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,"=""00632R""",元大台灣50反1,"121,351,222","5,479",5.25,5.29,5.23,5.28,+,0.04,5.27,5.28
2,"=""00715L""",期街口布蘭特正2,"105,419,623","8,528",12.75,12.79,12.64,12.65,+,0.76,12.65,12.66
3,1605,華新,"81,985,945","40,165",51.2,51.4,49.1,49.8,-,1.5,49.8,49.85
4,3231,緯創,"57,050,030","32,466",40.5,40.8,39.15,39.4,-,1.8,39.35,39.4
5,3715,定穎投控,"51,203,511","18,034",20.65,22.7,20.65,22.35,+,1.7,22.3,22.35
6,2303,聯電,"49,730,803","21,072",52.7,53.0,52.1,52.2,-,0.8,52.2,52.3
7,3037,欣興,"43,994,366","27,726",145.0,145.5,138.0,138.5,-,7.0,138.5,139.0
8,3481,群創,"42,451,820","14,078",14.5,14.55,14.15,14.25,-,0.15,14.25,14.3
9,"=""00637L""",元大滬深300正2,"41,571,972","4,209",14.96,15.12,14.94,15.02,+,0.06,15.02,15.03
10,"=""00878""",國泰永續高股息,"40,164,524","22,503",17.22,17.24,17.15,17.16,-,0.06,17.16,17.17
11,1504,東元,"39,042,925","19,786",41.9,42.25,40.4,40.9,-,1.0,40.85,40.9
12,2342,茂矽,"35,337,255","19,082",46.5,49.2,45.8,46.9,+,2.15,46.85,46.9
13,2634,漢翔,"34,962,456","16,726",43.2,43.35,41.0,41.2,-,2.0,41.2,41.25
14,3035,智原,"33,230,524","26,092",209.0,209.5,194.0,195.5,-,13.5,195.0,195.5
15,"=""00665L""",富邦�琤肭磪囓�2,"32,375,720","2,621",8.06,8.14,7.96,8.06,-,0.08,8.06,8.07
16,2409,友達,"31,574,256","8,417",18.45,18.65,18.05,18.15,-,0.3,18.1,18.15
17,2610,華航,"28,835,735","9,156",19.2,19.65,19.2,19.25,+,0.1,19.25,19.3
18,2388,威盛,"28,311,858","18,332",89.4,89.9,83.1,84.1,-,5.6,84.1,84.2
19,8222,寶一,"28,007,515","16,052",41.45,41.9,37.9,39.35,-,2.05,39.3,39.35
20,3025,星通,"27,712,398","10,655",29.0,29.05,27.75,28.2,-,0.05,28.15,28.2
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
