排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"598,421,210","245,917",44.9,45.55,40.15,40.7,-,2.3,40.7,40.75,
2,2408,南亞科,"371,601,393","213,742",98.1,101.0,87.1,89.1,-,6.5,89.1,89.2,
3,6770,力積電,"294,354,305","102,496",30.6,31.0,27.3,27.3,-,1.95,27.3,27.35,
4,1605,華新,"233,555,188","86,722",31.5,32.2,27.85,27.9,-,3.0,27.85,27.9,
5,2887,台新新光金,"171,866,059","31,088",18.85,19.25,18.8,19.0,+,0.45,19.0,19.05,
6,"=""0050""",元大台灣50,"163,441,296","129,817",61.85,62.15,60.65,60.7,-,0.3,60.65,60.7,
7,2312,金寶,"162,802,268","59,659",22.5,23.7,21.2,21.8,-,0.25,21.75,21.8,
8,3706,神達,"157,059,830","119,343",98.0,100.5,90.0,91.2,-,5.2,91.1,91.2,
9,"=""00919""",群益台灣精選高息,"143,916,246","32,263",21.23,21.55,21.21,21.25,+,0.09,21.24,21.25,
10,3481,群創,"120,650,787","23,059",15.45,15.6,14.65,14.7,-,0.55,14.7,14.75,
11,9105,泰金寶-DR,"116,031,436","21,033",6.57,7.12,6.45,6.45,-,0.04,6.45,6.46,
12,1802,台玻,"111,548,270","46,060",31.0,31.3,28.15,28.55,-,2.0,28.55,28.6,
13,"=""0056""",元大高股息,"110,814,084","66,911",37.12,37.33,36.55,36.59,-,0.35,36.59,36.6,
14,2317,鴻海,"108,702,039","128,309",216.0,217.5,205.0,206.0,-,7.0,205.5,206.0,
15,2883,凱基金,"103,916,024","15,165",15.2,15.6,15.2,15.3,+,0.2,15.3,15.35,
16,2609,陽明,"94,171,725","50,189",52.0,56.7,51.9,56.7,+,5.1,56.7,0.0,
17,"=""00715L""",期街口布蘭特正2,"87,840,524","12,379",10.33,10.34,10.23,10.24,-,0.11,10.23,10.24,
18,"=""00940""",元大台灣價值高息,"78,995,566","9,122",9.44,9.55,9.35,9.36,-,0.03,9.35,9.36,
19,3231,緯創,"77,131,366","58,209",148.5,149.5,137.5,138.0,-,7.5,137.5,138.0,
20,2337,旺宏,"76,490,727","29,029",27.35,28.0,25.7,25.7,-,1.05,25.7,25.75,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
