排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,"=""00632R""",元大台灣50反1,"119,754,694","4,930",6.6,6.6,6.55,6.56,+,0.06,6.55,6.56
2,6153,嘉聯益,"82,868,988","35,486",27.0,29.6,26.65,29.55,+,2.6,29.5,29.55
3,"=""00637L""",元大滬深300正2,"82,200,173","9,659",13.09,13.18,12.78,12.88,-,0.45,12.88,12.89
4,"=""00878""",國泰永續高股息,"49,228,320","23,410",15.69,15.8,15.65,15.78,-,0.04,15.78,15.79
5,2317,鴻海,"42,249,526","17,786",101.0,101.5,100.5,101.0,-,1.0,100.5,101.0
6,2330,台積電,"42,092,776","52,660",385.0,387.0,383.5,384.0,-,11.0,383.5,384.0
7,3481,群創,"41,179,774","7,282",12.45,12.65,12.35,12.6,,0.0,12.55,12.6
8,2388,威盛,"40,395,075","20,477",63.2,70.6,62.9,70.6,+,6.4,70.6,0.0
9,2409,友達,"40,267,995","10,359",17.7,18.05,17.55,17.6,-,0.45,17.6,17.65
10,3454,晶睿,"37,429,687","24,974",166.5,176.0,159.5,170.0,+,8.5,170.0,170.5
11,2303,聯電,"36,229,365","12,466",38.85,39.15,38.6,39.0,-,0.35,39.0,39.05
12,2618,長榮航,"35,697,321","10,329",23.5,23.6,23.2,23.35,-,0.4,23.35,23.4
13,2609,陽明,"34,770,918","17,499",58.1,60.3,57.8,60.2,+,0.4,60.1,60.2
14,2603,長榮,"34,172,074","14,084",132.0,136.0,131.5,135.0,-,2.0,135.0,135.5
15,2498,宏達電,"33,435,583","18,460",49.95,53.3,49.55,52.7,+,2.2,52.7,52.8
16,2891,中信金,"31,106,165","7,431",20.65,20.75,20.5,20.55,-,0.3,20.5,20.55
17,6133,金橋,"29,993,599","13,816",22.85,24.6,22.6,24.2,+,0.7,24.15,24.2
18,1605,華新,"29,632,611","13,042",36.1,37.25,36.05,37.2,+,0.5,37.15,37.2
19,"=""00671R""",富邦NASDAQ反1,"28,539,939","1,402",6.7,6.73,6.69,6.69,+,0.23,6.69,6.7
20,3037,欣興,"28,177,152","13,610",125.0,128.5,124.5,127.5,,0.0,127.5,128.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
