排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,"=""00929""",復華台灣科技優息,"128,603,408","9,792",16.65,16.89,16.58,16.85,+,0.35,16.84,16.85
2,2317,鴻海,"86,203,486","63,145",139.0,140.0,136.0,139.5,+,1.0,139.0,139.5
3,3231,緯創,"85,966,649","54,084",98.9,106.0,97.3,102.5,+,5.2,102.5,103.0
4,2609,陽明,"79,495,004","49,969",74.3,75.4,73.2,73.2,-,0.4,73.2,73.3
5,2615,萬海,"78,014,565","48,278",82.8,89.0,82.1,86.0,+,4.8,85.9,86.0
6,"=""0056""",元大高股息,"70,924,441","40,172",32.87,33.23,32.72,33.14,+,0.48,33.14,33.15
7,"=""00919""",群益台灣精選高息,"68,141,819","33,472",21.2,21.34,21.12,21.31,+,0.25,21.31,21.32
8,2408,南亞科,"65,479,539","37,014",35.85,36.8,34.5,34.55,-,0.65,34.5,34.55
9,2888,新光金,"64,583,357","6,624",11.05,11.55,11.0,11.45,+,0.45,11.45,11.5
10,"=""00632R""",元大台灣50反1,"59,281,277","11,999",25.63,25.76,25.4,25.42,-,0.41,25.41,25.42
11,"=""00878""",國泰永續高股息,"56,756,186","31,909",19.98,20.22,19.91,20.17,+,0.3,20.16,20.17
12,3481,群創,"56,660,892","11,347",13.65,14.1,13.6,14.05,+,0.4,14.05,14.1
13,"=""00665L""",富邦�琤肭磪囓�2,"47,652,368","4,228",9.36,9.45,9.23,9.29,+,0.06,9.29,9.3
14,"=""00712""",復華富時不動產,"47,380,986","15,476",8.45,8.49,8.45,8.49,+,0.14,8.48,8.49
15,"=""00753L""",中信中國50正2,"47,119,096","5,138",9.18,9.28,9.06,9.08,+,0.1,9.08,9.09
16,2883,凱基金,"42,804,671","9,069",15.75,16.2,15.7,16.2,+,0.5,16.15,16.2
17,2344,華邦電,"42,259,159","12,372",16.25,16.5,16.0,16.3,+,0.4,16.3,16.35
18,2887,台新新光金,"40,845,228","9,188",15.7,16.15,15.65,16.15,+,0.5,16.1,16.15
19,2891,中信金,"39,474,172","13,604",37.15,37.75,37.05,37.75,+,0.7,37.7,37.75
20,2610,華航,"39,048,558","13,239",21.7,22.3,21.55,21.75,+,0.15,21.75,21.8
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
