排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,"=""00715L""",期街口布蘭特正2,"212,270,241","26,182",11.2,11.51,11.15,11.47,-,0.7,11.46,11.47
2,1609,大亞,"118,833,547","49,366",29.1,31.6,29.0,31.0,+,2.05,30.95,31.0
3,"=""00632R""",元大台灣50反1,"85,504,352","2,976",5.33,5.33,5.28,5.28,-,0.02,5.28,5.29
4,"=""00673R""",期元大S&P原油反1,"82,373,816","4,041",9.73,9.73,9.6,9.64,+,0.32,9.64,9.65
5,"=""00878""",國泰永續高股息,"67,963,539","21,526",17.69,17.74,17.65,17.73,+,0.04,17.73,17.74
6,"=""00637L""",元大滬深300正2,"56,959,170","7,212",15.05,15.43,15.03,15.34,+,0.35,15.34,15.35
7,3231,緯創,"49,972,691","23,808",48.2,49.8,47.7,49.55,+,0.6,49.55,49.6
8,2206,三陽工業,"49,914,357","26,154",58.7,61.4,58.2,60.0,+,2.3,60.0,60.1
9,3481,群創,"46,594,765","9,747",13.45,13.6,13.2,13.6,+,0.15,13.55,13.6
10,2634,漢翔,"44,796,157","22,094",59.4,59.4,57.5,57.6,-,1.1,57.6,57.7
11,"=""00712""",復華富時不動產,"41,646,273","18,166",8.85,8.86,8.76,8.79,-,0.09,8.78,8.79
12,3017,奇鋐,"39,964,598","24,995",168.0,178.0,166.5,175.5,+,12.5,175.0,175.5
13,"=""00642U""",期元大S&P石油,"37,894,807","8,257",14.48,14.68,14.47,14.61,-,0.54,14.6,14.61
14,"=""00680L""",元大美債20正2,"35,395,642","3,099",12.14,12.15,12.07,12.09,+,0.17,12.09,12.1
15,"=""00665L""",富邦�琤肭磪囓�2,"34,832,153","3,302",7.72,8.08,7.72,8.03,+,0.35,8.02,8.03
16,1905,華紙,"31,040,624","15,059",25.45,26.45,25.35,26.0,+,0.45,25.95,26.0
17,3037,欣興,"29,408,649","19,121",146.0,148.5,144.0,148.5,+,1.5,148.5,149.0
18,2303,聯電,"26,566,563","12,103",49.8,49.8,49.4,49.65,-,0.3,49.6,49.65
19,3715,定穎投控,"26,425,278","11,047",25.95,26.3,25.3,25.65,+,0.35,25.65,25.7
20,2457,飛宏,"26,146,654","15,890",75.7,77.4,73.8,74.0,-,2.0,73.9,74.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
