排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2344,華邦電,"198,981,888","46,545",18.7,19.5,18.3,18.85,-,0.1,18.8,18.85
2,2408,南亞科,"145,228,359","58,222",38.4,42.55,37.6,41.45,+,2.65,41.4,41.45
3,"=""00929""",復華台灣科技優息,"109,537,289","20,533",18.69,18.88,18.69,18.87,+,0.17,18.86,18.87
4,1536,和大,"100,250,946","63,435",84.0,89.7,81.5,88.2,+,5.7,88.2,88.3
5,"=""00637L""",元大滬深300正2,"90,919,877","9,341",16.15,16.38,16.05,16.29,+,0.25,16.29,16.3
6,"=""00940""",元大台灣價值高息,"86,492,059","11,958",9.53,9.59,9.53,9.58,+,0.04,9.57,9.58
7,1618,合機,"78,353,136","42,936",52.9,54.8,50.4,50.4,-,2.2,50.4,50.5
8,"=""00665L""",富邦�琤肭磪囓�2,"76,349,429","7,113",11.27,11.57,11.17,11.57,+,0.57,11.56,11.57
9,"=""00953B""",群益優選非投等債,"76,247,969","9,319",10.29,10.3,10.28,10.29,,0.0,10.29,10.3
10,4916,事欣科,"70,294,534","34,488",48.0,51.4,47.55,51.4,+,4.6,51.4,0.0
11,"=""00753L""",中信中國50正2,"70,240,555","8,875",11.38,11.68,11.27,11.68,+,0.65,11.67,11.68
12,1513,中興電,"65,255,412","54,882",162.5,172.0,160.5,160.5,-,2.0,160.0,160.5
13,1514,亞力,"60,606,829","35,457",113.0,118.5,111.5,115.5,+,7.5,115.5,116.0
14,2371,大同,"52,210,269","23,379",44.25,45.3,43.75,44.0,+,0.1,43.95,44.0
15,"=""00878""",國泰永續高股息,"48,558,561","22,383",22.45,22.66,22.45,22.64,+,0.19,22.63,22.64
16,1608,華榮,"48,067,203","25,116",29.65,31.15,28.8,28.9,-,0.7,28.9,29.0
17,9105,泰金寶-DR,"47,589,231","8,801",7.77,7.87,7.73,7.74,+,0.04,7.74,7.75
18,1605,華新,"42,396,031","17,059",29.1,29.1,28.4,28.8,-,0.45,28.75,28.8
19,2002,中鋼,"41,318,713","14,403",22.8,23.1,22.65,23.0,+,0.35,22.95,23.0
20,3481,群創,"40,598,621","11,205",15.05,15.1,14.9,15.1,+,0.1,15.05,15.1
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
