排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3049,精金,"163,133,742","43,830",17.85,18.2,17.25,18.05,+,0.2,18.05,18.1
2,2603,長榮,"124,546,591","57,057",141.0,145.0,140.5,143.5,+,4.0,143.0,143.5
3,2610,華航,"113,787,334","31,699",26.85,27.2,26.75,26.9,-,0.1,26.85,26.9
4,3041,揚智,"103,673,365","44,510",43.2,43.9,39.05,40.5,-,2.2,40.5,40.55
5,3481,群創,"102,676,668","21,307",19.55,19.65,19.35,19.4,+,0.1,19.4,19.45
6,"=""00632R""",元大台灣50反1,"98,099,005","6,201",5.16,5.17,5.13,5.13,-,0.04,5.13,5.14
7,2888,新光金,"90,392,283","11,316",10.7,10.9,10.7,10.9,+,0.25,10.85,10.9
8,2374,佳能,"90,333,442","38,081",30.55,33.05,29.85,33.05,+,3.0,33.05,0.0
9,2303,聯電,"80,111,178","27,677",64.9,65.2,64.7,64.7,+,0.4,64.7,64.8
10,2340,台亞,"79,854,402","39,499",78.1,80.0,77.0,78.8,-,0.6,78.7,78.8
11,2883,凱基金,"69,523,573","14,942",16.95,17.1,16.9,17.1,+,0.2,17.05,17.1
12,2618,長榮航,"61,162,828","18,563",27.25,27.6,27.15,27.4,,0.0,27.4,27.45
13,3094,聯傑,"60,272,029","28,925",43.2,44.0,41.3,41.9,+,0.75,41.85,41.9
14,"=""00715L""",期街口布蘭特正2,"56,973,510","5,698",10.18,10.29,10.17,10.24,+,0.57,10.23,10.24
15,2609,陽明,"56,247,714","25,822",124.0,127.0,123.5,125.0,+,2.5,125.0,125.5
16,2498,宏達電,"51,816,220","27,665",86.5,86.9,83.0,83.0,-,2.6,83.0,83.1
17,2409,友達,"51,370,173","13,133",22.9,23.0,22.6,22.65,-,0.05,22.65,22.7
18,1721,三晃,"47,079,861","21,076",28.25,30.55,28.1,28.1,-,0.1,28.1,28.15
19,2323,中環,"44,747,029","10,014",9.82,9.97,9.5,9.51,+,0.04,9.51,9.52
20,6116,彩晶,"43,541,135","13,737",18.0,18.1,17.65,17.8,-,0.1,17.75,17.8
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
