排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,8222,寶一,"108,915,502","59,401",67.0,69.5,64.4,65.0,-,1.8,65.0,65.1
2,"=""00632R""",元大台灣50反1,"95,414,004","9,831",24.45,24.69,24.37,24.55,-,0.04,24.54,24.55
3,"=""00637L""",元大滬深300正2,"84,217,855","8,325",14.4,14.72,14.4,14.46,+,0.35,14.46,14.47
4,2618,長榮航,"70,181,538","40,626",43.3,43.75,42.5,42.8,-,0.55,42.75,42.8
5,"=""00753L""",中信中國50正2,"67,976,517","7,937",9.84,10.07,9.53,9.59,+,0.11,9.59,9.6
6,2610,華航,"65,966,166","21,566",23.1,23.2,22.1,22.35,-,0.55,22.3,22.35
7,2891,中信金,"65,346,652","17,260",40.2,40.2,39.3,39.6,-,0.4,39.6,39.65
8,"=""00715L""",期街口布蘭特正2,"64,605,013","7,164",9.35,9.39,9.28,9.38,+,0.44,9.38,9.39
9,"=""00665L""",富邦�琤肭磪囓�2,"54,805,370","5,404",9.6,9.89,9.41,9.47,+,0.1,9.47,9.48
10,2882,國泰金,"54,583,496","18,403",55.7,56.2,54.8,56.2,+,0.3,56.0,56.2
11,2881,富邦金,"53,335,088","34,118",79.2,79.2,77.6,78.0,-,1.0,77.9,78.0
12,8072,陞泰,"52,765,926","32,478",48.6,52.9,46.7,46.7,-,1.4,46.7,46.75
13,2468,華經,"50,369,695","32,246",79.9,82.9,77.3,77.7,-,1.3,77.7,77.8
14,3481,群創,"47,648,927","9,767",14.05,14.3,14.0,14.1,+,0.1,14.05,14.1
15,2317,鴻海,"43,382,455","26,060",146.5,148.0,143.5,145.0,-,1.0,144.5,145.0
16,"=""00878""",國泰永續高股息,"42,514,127","19,447",20.51,20.6,20.44,20.45,+,0.01,20.45,20.46
17,2884,玉山金,"42,489,512","10,258",28.7,29.45,28.6,28.85,+,0.25,28.8,28.85
18,2885,元大金,"41,311,164","13,094",31.75,32.1,31.3,31.4,-,0.3,31.35,31.4
19,4916,事欣科,"39,916,334","24,050",42.3,44.9,42.2,43.7,+,2.2,43.65,43.7
20,2330,台積電,"39,021,595","50,267",925.0,932.0,911.0,928.0,+,8.0,927.0,928.0
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
