排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2363,矽統,"211,796,662","83,750",43.0,44.95,42.2,44.95,+,4.05,44.95,0.0
2,3231,緯創,"105,771,838","50,493",99.9,103.5,99.3,102.5,+,4.3,102.5,103.0
3,"=""00632R""",元大台灣50反1,"95,097,324","16,099",4.8,4.81,4.77,4.78,-,0.04,4.77,4.78
4,2344,華邦電,"87,928,374","27,351",28.1,29.1,27.6,28.9,+,0.95,28.85,28.9
5,"=""00637L""",元大滬深300正2,"67,852,589","7,315",14.16,14.38,14.09,14.14,+,0.22,14.13,14.14
6,2382,廣達,"65,964,588","45,460",235.0,244.0,234.5,238.0,,0.0,238.0,238.5
7,2618,長榮航,"63,899,949","17,223",28.85,29.4,28.65,29.2,+,0.85,29.15,29.2
8,3715,定穎投控,"61,940,928","35,579",93.5,99.7,93.4,99.7,+,9.0,99.7,0.0
9,"=""00929""",復華台灣科技優息,"53,226,968","15,466",17.5,17.55,17.44,17.54,+,0.12,17.53,17.54
10,2891,中信金,"50,018,317","14,641",25.0,25.25,24.75,25.2,+,0.3,25.15,25.2
11,"=""00665L""",富邦�琤肭磪囓�2,"42,952,262","2,783",7.03,7.2,7.02,7.15,+,0.23,7.15,7.16
12,2303,聯電,"42,182,292","20,255",47.0,47.05,46.25,47.0,+,0.1,46.95,47.0
13,2883,凱基金,"41,996,511","7,815",11.95,12.05,11.9,12.05,+,0.1,12.0,12.05
14,2888,新光金,"39,908,109","4,719",9.19,9.23,9.1,9.2,+,0.04,9.19,9.2
15,3481,群創,"39,392,525","8,402",12.35,12.6,12.25,12.55,+,0.3,12.55,12.6
16,3006,晶豪科,"36,635,853","23,242",94.7,98.2,91.9,97.1,+,3.4,97.1,97.2
17,2330,台積電,"36,350,241","35,333",545.0,550.0,544.0,550.0,+,6.0,549.0,550.0
18,1319,東陽,"35,459,666","22,634",81.0,86.7,80.6,86.7,+,7.8,86.6,86.7
19,2313,華通,"34,888,587","17,475",52.7,54.4,52.5,54.2,+,2.0,54.2,54.3
20,"=""00878""",國泰永續高股息,"32,509,260","13,866",20.76,20.9,20.73,20.89,+,0.17,20.88,20.89
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
