排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"182,443,230","71,792",30.45,30.75,29.45,30.7,+,0.4,30.65,30.7,
2,2337,旺宏,"164,681,537","61,714",30.0,30.2,27.85,28.25,-,1.15,28.25,28.3,
3,1504,東元,"162,734,611","90,567",125.0,127.5,113.0,113.5,-,6.0,113.5,114.0,
4,"=""0050""",元大台灣50,"128,793,394","81,028",63.4,63.65,63.05,63.2,+,0.1,63.15,63.2,
5,3481,群創,"128,233,612","29,098",14.3,14.3,13.8,13.8,-,0.55,13.8,13.85,
6,2327,國巨*,"127,719,747","129,743",198.5,208.5,196.5,205.0,+,9.0,205.0,205.5,
7,2324,仁寶,"124,189,946","49,552",33.15,35.65,32.6,34.3,+,1.35,34.25,34.3,
8,2317,鴻海,"120,698,819","167,654",241.5,245.5,238.0,239.0,+,0.5,238.5,239.0,
9,"=""00919""",群益台灣精選高息,"116,963,815","23,627",21.4,21.5,21.39,21.42,+,0.09,21.42,21.43,
10,1605,華新,"114,471,509","45,696",30.9,31.05,29.25,29.6,-,0.95,29.6,29.65,
11,2408,南亞科,"105,119,091","55,878",107.0,109.5,104.0,105.5,-,1.5,105.5,106.0,
12,8110,華東,"99,842,195","39,665",25.95,26.5,24.0,24.6,-,0.75,24.6,24.65,
13,"=""00940""",元大台灣價值高息,"83,492,933","9,670",9.56,9.6,9.51,9.52,+,0.01,9.51,9.52,
14,2371,大同,"82,776,772","80,761",39.9,41.3,38.65,38.65,+,0.65,38.65,38.7,
15,6282,康舒,"80,909,391","44,073",38.7,41.0,38.5,39.0,+,1.3,39.0,39.05,
16,2344,華邦電,"77,971,629","42,870",45.7,45.75,44.6,44.6,-,1.75,44.6,44.65,
17,2313,華通,"73,469,011","45,903",88.0,92.7,87.8,88.7,+,2.1,88.6,88.7,
18,2887,台新新光金,"73,379,001","13,323",19.75,19.75,19.45,19.7,-,0.05,19.65,19.7,
19,"=""0056""",元大高股息,"72,283,684","31,830",37.66,37.8,37.62,37.66,+,0.17,37.65,37.66,
20,2375,凱美,"66,955,370","40,634",99.4,103.0,94.9,95.7,+,0.5,95.7,95.8,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
