排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2356,英業達,"391,895,354","157,068",53.7,54.9,47.9,48.4,-,3.3,48.4,48.45
2,"=""00919""",群益台灣精選高息,"253,484,407","69,769",23.0,23.02,22.84,22.85,+,0.02,22.84,22.85
3,2363,矽統,"228,825,774","101,727",52.0,53.1,47.25,47.5,-,4.5,47.5,47.55
4,"=""00929""",復華台灣科技優息,"205,882,940","72,259",19.81,19.82,19.5,19.5,-,0.2,19.5,19.51
5,"=""00680L""",元大美債20正2,"152,615,098","11,864",10.02,10.07,9.98,10.04,+,0.19,10.03,10.04
6,2002,中鋼,"111,412,992","33,247",25.5,26.45,25.5,26.45,+,1.05,26.4,26.45
7,1605,華新,"105,232,410","30,937",37.35,39.2,37.3,38.4,+,1.3,38.35,38.4
8,2344,華邦電,"103,692,284","31,871",28.0,28.95,27.95,28.55,+,1.0,28.5,28.55
9,2303,聯電,"84,248,251","21,969",50.7,51.0,50.4,50.7,+,0.3,50.6,50.7
10,"=""00712""",復華富時不動產,"80,650,308","14,597",10.28,10.4,10.27,10.38,+,0.3,10.37,10.38
11,"=""00637L""",元大滬深300正2,"80,591,237","9,407",11.16,11.37,11.01,11.05,-,0.05,11.04,11.05
12,"=""00632R""",元大台灣50反1,"79,953,917","4,285",4.52,4.54,4.52,4.53,-,0.02,4.53,4.54
13,"=""00688L""",國泰20年美債正2,"78,177,089","6,144",9.83,9.87,9.8,9.86,+,0.26,9.86,9.87
14,1504,東元,"74,766,472","19,598",46.45,47.75,46.35,46.6,+,0.95,46.6,46.8
15,2515,中工,"71,122,891","15,256",12.05,12.45,12.0,12.2,+,0.3,12.15,12.2
16,2014,中鴻,"67,565,961","23,746",24.05,26.0,24.05,26.0,+,2.35,26.0,0.0
17,"=""00918""",大華優利高填息30,"67,391,076","17,506",22.63,22.66,22.51,22.55,+,0.06,22.54,22.55
18,2891,中信金,"66,655,172","15,736",28.5,28.5,28.1,28.15,-,0.3,28.1,28.15
19,"=""00715L""",期街口布蘭特正2,"65,733,945","7,898",12.95,13.1,12.95,13.03,+,0.7,13.03,13.04
20,3231,緯創,"65,444,636","29,008",93.7,93.7,91.6,91.6,-,1.5,91.6,91.7
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
