排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2882,國泰金,"214,946,839","49,149",64.9,67.5,64.8,66.3,+,0.2,66.3,66.5
2,2408,南亞科,"161,087,028","62,253",52.6,53.6,51.6,52.0,-,0.5,51.9,52.0
3,"=""00919""",群益台灣精選高息,"121,519,322","36,493",21.96,22.06,21.96,21.99,+,0.01,21.99,22.0
4,2881,富邦金,"101,116,694","31,877",87.0,89.1,86.3,87.8,+,0.7,87.8,87.9
5,3231,緯創,"94,841,151","54,707",111.5,112.0,109.5,110.0,-,5.0,109.5,110.0
6,2889,國票金,"68,068,092","4,366",12.6,12.8,12.6,12.75,+,0.15,12.75,12.8
7,2891,中信金,"64,746,759","18,939",41.25,41.95,41.25,41.55,+,0.35,41.5,41.55
8,2609,陽明,"62,570,540","33,921",74.2,75.3,73.3,73.5,-,0.8,73.4,73.5
9,2887,台新新光金,"56,887,134","7,262",16.75,17.05,16.65,17.0,+,0.25,17.0,17.05
10,2303,聯電,"55,833,077","17,860",45.3,45.75,45.0,45.0,-,0.3,45.0,45.05
11,6191,精成科,"55,005,746","34,008",83.0,83.9,77.3,79.1,-,2.3,79.1,79.2
12,2344,華邦電,"52,663,870","15,907",18.1,18.4,18.0,18.35,+,0.25,18.3,18.35
13,2618,長榮航,"48,847,259","15,745",40.05,40.35,39.85,40.0,,0.0,40.0,40.05
14,2883,凱基金,"47,379,733","7,755",17.5,17.75,17.45,17.65,+,0.25,17.65,17.7
15,2888,新光金,"43,339,785","3,522",11.9,12.0,11.85,12.0,+,0.1,11.95,12.0
16,2615,萬海,"43,100,460","24,006",105.0,107.5,100.5,101.5,-,2.5,101.5,102.0
17,3481,群創,"41,614,734","8,360",12.1,12.3,12.05,12.1,,0.0,12.1,12.15
18,2890,永豐金,"40,351,169","9,251",23.1,23.15,22.85,22.95,-,0.3,22.95,23.0
19,2354,鴻準,"39,962,415","24,220",62.0,63.6,61.5,61.7,+,1.4,61.7,61.8
20,"=""00637L""",元大滬深300正2,"36,350,067","2,929",14.84,14.94,14.72,14.72,-,0.01,14.72,14.73
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
