排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2002,中鋼,"165,478,114","71,582",34.65,34.7,33.05,33.2,-,1.3,33.2,33.25
2,2606,裕民,"154,535,996","67,004",72.1,75.3,71.0,72.9,+,0.8,72.8,72.9
3,2603,長榮,"145,900,535","57,935",103.0,104.0,99.2,100.0,-,2.5,100.0,100.5
4,2371,大同,"120,495,599","40,634",34.3,35.05,33.6,33.75,-,0.15,33.75,33.8
5,2303,聯電,"115,288,376","46,914",62.6,62.6,61.0,61.1,-,1.4,61.1,61.2
6,2609,陽明,"100,334,134","52,288",99.5,99.8,95.0,96.8,-,1.7,96.7,96.8
7,"=""00637L""",元大滬深300正2,"88,706,259","15,092",21.35,22.52,21.34,22.38,+,1.24,22.37,22.38
8,"=""00632R""",元大台灣50反1,"82,229,106","3,351",5.63,5.69,5.63,5.68,+,0.04,5.67,5.68
9,2409,友達,"81,716,501","17,539",17.6,17.85,17.05,17.1,-,0.3,17.05,17.1
10,2615,萬海,"71,006,761","37,380",171.5,171.5,164.0,169.5,-,2.0,169.0,169.5
11,3481,群創,"63,829,159","12,960",16.5,16.8,16.3,16.35,-,0.1,16.35,16.4
12,1308,亞聚,"61,372,545","31,345",49.55,51.2,48.05,48.9,-,1.1,48.8,48.9
13,1710,東聯,"59,184,681","18,349",23.8,24.95,23.6,24.7,+,0.9,24.7,24.75
14,2376,技嘉,"57,272,170","28,738",94.3,100.5,93.5,100.5,+,8.7,100.5,0.0
15,2888,新光金,"51,536,080","6,731",9.38,9.42,9.34,9.35,+,0.06,9.35,9.36
16,1711,永光,"48,506,865","19,000",25.9,26.35,25.2,25.3,-,0.7,25.3,25.35
17,1727,中華化,"46,959,910","21,552",32.35,34.7,31.95,33.0,+,0.2,32.95,33.0
18,3035,智原,"44,931,218","20,330",121.0,130.0,120.0,130.0,+,11.5,130.0,0.0
19,4919,新唐,"41,948,611","27,580",136.0,140.0,130.0,131.0,-,2.5,131.0,131.5
20,2328,廣宇,"38,843,947","21,337",40.75,42.5,40.2,41.55,+,1.35,41.55,41.6
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
