排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3706,神達,"184,790,508","86,039",67.9,73.2,67.3,73.2,+,6.6,73.2,0.0
2,9105,泰金寶-DR,"182,003,381","31,154",7.51,7.88,7.45,7.45,+,0.16,7.45,7.46
3,2312,金寶,"173,504,733","59,156",27.9,29.7,27.7,28.7,+,1.0,28.65,28.7
4,"=""00637L""",元大滬深300正2,"147,558,925","18,253",16.51,16.51,16.08,16.08,-,0.52,16.08,16.09
5,"=""00632R""",元大台灣50反1,"145,761,048","3,971",3.32,3.35,3.29,3.3,-,0.04,3.3,3.31
6,2354,鴻準,"131,244,301","65,449",91.2,95.2,89.5,93.8,+,5.4,93.7,93.8
7,2610,華航,"106,409,642","24,788",23.6,24.2,23.55,24.15,+,0.45,24.1,24.15
8,2349,錸德,"94,918,809","27,551",17.2,17.25,15.65,16.1,-,0.75,16.1,16.15
9,2609,陽明,"91,555,737","45,091",72.8,74.7,72.4,74.7,+,2.6,74.6,74.7
10,"=""00878""",國泰永續高股息,"91,487,372","39,934",22.08,22.27,22.06,22.16,+,0.1,22.15,22.16
11,2884,玉山金,"76,507,795","15,656",27.3,27.3,26.8,27.1,-,0.05,27.1,27.15
12,"=""00929""",復華台灣科技優息,"73,997,938","27,463",17.96,18.03,17.85,18.0,X,0.0,18.0,18.01
13,"=""00715L""",期街口布蘭特正2,"67,296,012","6,742",12.98,13.11,12.98,13.06,+,0.6,13.06,13.07
14,2892,第一金,"63,835,610","15,984",27.75,28.0,27.55,27.95,+,0.3,27.9,27.95
15,2887,台新新光金,"61,754,036","10,810",17.0,17.5,16.95,17.45,+,0.55,17.45,17.5
16,3481,群創,"60,770,620","11,336",15.4,15.5,15.05,15.25,-,0.15,15.25,15.3
17,2317,鴻海,"60,416,837","45,425",203.5,205.0,201.0,203.5,+,1.0,203.5,204.0
18,2303,聯電,"60,279,202","20,844",45.2,46.0,45.2,45.2,+,0.1,45.2,45.4
19,2888,新光金,"51,735,858","8,519",11.45,11.6,11.4,11.6,+,0.15,11.55,11.6
20,2891,中信金,"49,694,910","11,710",36.8,36.95,36.6,36.85,+,0.05,36.8,36.85
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
