證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,Unnamed: 8
1101,台泥,21.20,4.72,113,-,0.73,114/3,
1102,亞泥,38.35,5.74,113,11.45,0.78,114/3,
1103,嘉泥,13.75,4.0,113,31.98,0.5,114/3,
1104,環泥,31.00,5.48,113,13.19,0.92,114/3,
1108,幸福,15.00,5.0,113,6.41,1.07,114/3,
1109,信大,15.50,5.81,113,14.22,0.65,114/3,
1110,東泥,16.55,1.81,113,42.44,1.0,114/3,
1201,味全,14.95,3.34,113,26.70,1.01,114/3,
1203,味王,39.65,3.03,113,19.25,1.54,114/3,
1210,大成,51.50,5.5,113,13.10,1.74,114/3,
1213,大飲,10.10,3.47,113,1.15,0.86,114/3,
1215,卜蜂,136.50,3.3,113,13.36,3.46,114/3,
1216,統一,74.90,4.01,113,21.52,3.33,114/3,
1217,愛之味,10.30,3.59,113,38.15,0.68,114/3,
1218,泰山,18.10,7.46,113,13.82,0.69,114/3,
1219,福壽,13.70,3.65,113,31.86,1.04,114/3,
1220,台榮,12.35,5.67,113,49.40,0.93,114/3,
1225,福懋油,30.50,2.26,113,21.79,1.96,114/3,
1227,佳格,30.80,4.55,113,21.10,1.57,114/3,
1229,聯華,48.05,3.75,113,18.77,1.5,114/3,
1231,聯華食,97.10,2.68,113,26.90,4.29,114/3,
1232,大統益,145.50,4.81,113,18.07,4.23,114/3,
1233,天仁,31.00,3.06,113,38.75,2.1,114/3,
1234,黑松,37.70,5.04,113,19.23,0.81,114/3,
1235,興泰,47.75,5.24,113,-,0.65,114/3,
1236,宏亞,24.60,2.44,113,-,0.85,114/3,
1256,鮮活果汁-KY,135.00,3.48,113,13.96,1.33,114/3,
1301,台塑,40.50,1.23,113,-,0.88,114/3,
1303,南亞,54.80,1.28,113,-,1.32,114/3,
1304,台聚,10.10,1.98,113,-,0.6,114/3,
1305,華夏,10.50,1.43,113,-,0.78,114/3,
1307,三芳,33.35,8.1,113,11.27,1.41,114/3,
1308,亞聚,12.30,2.03,113,-,0.7,114/3,
1309,台達化,10.55,1.9,113,-,0.74,114/3,
1310,台苯,8.38,0.0,113,-,0.65,114/3,
1312,國喬,10.30,0.0,113,-,0.4,114/3,
1313,聯成,9.39,1.6,113,-,0.42,114/3,
1314,中石化,8.11,0.0,113,-,0.4,114/3,
1315,達新,64.80,7.72,113,39.51,0.66,114/3,
1316,上曜,14.35,0.0,113,-,1.18,114/3,
1319,東陽,95.30,5.56,113,14.59,2.11,114/3,
1321,大洋,35.90,1.06,113,-,1.36,114/3,
1323,永裕,19.60,4.59,113,196.00,0.73,114/3,
1324,地球,10.45,1.91,113,-,0.88,114/3,
1325,恆大,32.65,0.92,113,-,1.08,114/3,
1326,台化,31.95,1.56,113,-,0.67,114/3,
1337,再生-KY,4.83,0.0,113,-,0.36,114/3,
1338,廣華-KY,20.45,3.81,113,-,0.3,114/3,
1339,昭輝,44.80,6.7,113,21.64,0.85,114/3,
1340,勝悅-KY,7.08,0.0,113,-,0.4,114/3,
1341,富林-KY,59.50,8.74,113,14.84,2.67,114/3,
1342,八貫,84.50,5.67,113,15.56,2.82,114/3,
1402,遠東新,28.05,5.7,113,17.75,0.67,114/3,
1409,新纖,15.40,3.9,113,12.94,0.63,114/3,
1410,南染,34.50,1.48,113,60.53,2.05,114/3,
1413,宏洲,10.05,0.0,113,22.84,1.18,114/3,
1414,東和,17.05,1.35,113,142.08,1.21,114/3,
1416,廣豐,11.65,4.81,113,14.94,0.52,114/3,
1417,嘉裕,9.04,0.0,113,-,0.73,114/3,
1418,東華,20.00,0.0,113,-,0.92,114/3,
1419,新紡,74.00,2.03,113,16.59,1.28,114/3,
1423,利華,38.85,2.06,113,9.10,0.98,114/3,
1432,大魯閣,17.60,0.0,113,-,1.95,114/3,
1434,福懋,15.65,5.11,113,44.71,0.7,114/3,
1435,中福,23.90,0.0,113,-,2.97,114/3,
