證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,42.10,7.13,108,10.02,1.29,109/3
1102,亞泥,42.50,7.06,108,9.95,1.00,109/3
1103,嘉泥,17.50,5.71,108,33.02,0.50,109/3
1104,環泥,21.65,4.62,108,10.83,0.80,109/3
1108,幸福,13.00,1.15,108,14.13,1.15,109/3
1109,信大,19.65,5.6,108,7.36,0.96,109/3
1110,東泥,16.00,0.63,108,-,1.08,109/3
1201,味全,20.85,6.38,108,27.80,1.61,109/3
1203,味王,36.40,2.75,108,18.67,1.71,109/3
1210,大成,49.85,4.41,108,14.08,2.08,109/3
1213,大飲,0.00,0.0,108,-,0.83,109/3
1215,卜蜂,72.90,5.49,108,11.08,2.46,109/3
1216,統一,68.00,3.68,108,18.58,3.50,109/3
1217,愛之味,8.70,0.0,108,21.22,0.72,109/3
1218,泰山,28.35,3.17,108,17.94,2.01,109/3
1219,福壽,19.65,2.04,108,10.45,1.48,109/3
1220,台榮,12.30,4.88,108,12.81,0.94,109/3
1225,福懋油,36.70,3.54,108,24.80,2.55,109/3
1227,佳格,55.80,4.75,108,14.42,3.02,109/3
1229,聯華,42.30,7.57,108,20.05,1.86,109/3
1231,聯華食,45.80,4.59,108,12.90,2.22,109/3
1232,大統益,132.00,3.79,108,19.21,5.12,109/3
1233,天仁,34.80,4.6,108,45.79,2.18,109/3
1234,黑松,32.55,5.22,108,14.86,0.73,109/3
1235,興泰,26.30,4.18,108,33.72,1.01,109/3
1236,宏亞,13.85,2.17,108,-,0.93,109/4
1256,鮮活果汁-KY,362.00,1.71,108,17.43,5.07,109/3
1301,台塑,98.20,4.48,108,50.10,2.14,109/3
1303,南亞,73.80,2.98,108,33.09,1.85,109/3
1304,台聚,21.65,2.31,108,16.65,1.20,109/3
1305,華夏,28.50,3.51,108,18.51,1.82,109/3
1307,三芳,20.95,3.82,108,39.53,1.06,109/3
1308,亞聚,22.00,5.0,108,15.38,1.19,109/3
1309,台達化,34.00,1.76,108,9.66,2.18,109/3
1310,台苯,17.85,5.6,108,-,1.51,109/3
1312,國喬,23.55,0.0,108,8.95,0.85,109/3
1313,聯成,17.85,1.12,108,29.26,1.03,109/3
1314,中石化,10.65,2.82,108,53.25,0.50,109/3
1315,達新,73.80,4.95,108,1.85,0.82,109/3
1316,上曜,12.15,0.0,108,-,1.17,109/3
1319,東陽,36.10,4.99,108,18.80,1.00,109/3
1321,大洋,33.70,0.0,108,13.06,1.24,109/3
1323,永裕,33.10,4.83,108,10.25,1.35,109/4
1324,地球,10.05,2.99,108,45.68,0.79,109/3
1325,恆大,81.30,0.37,108,4.84,2.15,109/3
1326,台化,86.30,4.4,108,40.52,1.68,109/3
1337,再生-KY,8.86,0.0,108,-,0.36,109/3
1338,廣華-KY,63.70,5.49,108,22.51,0.89,109/3
1339,昭輝,39.45,5.07,108,25.95,0.86,109/3
1340,勝悅-KY,10.65,0.0,108,-,0.29,109/3
1341,富林-KY,62.60,7.99,108,11.36,2.73,109/3
1342,八貫,58.10,4.3,108,19.76,3.40,109/3
1402,遠東新,28.70,5.23,108,17.19,0.76,109/3
1409,新纖,14.35,3.83,108,9.50,0.76,109/3
1410,南染,33.70,2.97,108,39.65,1.98,109/3
1413,宏洲,8.14,0.0,108,-,1.01,109/3
1414,東和,12.90,1.55,108,29.32,0.92,109/3
1416,廣豐,10.50,0.0,108,-,0.55,109/3
1417,嘉裕,11.10,4.5,108,39.64,0.83,109/3
1418,東華,7.20,0.0,108,-,0.87,109/3
1419,新紡,40.60,2.46,108,37.25,1.45,109/3
1423,利華,18.60,0.65,108,-,1.14,109/3
1432,大魯閣,15.00,26.67,108,-,1.02,109/3
1434,福懋,30.30,8.25,108,13.71,0.96,109/3
1435,中福,25.55,0.0,108,-,3.75,109/3
1436,華友聯,37.95,6.59,108,8.27,1.33,109/3
1437,勤益控,23.50,4.68,108,16.21,0.76,109/3
1438,三地開發,11.50,0.0,108,24.47,2.09,109/3
1439,雋揚,26.20,19.08,108,59.55,1.05,109/3
1440,南紡,14.65,1.37,108,86.18,1.00,109/3
1441,大東,7.72,0.0,108,-,0.91,109/3
1442,名軒,17.85,5.55,108,127.50,1.10,109/3
1443,立益物流,11.50,0.0,108,-,1.34,109/3
1444,力麗,11.75,0.0,108,-,1.12,109/3
1445,大宇,13.00,1.54,108,-,1.07,109/3
1446,宏和,30.45,0.99,108,380.63,2.78,109/3
1447,力鵬,8.95,0.0,108,-,0.81,109/3
1449,佳和,21.50,0.0,108,-,1.87,109/3
1451,年興,16.25,0.0,108,-,0.45,109/3
1452,宏益,17.40,6.9,108,23.84,0.92,109/4
1453,大將,8.31,2.41,108,-,0.65,109/3
1454,台富,8.50,3.06,108,-,0.71,109/3
1455,集盛,10.60,0.0,108,-,0.91,109/3
1456,怡華,17.00,0.0,108,-,1.34,109/3
1457,宜進,15.55,6.43,108,5.51,0.76,109/3
1459,聯發,8.14,0.0,108,-,0.98,109/3
1460,宏遠,8.00,0.0,108,-,0.89,109/3
1463,強盛新,12.65,4.74,108,60.24,0.98,109/3
1464,得力,18.15,8.26,108,363.00,1.46,109/3
1465,偉全,12.80,11.72,108,-,0.77,109/3
1466,聚隆,16.55,0.0,108,-,1.19,109/3
1467,南緯,18.60,0.0,108,-,1.44,109/3
1468,昶和,15.25,0.0,108,50.83,1.95,109/3
1470,大統新創,18.35,4.36,108,49.59,1.67,109/3
1471,首利,5.80,0.0,108,3.39,0.90,109/3
1472,三洋實業,10.50,0.0,108,-,2.81,109/3
1473,台南,17.30,2.89,108,-,0.72,109/3
1474,弘裕,12.40,0.0,108,14.59,0.84,109/3
1475,業旺,38.10,0.0,108,544.29,6.10,109/4
1476,儒鴻,423.00,2.6,108,30.56,6.58,109/3
1477,聚陽,203.00,2.46,108,22.38,4.71,109/3
1503,士電,49.00,3.27,108,15.22,1.03,109/3
1504,東元,30.50,3.25,108,17.63,0.96,109/3
1506,正道,10.00,0.0,108,-,1.82,109/3
1507,永大,58.30,3.77,108,20.10,2.07,109/3
1512,瑞利,4.36,0.0,108,-,5.25,109/3
1513,中興電,50.20,2.39,108,24.73,2.26,109/3
1514,亞力,24.20,4.96,108,15.32,1.64,109/3
1515,力山,83.90,3.58,108,23.24,4.57,109/3
1516,川飛,24.95,1.56,108,30.43,2.13,109/3
1517,利奇,14.20,1.41,108,94.67,1.02,109/3
1519,華城,43.80,2.28,108,22.93,3.38,109/3
1521,大億,54.30,7.37,108,27.70,2.44,109/3
1522,堤維西,23.65,5.92,108,29.20,1.18,109/3
1524,耿鼎,11.00,3.64,108,27.50,0.83,109/3
1525,江申,67.00,2.99,108,16.83,1.19,109/3
1526,日馳,42.95,1.86,108,14.86,2.34,109/3
1527,鑽全,45.05,2.66,108,27.98,1.55,109/3
1528,恩德,9.98,1.0,108,-,0.91,109/3
1529,樂事綠能,15.95,3.13,108,17.34,1.44,109/3
1530,亞崴,33.55,4.47,108,9.40,1.05,109/3
1531,高林股,13.25,1.51,108,-,0.69,109/3
1532,勤美,31.80,2.89,108,50.48,1.05,109/3
1533,車王電,69.50,0.72,108,117.80,2.82,109/3
1535,中宇,34.70,3.46,108,21.69,1.45,109/4
1536,和大,113.00,1.77,108,115.31,4.64,109/3
1537,廣隆,142.50,7.02,108,13.13,3.06,109/3
1538,正峰,7.51,0.0,108,-,0.90,109/3
1539,巨庭,18.80,4.26,108,-,0.97,109/3
1540,喬福,15.25,6.56,108,-,0.99,109/3
1541,錩泰,52.60,0.0,108,10.82,2.59,109/3
1558,伸興,150.50,5.85,108,12.42,1.90,109/3
1560,中砂,67.90,4.12,108,18.71,2.17,109/4
1568,倉佑,26.35,1.9,108,376.43,1.82,109/3
1582,信錦,83.10,5.42,108,10.34,1.84,109/3
1583,程泰,63.70,4.71,108,15.96,1.49,109/3
1587,吉茂,26.05,1.92,108,12.35,1.36,109/3
