證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1519,華城,210.00,1.19,111,52.11,14.83,112/1
1521,大億,35.90,1.95,111,31.22,1.51,112/1
1522,堤維西,32.55,5.53,111,12.97,1.25,112/1
1524,耿鼎,21.75,4.6,111,11.15,1.49,112/1
1525,江申,94.40,2.22,111,17.23,1.43,112/1
1526,日馳,36.05,9.43,111,6.35,1.46,112/1
1527,鑽全,41.80,5.74,111,9.31,1.21,112/1
1528,恩德,13.75,0.73,111,17.41,1.09,112/1
1529,樂事綠能,38.00,1.42,111,60.32,3.24,112/1
1530,亞崴,31.55,5.07,111,9.95,0.93,112/1
1531,高林股,14.55,5.5,111,26.45,0.71,112/1
1532,勤美,38.50,3.12,111,33.19,1.12,112/1
1533,車王電,62.30,0.0,111,-,2.4,112/1
1535,中宇,59.80,5.02,111,15.78,2.17,112/2
1536,和大,65.40,2.45,111,26.91,2.05,112/1
1537,廣隆,145.50,6.87,111,16.02,2.68,112/1
1538,正峰,9.50,0.0,111,-,2.95,112/1
1539,巨庭,27.90,8.96,111,6.27,1.09,112/1
1540,喬福,17.45,3.44,111,17.11,1.08,112/1
1541,錩泰,37.10,2.7,111,22.48,1.6,112/1
1558,伸興,106.00,5.19,111,20.27,1.28,112/1
1560,中砂,132.50,3.02,111,20.20,3.4,112/2
1568,倉佑,25.75,4.27,111,17.40,1.69,112/1
1582,信錦,57.40,5.23,111,17.88,1.34,112/2
1583,程泰,70.00,4.29,111,10.65,1.44,112/1
1587,吉茂,25.45,3.93,111,15.42,1.31,112/1
1589,永冠-KY,57.20,0.0,111,-,0.73,112/1
1590,亞德客-KY,951.00,1.38,111,31.92,5.0,112/1
1597,直得,67.80,2.95,111,22.38,2.54,112/2
1598,岱宇,33.65,1.49,111,-,1.2,112/1
1603,華電,36.00,1.39,111,16.36,0.95,112/1
1604,聲寶,28.05,5.35,111,15.41,1.33,112/1
1605,華新,39.35,4.57,111,8.34,1.17,112/1
1608,華榮,21.05,1.9,111,21.93,1.22,112/1
1609,大亞,37.00,1.57,111,10.42,2.03,112/1
1611,中電,18.00,1.67,111,62.07,1.35,112/1
1612,宏泰,26.15,5.74,111,20.75,1.12,112/1
1614,三洋電,39.05,2.54,111,35.18,1.9,112/1
1615,大山,40.20,6.22,111,14.11,2.21,112/1
1616,億泰,10.15,0.0,111,72.50,1.15,112/1
1617,榮星,16.80,1.79,111,54.19,1.27,112/1
1618,合機,28.00,2.14,111,22.76,1.22,112/1
1626,艾美特-KY,18.60,5.38,111,465.00,0.84,112/1
1701,中化,24.35,3.29,111,14.76,0.94,112/1
1702,南僑,48.80,4.1,111,23.92,1.32,112/1
1707,葡萄王,177.00,3.9,111,17.47,2.66,112/1
1708,東鹼,35.15,8.53,111,12.64,1.4,112/1
1709,和益,25.40,7.09,111,14.19,1.43,112/1
1710,東聯,22.65,0.88,111,26.65,1.56,112/1
1711,永光,20.75,1.69,111,39.15,1.35,112/1
1712,興農,36.15,7.75,111,11.16,1.9,112/2
1713,國化,34.00,2.94,111,15.53,1.91,112/1
1714,和桐,8.61,1.16,111,25.32,0.7,112/1
1717,長興,30.55,3.93,111,19.34,1.52,112/1
1718,中纖,8.30,0.0,111,-,0.51,112/1
1720,生達,61.90,4.04,111,12.98,2.44,112/1
1721,三晃,14.60,0.68,111,-,1.15,112/1
1722,台肥,63.60,3.93,111,25.96,1.17,112/1
1723,中碳,112.00,4.46,111,16.16,3.4,112/2
1725,元禎,21.20,4.72,111,17.38,0.95,112/1
1726,永記,76.00,4.61,111,15.26,1.25,112/1
1727,中華化,32.15,2.27,111,31.83,2.28,112/1
1730,花仙子,58.70,5.11,111,15.53,1.97,112/1
1731,美吾華,21.20,5.19,111,16.83,1.43,112/2
1732,毛寶,26.70,0.0,111,667.50,2.36,112/1
1733,五鼎,26.65,5.25,111,15.49,1.55,112/1
1734,杏輝,32.65,3.06,111,22.21,1.82,112/1
1735,日勝化,16.90,2.96,111,26.41,1.11,112/1
1736,喬山,79.20,0.76,111,-,2.72,112/1
1737,臺鹽,34.60,4.34,111,17.39,1.09,112/2
1752,南光,59.00,3.9,111,14.71,2.38,112/1
1760,寶齡富錦,109.00,1.83,111,56.48,5.03,112/1
1762,中化生,72.40,1.8,111,10.85,1.65,112/1
1773,勝一,139.00,2.59,111,21.22,4.4,112/2
1776,展宇,17.15,3.5,111,190.56,1.19,112/1
1783,和康生,62.00,1.61,111,27.31,3.99,112/2
1786,科妍,83.60,2.37,111,37.49,3.5,112/1
1789,神隆,32.10,1.12,111,97.27,2.49,112/2
1795,美時,285.50,1.21,111,19.85,5.31,112/1
1802,台玻,22.05,0.0,111,-,1.34,112/1
1805,寶徠,9.30,0.0,111,-,1.78,112/1
1806,冠軍,10.05,0.0,111,-,0.72,112/1
1808,潤隆,80.30,0.75,111,37.35,5.47,112/1
1809,中釉,15.10,1.66,111,79.47,0.86,112/1
1810,和成,21.25,0.94,111,132.81,0.98,112/1
1817,凱撒衛,37.15,6.19,111,10.01,1.32,112/1
1903,士紙,63.70,0.0,111,81.67,3.53,112/1
1904,正隆,33.45,3.29,111,17.42,1.34,112/1
1905,華紙,28.30,1.06,111,91.29,2.02,112/1
1906,寶隆,16.10,3.11,111,7.03,0.48,112/1
1907,永豐餘,34.95,2.58,111,30.13,1.1,112/1
1909,榮成,16.50,1.52,111,-,0.93,112/1
2002,中鋼,28.50,3.51,111,-,1.42,112/2
2006,東和鋼鐵,60.30,5.8,111,12.26,1.54,112/2
2007,燁興,10.15,0.0,111,-,0.81,112/1
2008,高興昌,19.80,2.68,111,23.02,1.28,112/1
2009,第一銅,31.60,1.27,111,59.62,2.4,112/1
2010,春源,18.20,3.3,111,18.57,1.07,112/1
2012,春雨,25.55,5.87,111,15.97,1.74,112/1
2013,中鋼構,57.10,2.98,111,23.69,2.23,112/2
2014,中鴻,26.10,1.34,111,-,2.24,112/2
2015,豐興,69.60,5.75,111,16.22,1.94,112/2
2017,官田鋼,17.00,4.71,111,38.64,1.28,112/1
2020,美亞,27.55,3.63,111,24.17,1.94,112/1
2022,聚亨,9.03,0.0,111,-,1.22,112/1
2023,燁輝,15.60,1.92,111,-,0.97,112/1
2024,志聯,17.45,2.01,111,290.83,1.45,112/1
2025,千興,5.40,0.0,111,3.80,1.04,112/1
2027,大成鋼,40.50,10.86,111,7.44,1.13,112/1
2028,威致,24.90,5.22,111,12.90,1.84,112/1
2029,盛餘,25.10,4.1,111,19.46,0.84,112/1
2030,彰源,21.25,7.06,111,11.01,1.11,112/1
2031,新光鋼,51.80,1.93,111,27.70,1.67,112/1
2032,新鋼,18.00,1.11,111,-,1.41,112/1
2033,佳大,15.15,0.0,111,-,1.2,112/1
2034,允強,27.70,5.42,111,64.42,1.13,112/1
2038,海光,20.15,2.48,111,20.35,0.98,112/1
2049,上銀,209.00,2.63,111,20.80,2.21,112/1
2059,川湖,877.00,2.28,111,25.18,5.61,112/2
2062,橋椿,22.35,4.47,111,13.97,0.63,112/2
2069,運錩,18.15,5.51,111,36.30,0.73,112/1
2101,南港,38.35,0.0,111,-,3.11,112/1
2102,泰豐,17.50,0.0,111,-,2.3,112/1
2103,台橡,24.65,4.38,111,30.06,1.1,112/2
2104,國際中橡,21.15,0.47,111,42.30,0.6,112/1
2105,正新,37.35,3.75,111,23.49,1.49,112/1
2106,建大,29.75,3.36,111,-,1.46,112/1
2107,厚生,21.60,5.56,111,12.20,0.6,112/1
2108,南帝,36.65,5.46,111,22.76,1.33,112/1
2109,華豐,14.15,6.36,111,15.05,1.25,112/1
2114,鑫永銓,101.50,4.93,111,17.71,2.79,112/2
2115,六暉-KY,31.15,4.17,111,10.38,0.97,112/1
2201,裕隆,80.50,1.24,111,-,1.61,112/1
2204,中華,91.80,4.36,111,-,1.63,112/1
2206,三陽工業,79.10,2.28,111,18.02,3.26,112/1
2207,和泰車,729.00,0.3,111,-,8.6,112/1
2208,台船,23.40,0.0,111,-,2.69,112/1
2211,長榮鋼,65.90,7.59,111,10.03,1.27,112/1
2227,裕日車,198.00,3.65,111,29.86,3.02,112/1
2228,劍麟,91.90,4.35,111,14.59,1.63,112/1
2231,為升,154.00,1.82,111,33.26,4.87,112/1
2233,宇隆,105.00,5.71,111,11.74,1.79,112/1
2236,百達-KY,64.50,0.43,111,29.45,2.51,112/1
2239,英利-KY,67.30,0.68,111,56.55,0.73,112/1
2241,艾姆勒,40.10,0.0,111,-,2.67,112/1
2243,宏旭-KY,15.95,0.0,111,-,1.39,112/1
2247,汎德永業,318.00,4.72,111,16.45,2.25,112/1
2250,IKKA-KY,71.50,4.2,111,36.48,1.27,112/1
2301,光寶科,148.00,3.04,111,23.31,4.21,112/2
2302,麗正,17.70,4.52,111,19.45,1.71,112/1
2303,聯電,46.40,7.76,111,7.45,1.78,112/2
2305,全友,20.85,0.0,111,-,1.94,112/1
2308,台達電,363.50,2.71,111,27.75,5.33,112/2
2312,金寶,16.85,1.78,111,26.75,1.39,112/1
2313,華通,46.45,5.81,111,8.55,1.54,112/1
2314,台揚,43.70,0.0,111,-,5.15,112/1
2316,楠梓電,47.10,1.06,111,27.23,1.05,112/1
2317,鴻海,109.50,4.84,111,12.15,1.08,112/1
2321,東訊,17.35,0.0,111,-,2.41,112/1
2323,中環,12.80,0.0,111,-,0.81,112/1
2324,仁寶,30.95,3.88,111,20.63,1.21,112/1
2327,國巨*,468.00,2.13,111,9.48,1.61,112/1
2328,廣宇,41.30,3.39,111,15.30,1.59,112/1
2329,華泰,49.15,1.73,111,26.71,3.64,112/2
2330,台積電,558.00,1.97,111,14.18,4.7,112/1
2331,精英,29.05,2.75,111,23.06,1.46,112/1
2332,友訊,20.30,1.08,111,28.59,1.36,112/1
2337,旺宏,31.65,5.69,111,20.82,1.19,112/2
2338,光罩,72.30,3.46,111,12.84,3.57,112/1
2340,台亞,50.60,1.98,111,81.61,2.68,112/2
2342,茂矽,39.15,5.11,111,16.52,2.49,112/1
2344,華邦電,27.70,3.61,111,43.28,1.24,112/2
2345,智邦,390.00,1.92,111,24.41,9.66,112/1
2347,聯強,58.90,5.94,111,6.58,1.46,112/1
2348,海悅,66.10,7.56,111,14.99,1.65,112/1
2349,錸德,8.94,0.0,111,-,1.08,112/1
2351,順德,103.00,3.11,111,20.60,2.74,112/1
2352,佳世達,48.20,4.15,111,11.73,2.34,112/2
2353,宏��,36.20,4.14,111,36.94,1.54,112/2
2354,鴻準,56.20,2.85,111,18.99,0.77,112/1
2355,敬鵬,33.95,2.5,111,25.15,0.85,112/1
2356,英業達,63.80,2.35,111,41.43,4.12,112/1
2357,華碩,370.50,4.05,111,106.77,1.26,112/1
2358,廷鑫,9.83,0.0,111,-,0.73,112/1
2359,所羅門,38.65,3.88,111,16.95,1.41,112/1
2360,致茂,271.50,2.95,111,22.16,6.09,112/1
2362,藍天,33.15,4.52,111,32.82,0.47,112/1
2363,矽統,19.50,5.13,111,39.00,0.77,112/1
