證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,51.20,6.84,109,12.25,1.48,110/1
1102,亞泥,51.00,6.96,109,9.98,1.14,110/1
1103,嘉泥,22.75,6.15,109,7.93,0.58,110/1
1104,環泥,23.35,4.71,109,10.66,0.81,110/1
1108,幸福,13.40,5.22,109,15.40,1.22,110/1
1109,信大,25.80,5.81,109,7.37,1.14,110/1
1110,東泥,15.75,0.63,109,131.25,1.05,110/1
1201,味全,22.30,2.38,109,19.06,1.7,110/1
1203,味王,34.50,3.19,109,18.55,1.56,110/1
1210,大成,60.40,4.97,109,14.11,2.53,110/1
1213,大飲,8.55,0.0,108,-,0.93,110/1
1215,卜蜂,80.60,5.58,109,11.94,2.45,110/1
1216,統一,73.80,3.66,109,18.64,3.51,110/1
1217,愛之味,11.75,0.0,108,20.98,0.9,110/1
1218,泰山,29.20,4.79,109,15.96,1.97,110/1
1219,福壽,23.95,4.18,109,13.23,1.66,110/1
1220,台榮,17.40,5.75,109,13.49,1.27,110/1
1225,福懋油,47.00,2.98,109,20.61,2.94,110/1
1227,佳格,55.30,4.52,109,15.85,2.74,110/1
1229,聯華,50.60,5.34,109,15.62,2.0,110/1
1231,聯華食,67.70,3.84,109,16.04,2.93,110/1
1232,大統益,165.50,3.63,109,17.49,5.25,110/1
1233,天仁,34.95,2.29,109,47.88,2.12,110/1
1234,黑松,35.65,5.05,109,15.64,0.79,110/1
1235,興泰,33.15,4.52,109,48.75,0.83,110/1
1236,宏亞,15.75,1.27,109,35.80,1.03,110/1
1256,鮮活果汁-KY,477.00,2.52,109,16.73,5.73,110/1
1301,台塑,106.00,2.26,109,19.06,1.88,110/1
1303,南亞,85.90,2.79,109,16.09,1.86,110/1
1304,台聚,39.60,2.53,109,12.34,1.89,110/1
1305,華夏,39.20,5.87,109,10.10,2.05,110/1
1307,三芳,24.35,2.05,109,30.44,1.23,110/1
1308,亞聚,40.00,3.5,109,15.38,1.78,110/1
1309,台達化,45.95,6.53,109,6.98,2.29,110/1
1310,台苯,21.85,2.29,109,13.74,1.52,110/1
1312,國喬,33.35,0.3,109,5.12,1.01,110/1
1313,聯成,27.20,3.68,109,8.24,1.38,110/1
1314,中石化,14.25,2.11,108,34.76,0.65,110/1
1315,達新,70.00,11.43,109,1.72,0.78,110/1
1316,上曜,12.80,0.0,109,41.29,1.21,110/1
1319,東陽,35.85,2.23,109,30.64,0.97,110/1
1321,大洋,38.00,2.63,109,12.67,1.15,110/1
1323,永裕,35.90,4.46,109,11.58,1.53,110/1
1324,地球,12.20,2.46,109,174.29,0.95,110/1
1325,恆大,90.30,13.29,109,3.83,1.98,110/1
1326,台化,86.80,2.88,109,13.71,1.38,110/1
1337,再生-KY,8.52,0.0,108,-,0.41,110/1
1338,廣華-KY,66.90,5.23,109,13.27,0.87,110/1
1339,昭輝,38.70,5.17,109,27.06,0.81,110/1
1340,勝悅-KY,12.20,0.0,108,-,0.34,110/1
1341,富林-KY,83.30,7.2,109,11.78,3.06,110/1
1342,八貫,54.60,4.58,109,19.71,2.45,110/1
1402,遠東新,32.55,4.15,109,18.82,0.84,110/1
1409,新纖,22.40,4.91,109,10.28,1.18,110/1
1410,南染,34.90,2.58,109,36.35,1.98,110/1
1413,宏洲,11.45,0.0,109,-,1.45,110/1
1414,東和,17.65,1.42,109,40.11,1.22,110/1
1416,廣豐,11.15,4.48,109,-,0.59,110/1
1417,嘉裕,16.00,1.88,109,-,1.14,110/1
1418,東華,11.15,0.0,108,-,2.3,110/1
1419,新紡,41.45,2.41,109,29.82,1.35,110/1
1423,利華,22.20,8.11,109,7.33,1.02,110/1
1432,大魯閣,14.45,27.68,108,76.05,1.37,110/1
1434,福懋,32.80,3.05,109,23.77,0.89,110/1
1435,中福,20.20,0.0,108,-,3.07,110/1
1436,華友聯,40.10,4.99,109,16.99,1.37,110/1
1437,勤益控,25.10,2.79,109,11.11,0.8,110/1
1438,三地開發,29.00,0.0,108,-,2.67,110/1
1439,雋揚,24.70,0.0,109,-,0.99,110/1
1440,南紡,27.95,1.25,109,23.69,1.79,110/1
1441,大東,11.70,0.0,108,-,1.44,110/1
1442,名軒,18.80,2.66,109,50.81,1.24,110/1
1443,立益物流,16.80,0.0,108,-,1.87,110/1
1444,力麗,13.60,0.0,108,-,1.26,110/1
1445,大宇,12.40,1.61,109,-,1.03,110/1
1446,宏和,30.70,0.98,109,341.11,2.68,110/1
1447,力鵬,13.70,0.0,108,-,1.19,110/1
1449,佳和,16.45,0.0,108,-,1.4,110/1
1451,年興,21.50,2.79,109,-,0.55,110/1
1452,宏益,26.85,2.61,109,15.61,1.33,110/1
1453,大將,9.09,2.2,108,12.45,0.71,110/1
1454,台富,10.85,1.84,109,-,0.85,110/1
1455,集盛,24.25,1.24,109,23.77,1.86,110/1
1456,怡華,19.25,0.0,108,9.25,1.28,110/1
1457,宜進,19.00,7.89,109,5.60,0.9,110/1
1459,聯發,14.95,0.0,108,15.10,1.61,110/1
1463,強盛新,14.90,2.01,109,51.38,1.12,110/1
1464,得力,18.15,1.65,109,-,1.46,110/1
1465,偉全,12.95,2.32,109,-,0.79,110/1
1466,聚隆,19.10,0.0,108,22.47,1.31,110/1
1467,南緯,16.60,4.22,109,12.87,1.22,110/1
1468,昶和,12.25,0.0,109,37.12,1.6,110/1
1470,大統新創,16.10,2.61,109,55.52,1.47,110/1
1471,首利,10.80,0.0,109,3.51,1.55,110/1
1472,三洋實業,10.30,0.0,108,-,3.72,110/1
1473,台南,18.50,1.08,109,-,0.81,110/1
1474,弘裕,15.90,2.52,109,13.83,1.02,110/1
1475,業旺,35.15,0.0,108,146.46,5.51,110/1
1476,儒鴻,660.00,1.67,109,36.83,8.83,110/1
1477,聚陽,257.00,3.11,109,27.28,5.27,110/1
1503,士電,53.30,3.0,109,16.50,1.08,110/1
1504,東元,33.45,3.44,109,16.98,1.01,110/1
1506,正道,10.15,0.0,109,-,1.97,110/1
1507,永大,61.70,3.08,109,18.25,2.1,110/1
1512,瑞利,4.49,0.0,108,-,7.36,110/1
1513,中興電,49.90,4.41,109,11.44,2.07,110/1
1514,亞力,25.85,4.64,109,16.79,1.65,110/1
1515,力山,78.60,4.58,109,13.55,4.19,110/1
1516,川飛,21.90,3.42,109,30.85,1.83,110/1
1517,利奇,29.90,1.17,109,19.80,1.98,110/1
1519,華城,42.10,3.09,109,23.79,3.42,110/1
1521,大億,45.80,2.84,109,29.93,1.96,110/1
1522,堤維西,22.60,2.65,109,25.39,1.07,110/1
