單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"7,420,358,737","5,004,289,824","2,416,068,913",
自營商(避險),"17,457,695,224","15,483,526,690","1,974,168,534",
投信,"8,209,936,747","5,857,788,368","2,352,148,379",
外資及陸資(不含外資自營商),"177,893,949,837","183,055,177,946","-5,161,228,109",
外資自營商,0,0,0,
合計,"210,981,940,545","209,400,782,828","1,581,157,717",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
本統計資訊投信部分不含當日綜合帳戶買賣金額。,,,,
不加計外幣交易證券交易金額。,,,,
