單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"3,781,036,793","5,080,645,821","-1,299,609,028",
自營商(避險),"12,220,185,850","21,504,733,589","-9,284,547,739",
投信,"4,669,227,634","6,058,547,642","-1,389,320,008",
外資及陸資(不含外資自營商),"156,210,502,756","191,567,000,925","-35,356,498,169",
外資自營商,0,0,0,
合計,"176,880,953,033","224,210,927,977","-47,329,974,944",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,,
