單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"5,777,161,113","5,506,464,760","270,696,353",
自營商(避險),"20,793,501,650","21,068,691,286","-275,189,636",
投信,"9,945,479,825","10,083,722,026","-138,242,201",
外資及陸資(不含外資自營商),"177,846,377,544","186,291,974,696","-8,445,597,152",
外資自營商,0,0,0,
合計,"214,362,520,132","222,950,852,768","-8,588,332,636",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
本統計資訊投信部分不含當日綜合帳戶買賣金額。,,,,
不加計外幣交易證券交易金額。,,,,
