分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"64,134,777","1,651,338,157","14,563",3.06,
食品類指數          ,"23,404,836","1,666,960,264","13,789",7.76,
塑膠類指數          ,"172,187,948","6,681,051,168","68,163",2.95,
紡織纖維類指數      ,"52,163,812","2,435,608,980","24,273",8.34,
電機機械類指數      ,"182,009,237","22,123,625,329","71,285",5.02,
電器電纜類指數      ,"45,371,082","1,349,917,255","20,073",0.89,
化學生技醫療類指數  ,"71,686,198","7,738,916,641","63,338",3.77,
化學類指數          ,"34,907,007","1,586,120,743","23,853",1.22,
生技醫療類指數      ,"36,779,191","6,152,795,898","39,485",2.83,
玻璃陶瓷類指數      ,"125,213,828","4,159,508,170","52,197",1.26,
造紙類指數          ,"8,287,515","198,023,812","5,202",4.67,
鋼鐵類指數          ,"96,960,241","2,787,961,929","31,303",2.29,
橡膠類指數          ,"40,623,915","874,738,972","9,282",0.88,
汽車類指數          ,"27,587,024","2,251,711,214","24,596",-0.31,
電子類指數          ,"3,899,568,916","601,308,239,927","1,565,645",-3.45,
半導體類指數        ,"1,297,448,036","270,224,625,696","673,091",-3.26,
電腦及週邊設備類指數,"706,369,421","69,575,401,597","179,564",1.17,
光電類指數          ,"779,674,782","16,350,285,613","107,318",0.27,
通信網路類指數      ,"112,242,094","18,865,549,421","60,415",2.78,
電子零組件類指數    ,"389,353,280","98,880,141,138","294,043",0.76,
電子通路類指數      ,"359,860,681","22,869,819,216","69,900",1.56,
資訊服務類指數      ,"2,656,120","184,322,309","2,793",2.3,
其他電子類指數      ,"251,964,502","104,358,094,937","178,521",-2.69,
建材營造類指數      ,"92,492,893","1,890,783,704","30,564",4.77,
航運業類指數        ,"199,282,913","10,805,461,269","94,414",1.39,
觀光餐旅類指數      ,"4,980,989","474,745,796","7,136",1.49,
金融保險類指數      ,"1,031,791,670","35,588,868,014","208,299",43.64,
貿易百貨類指數      ,"27,403,122","1,818,935,938","12,426",-0.59,
油電燃氣類指數      ,"17,699,104","946,608,639","10,111",3.0,
其他類指數          ,"57,958,379","3,738,133,109","32,630",4.7,
綠能環保類指數      ,"22,607,690","1,307,429,813","16,476",1.88,
數位雲端類指數      ,"1,428,022","152,153,091","2,242",0.54,
運動休閒類指數      ,"33,436,145","4,135,536,905","45,217",2.09,
居家生活類指數      ,"3,272,679","770,640,422","2,490",1.44,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
