分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"19,506,396","466,232,528","9,522",1.59,
食品類指數          ,"14,975,436","1,035,670,791","13,653",0.78,
塑膠類指數          ,"186,179,649","3,296,736,846","53,948",2.5,
紡織纖維類指數      ,"23,007,564","1,018,636,640","18,933",5.33,
電機機械類指數      ,"112,269,740","18,303,713,071","97,849",1.87,
電器電纜類指數      ,"136,498,608","4,735,413,324","69,345",1.5,
化學生技醫療類指數  ,"57,587,828","5,843,378,546","52,230",0.78,
化學類指數          ,"36,807,667","1,408,852,313","22,573",1.26,
生技醫療類指數      ,"20,780,161","4,434,526,233","29,657",0.36,
玻璃陶瓷類指數      ,"131,164,014","3,899,299,655","50,923",2.68,
造紙類指數          ,"5,275,731","105,482,811","3,253",7.22,
鋼鐵類指數          ,"42,501,839","1,178,873,913","21,821",1.21,
橡膠類指數          ,"11,546,674","309,622,913","7,072",1.94,
汽車類指數          ,"27,878,873","1,963,237,398","28,363",2.7,
電子類指數          ,"2,667,841,498","407,767,206,545","1,903,243",10.19,
半導體類指數        ,"1,359,732,906","198,985,042,549","877,513",3.1,
電腦及週邊設備類指數,"246,910,714","46,504,760,308","194,743",5.78,
光電類指數          ,"203,158,441","8,271,804,524","103,973",0.34,
通信網路類指數      ,"109,938,751","18,229,821,922","88,500",0.05,
電子零組件類指數    ,"433,794,330","86,885,634,453","392,599",6.26,
電子通路類指數      ,"134,918,740","10,867,985,772","94,453",1.7,
資訊服務類指數      ,"4,875,825","350,264,195","6,397",1.06,
其他電子類指數      ,"174,511,791","37,671,892,822","145,065",1.07,
建材營造類指數      ,"73,791,945","1,721,515,503","71,678",3.95,
航運業類指數        ,"101,821,101","5,786,704,780","65,488",2.04,
觀光餐旅類指數      ,"9,296,588","1,209,269,105","11,292",1.76,
金融保險類指數      ,"431,731,186","11,937,385,453","132,231",6.62,
貿易百貨類指數      ,"18,201,003","688,991,353","9,971",-0.82,
油電燃氣類指數      ,"15,865,607","747,505,055","10,151",3.39,
其他類指數          ,"53,356,632","5,042,490,655","45,780",4.23,
綠能環保類指數      ,"9,754,561","2,348,132,333","19,549",1.51,
數位雲端類指數      ,"2,405,395","411,514,164","5,747",1.38,
運動休閒類指數      ,"17,816,037","1,451,309,422","16,708",-0.1,
居家生活類指數      ,"1,577,983","199,629,382","2,499",0.78,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
