分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"27,203,828","646,768,836","12,259",-0.78,
食品類指數          ,"14,191,853","908,429,871","13,101",-12.61,
塑膠類指數          ,"113,239,619","3,443,109,384","47,121",-2.44,
紡織纖維類指數      ,"26,958,254","925,790,950","19,192",-6.13,
電機機械類指數      ,"211,218,524","33,629,284,905","172,490",12.78,
電器電纜類指數      ,"99,598,253","3,361,814,665","53,547",-0.73,
化學生技醫療類指數  ,"67,165,736","7,406,626,659","61,227",1.59,
化學類指數          ,"36,539,221","2,211,034,895","25,107",0.79,
生技醫療類指數      ,"30,626,515","5,195,591,764","36,120",1.16,
玻璃陶瓷類指數      ,"99,062,501","2,845,111,821","40,551",-0.03,
造紙類指數          ,"6,033,697","110,275,539","3,660",-1.96,
鋼鐵類指數          ,"53,904,633","1,760,118,316","31,784",-0.82,
橡膠類指數          ,"13,776,464","373,625,654","8,789",-2.44,
汽車類指數          ,"20,558,597","1,507,681,231","19,789",-1.16,
電子類指數          ,"2,903,917,529","446,668,547,173","2,250,185",-1.66,
半導體類指數        ,"1,146,334,026","185,341,465,123","745,712",-0.01,
電腦及週邊設備類指數,"400,765,799","64,649,523,364","380,645",-3.04,
光電類指數          ,"305,957,697","12,815,544,964","143,866",-0.1,
通信網路類指數      ,"198,146,345","23,834,054,004","132,198",1.37,
電子零組件類指數    ,"609,442,857","115,119,822,830","599,753",1.47,
電子通路類指數      ,"59,379,028","4,762,833,619","54,096",-1.08,
資訊服務類指數      ,"6,906,308","633,683,174","6,564",1.68,
其他電子類指數      ,"176,985,469","39,511,620,095","187,351",-2.48,
建材營造類指數      ,"90,601,883","2,220,262,481","48,509",-1.49,
航運業類指數        ,"228,225,414","15,383,445,867","167,282",-4.2,
觀光餐旅類指數      ,"3,208,706","390,327,388","4,671",0.26,
金融保險類指數      ,"451,773,256","12,566,547,756","155,401",-15.43,
貿易百貨類指數      ,"12,120,040","704,827,066","8,462",-1.89,
油電燃氣類指數      ,"6,322,374","286,530,843","5,013",-0.99,
其他類指數          ,"38,313,294","4,191,161,267","45,781",-2.07,
綠能環保類指數      ,"10,520,925","1,357,845,757","12,717",0.66,
數位雲端類指數      ,"1,741,690","215,798,484","3,211",0.57,
運動休閒類指數      ,"20,779,625","1,455,838,697","13,415",-0.29,
居家生活類指數      ,"2,713,189","477,167,368","2,282",-0.86,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
