分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"23,224,373","615,968,656","10,099",0.62,
食品類指數          ,"40,508,087","2,745,064,898","32,601",10.16,
塑膠類指數          ,"120,113,804","4,137,941,755","72,372",1.75,
紡織纖維類指數      ,"27,611,061","1,120,528,052","17,983",8.03,
電機機械類指數      ,"115,277,096","14,129,892,386","104,906",3.54,
電器電纜類指數      ,"99,875,497","3,079,815,062","48,971",0.84,
化學生技醫療類指數  ,"93,698,811","12,083,942,364","109,719",0.02,
化學類指數          ,"47,780,964","4,651,972,927","41,278",0.57,
生技醫療類指數      ,"45,917,847","7,431,969,437","68,441",-0.12,
玻璃陶瓷類指數      ,"33,181,593","906,664,961","15,849",-0.52,
造紙類指數          ,"2,936,743","72,319,839","2,176",2.54,
鋼鐵類指數          ,"36,470,377","1,239,371,020","21,346",0.31,
橡膠類指數          ,"10,637,620","321,127,133","7,655",1.0,
汽車類指數          ,"38,518,012","2,716,539,212","40,038",4.28,
電子類指數          ,"2,702,447,738","350,685,308,452","1,994,999",-11.35,
半導體類指數        ,"1,011,548,103","144,651,781,521","711,401",-10.54,
電腦及週邊設備類指數,"419,133,600","46,837,913,094","264,755",1.94,
光電類指數          ,"222,360,118","10,850,503,131","147,806",0.46,
通信網路類指數      ,"65,063,576","18,541,647,515","74,693",-1.42,
電子零組件類指數    ,"590,919,137","82,321,773,752","526,439",-0.09,
電子通路類指數      ,"103,514,033","5,814,430,732","73,406",3.69,
資訊服務類指數      ,"6,503,412","521,393,482","7,608",-1.17,
其他電子類指數      ,"283,405,759","41,145,865,225","188,891",2.75,
建材營造類指數      ,"49,743,971","1,615,011,706","34,237",4.13,
航運業類指數        ,"115,072,466","6,899,504,621","72,070",0.63,
觀光餐旅類指數      ,"3,073,121","412,077,804","4,504",0.3,
金融保險類指數      ,"368,689,146","10,200,653,998","115,058",8.02,
貿易百貨類指數      ,"14,294,758","605,676,995","7,795",3.38,
油電燃氣類指數      ,"8,361,905","376,848,745","7,001",1.1,
其他類指數          ,"38,068,843","2,156,766,413","30,695",3.12,
綠能環保類指數      ,"14,431,154","2,300,718,428","15,946",1.01,
數位雲端類指數      ,"1,219,455","131,583,311","2,030",0.15,
運動休閒類指數      ,"33,002,492","1,976,409,845","20,624",1.06,
居家生活類指數      ,"3,430,400","261,095,725","2,400",0.12,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
