分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"25,037,046","659,069,875","10,707",0.35
食品類指數          ,"11,623,954","881,016,928","13,289",-9.56
塑膠類指數          ,"445,480,628","21,880,369,358","212,526",3.8
紡織纖維類指數      ,"27,314,141","1,324,230,025","28,733",-2.49
電機機械類指數      ,"54,647,801","10,824,789,782","62,496",4.58
電器電纜類指數      ,"55,253,881","1,714,037,227","25,348",0.72
化學生技醫療類指數  ,"68,748,578","6,076,022,503","60,595",0.98
化學類指數          ,"44,035,042","2,019,746,647","27,004",0.33
生技醫療類指數      ,"24,713,536","4,056,275,856","33,591",0.73
玻璃陶瓷類指數      ,"210,872,212","7,750,161,096","84,727",-2.52
造紙類指數          ,"5,788,049","87,700,476","3,513",-1.42
鋼鐵類指數          ,"76,587,094","2,277,095,423","33,983",0.77
橡膠類指數          ,"17,795,290","482,757,194","8,794",1.52
汽車類指數          ,"17,354,618","1,377,630,648","23,957",-0.2
電子類指數          ,"2,182,521,780","339,272,425,054","1,512,850",16.81
半導體類指數        ,"1,012,139,608","159,794,204,348","662,845",9.16
電腦及週邊設備類指數,"218,975,352","37,529,894,528","148,254",4.9
光電類指數          ,"258,384,053","10,613,277,270","117,572",0.24
通信網路類指數      ,"107,476,331","14,604,441,092","88,081",-2.29
電子零組件類指數    ,"404,483,974","80,881,645,168","344,348",2.33
電子通路類指數      ,"51,781,887","4,129,262,897","37,027",2.92
資訊服務類指數      ,"5,025,139","339,975,858","4,641",0.43
其他電子類指數      ,"124,255,436","31,379,723,893","110,082",4.21
建材營造類指數      ,"45,113,043","1,150,102,947","29,592",1.84
航運業類指數        ,"146,337,197","6,495,778,349","83,446",-0.05
觀光餐旅類指數      ,"1,972,886","195,630,843","2,766",0.15
金融保險類指數      ,"330,993,147","11,359,236,952","130,532",1.15
貿易百貨類指數      ,"10,095,052","465,845,947","6,479",-0.13
油電燃氣類指數      ,"7,884,735","405,367,921","5,567",-0.68
其他類指數          ,"41,336,472","4,152,462,140","60,347",-0.91
綠能環保類指數      ,"21,657,559","1,959,485,181","16,883",0.94
數位雲端類指數      ,"1,249,273","163,772,329","5,226",-0.38
運動休閒類指數      ,"15,535,694","1,528,799,102","24,695",-0.39
居家生活類指數      ,"1,284,809","268,366,931","1,617",-0.06
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
