分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"11,870,096","413,753,274","6,392",-0.5,
食品類指數          ,"26,407,904","1,686,281,830","21,246",-2.57,
塑膠類指數          ,"65,738,142","1,541,337,284","38,762",-1.04,
紡織纖維類指數      ,"24,752,512","1,272,837,638","22,121",-3.89,
電機機械類指數      ,"125,417,625","18,288,482,686","105,001",-2.29,
電器電纜類指數      ,"39,572,088","1,187,988,360","21,917",-1.24,
化學生技醫療類指數  ,"33,001,256","4,075,045,731","36,619",0.56,
化學類指數          ,"18,506,930","1,418,452,941","15,492",-0.04,
生技醫療類指數      ,"14,494,326","2,656,592,790","21,127",0.5,
玻璃陶瓷類指數      ,"7,948,972","128,798,356","4,003",-0.3,
造紙類指數          ,"3,517,442","76,305,655","2,864",-1.07,
鋼鐵類指數          ,"50,269,821","1,667,068,402","33,315",-1.35,
橡膠類指數          ,"8,620,344","309,852,852","6,222",0.22,
汽車類指數          ,"73,646,081","6,797,093,922","59,442",0.38,
電子類指數          ,"1,542,992,188","231,718,108,222","1,166,559",6.38,
半導體類指數        ,"298,270,527","90,293,881,182","259,273",4.78,
電腦及週邊設備類指數,"296,750,064","37,182,344,495","203,923",4.63,
光電類指數          ,"213,633,194","13,932,494,764","138,038",-0.56,
通信網路類指數      ,"191,956,870","20,694,380,175","128,061",-0.27,
電子零組件類指數    ,"308,868,729","39,080,065,858","233,198",-1.08,
電子通路類指數      ,"26,297,859","1,960,567,580","25,699",0.47,
資訊服務類指數      ,"18,253,898","1,724,242,760","19,056",-2.71,
其他電子類指數      ,"188,961,047","26,850,131,408","159,311",-1.51,
建材營造類指數      ,"100,235,858","3,678,884,195","64,421",-8.23,
航運業類指數        ,"226,178,782","15,254,522,933","138,409",1.28,
觀光餐旅類指數      ,"4,104,333","349,741,541","14,382",-0.65,
金融保險類指數      ,"380,541,053","9,521,437,225","105,510",5.29,
貿易百貨類指數      ,"22,390,978","915,334,901","13,469",-0.7,
油電燃氣類指數      ,"5,550,507","193,722,007","3,536",0.5,
其他類指數          ,"71,538,644","5,835,452,644","58,872",-3.18,
綠能環保類指數      ,"6,425,048","905,387,262","7,711",0.24,
數位雲端類指數      ,"10,345,728","1,318,321,095","10,472",0.09,
運動休閒類指數      ,"21,057,822","1,660,227,728","19,171",-0.83,
居家生活類指數      ,"5,824,251","835,769,859","4,693",4.08,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
