分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"40,009,967","983,451,174","17,984",-1.66,
食品類指數          ,"23,014,196","1,414,405,754","20,376",5.02,
塑膠類指數          ,"139,154,606","3,553,926,626","68,734",-2.29,
紡織纖維類指數      ,"33,787,057","1,382,807,004","22,720",-2.72,
電機機械類指數      ,"117,842,621","16,254,480,978","102,579",-0.6,
電器電纜類指數      ,"193,981,536","6,070,294,017","84,317",-2.75,
化學生技醫療類指數  ,"113,792,535","11,427,404,884","116,111",0.59,
化學類指數          ,"55,103,242","3,131,356,551","49,960",-2.58,
生技醫療類指數      ,"58,689,293","8,296,048,333","66,151",1.12,
玻璃陶瓷類指數      ,"103,189,049","2,950,493,602","44,151",-2.35,
造紙類指數          ,"7,596,267","187,726,772","5,150",2.51,
鋼鐵類指數          ,"78,017,629","2,678,523,364","45,572",-0.03,
橡膠類指數          ,"15,034,484","434,407,394","11,374",-2.24,
汽車類指數          ,"27,093,310","2,016,071,193","31,313",-4.13,
電子類指數          ,"3,093,824,743","443,956,663,238","2,377,001",-25.75,
半導體類指數        ,"1,400,043,165","205,229,521,685","1,005,816",-15.34,
電腦及週邊設備類指數,"431,707,816","65,196,718,305","357,768",-2.4,
光電類指數          ,"298,326,881","15,570,806,566","143,776",-1.13,
通信網路類指數      ,"101,549,847","14,710,035,516","76,627",-1.07,
電子零組件類指數    ,"513,869,637","92,495,905,075","490,426",-0.61,
電子通路類指數      ,"51,975,901","3,178,927,281","44,808",-2.51,
資訊服務類指數      ,"12,755,189","1,287,478,128","15,084",-3.37,
其他電子類指數      ,"283,596,307","46,287,270,682","242,696",-5.58,
建材營造類指數      ,"66,695,076","2,161,767,397","46,483",0.39,
航運業類指數        ,"211,012,667","11,660,472,937","137,465",0.96,
觀光餐旅類指數      ,"3,411,438","411,967,820","5,616",-1.18,
金融保險類指數      ,"501,432,154","14,252,182,408","233,480",-24.25,
貿易百貨類指數      ,"10,270,557","609,173,164","9,649",-2.23,
油電燃氣類指數      ,"8,389,272","350,387,492","9,221",-1.55,
其他類指數          ,"60,885,661","5,827,918,943","54,989",-2.62,
綠能環保類指數      ,"29,461,158","3,012,425,168","35,527",1.04,
數位雲端類指數      ,"2,078,704","300,518,217","18,839",-1.12,
運動休閒類指數      ,"30,454,833","2,537,977,572","30,409",-1.5,
居家生活類指數      ,"3,109,687","560,127,691","3,579",-2.64,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
