分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"58,557,781","1,399,818,965","18,837",1.86,
食品類指數          ,"11,501,997","871,867,484","10,758",0.75,
塑膠類指數          ,"335,197,059","16,896,149,737","155,663",3.59,
紡織纖維類指數      ,"28,354,268","1,014,653,252","17,048",2.75,
電機機械類指數      ,"74,064,140","10,237,340,068","69,638",-0.71,
電器電纜類指數      ,"51,658,688","1,576,993,449","22,506",0.43,
化學生技醫療類指數  ,"81,893,430","8,835,580,757","83,966",0.18,
化學類指數          ,"48,173,079","2,906,959,597","33,291",0.56,
生技醫療類指數      ,"33,720,351","5,928,621,160","50,675",0.02,
玻璃陶瓷類指數      ,"251,845,384","8,842,591,839","93,080",5.58,
造紙類指數          ,"18,621,618","235,632,594","6,834",5.65,
鋼鐵類指數          ,"67,334,923","2,366,648,629","36,523",-0.41,
橡膠類指數          ,"13,010,317","287,727,911","6,962",-0.32,
汽車類指數          ,"19,754,300","1,613,060,798","25,966",0.87,
電子類指數          ,"2,253,326,262","368,615,904,064","1,604,591",6.93,
半導體類指數        ,"982,894,317","167,266,126,647","653,917",5.14,
電腦及週邊設備類指數,"217,684,007","36,131,007,203","172,270",0.66,
光電類指數          ,"232,901,077","10,420,350,640","113,993",0.12,
通信網路類指數      ,"136,852,407","18,335,069,828","89,184",-0.88,
電子零組件類指數    ,"489,312,205","98,482,015,282","398,025",3.05,
電子通路類指數      ,"54,123,662","3,788,446,196","40,966",1.71,
資訊服務類指數      ,"5,220,857","371,709,053","4,841",-0.02,
其他電子類指數      ,"134,337,730","33,821,179,215","131,395",-2.18,
建材營造類指數      ,"41,413,680","1,193,596,719","27,242",1.58,
航運業類指數        ,"138,031,595","7,457,748,761","87,330",-0.72,
觀光餐旅類指數      ,"2,578,490","284,946,922","4,074",-0.34,
金融保險類指數      ,"446,685,888","13,323,184,172","175,808",-24.88,
貿易百貨類指數      ,"9,624,043","680,984,079","6,828",0.07,
油電燃氣類指數      ,"6,327,027","312,666,585","4,514",0.34,
其他類指數          ,"40,651,969","3,783,602,521","39,315",-0.2,
綠能環保類指數      ,"32,279,318","1,188,403,501","16,890",0.86,
數位雲端類指數      ,"1,019,012","141,577,601","3,827",0.14,
運動休閒類指數      ,"17,615,385","1,992,708,475","33,525",-0.64,
居家生活類指數      ,"1,659,892","230,836,137","1,651",-0.64,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
